file	line	kind	attributes	scope	decision	rationale	declaration
/tmp/audit-work/reference-semantics/semantics/builtins.k	17	syntax	function	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
/tmp/audit-work/reference-semantics/semantics/builtins.k	20	syntax	function	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax Int ::= seqLen(Val) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	21	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
/tmp/audit-work/reference-semantics/semantics/builtins.k	22	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	23	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	24	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule seqLen(str(IS:IntSeq)) => isLen(IS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	25	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
/tmp/audit-work/reference-semantics/semantics/builtins.k	26	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
/tmp/audit-work/reference-semantics/semantics/builtins.k	32	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	33	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	34	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	35	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	36	syntax	function,total	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	37	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule charsOf(.IntSeq) => .ValSeq
/tmp/audit-work/reference-semantics/semantics/builtins.k	38	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
/tmp/audit-work/reference-semantics/semantics/builtins.k	41	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
/tmp/audit-work/reference-semantics/semantics/builtins.k	44	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
/tmp/audit-work/reference-semantics/semantics/builtins.k	47	syntax	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
/tmp/audit-work/reference-semantics/semantics/builtins.k	48	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	49	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	50	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	54	syntax	function	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax Int ::= intOf(Val) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	55	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule intOf(I:Int) => I
/tmp/audit-work/reference-semantics/semantics/builtins.k	56	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
/tmp/audit-work/reference-semantics/semantics/builtins.k	59	syntax	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax KItem ::= #allAcc(Iterable) | "#allCont"
/tmp/audit-work/reference-semantics/semantics/builtins.k	60	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	61	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterDone ~> #allCont => true ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	62	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	64	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	67	syntax	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
/tmp/audit-work/reference-semantics/semantics/builtins.k	68	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	69	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterDone ~> #anyCont => false ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	70	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	72	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	76	syntax	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
/tmp/audit-work/reference-semantics/semantics/builtins.k	77	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	78	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	80	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	81	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	82	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	86	syntax	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
/tmp/audit-work/reference-semantics/semantics/builtins.k	87	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	88	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	90	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	91	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	92	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	97	syntax	function	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax Int ::= maxVals(Int, Vals) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	98	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
/tmp/audit-work/reference-semantics/semantics/builtins.k	99	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule maxVals(M:Int, .Vals) => M
/tmp/audit-work/reference-semantics/semantics/builtins.k	100	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
/tmp/audit-work/reference-semantics/semantics/builtins.k	102	syntax	function	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax Int ::= minVals(Int, Vals) [function]
/tmp/audit-work/reference-semantics/semantics/builtins.k	103	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
/tmp/audit-work/reference-semantics/semantics/builtins.k	104	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule minVals(M:Int, .Vals) => M
/tmp/audit-work/reference-semantics/semantics/builtins.k	105	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
/tmp/audit-work/reference-semantics/semantics/builtins.k	108	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
/tmp/audit-work/reference-semantics/semantics/builtins.k	111	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
/tmp/audit-work/reference-semantics/semantics/builtins.k	114	syntax	function,total	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax IntSeq ::= binCodes(Int) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	115	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule binCodes(0) => iCons(48, .IntSeq)
/tmp/audit-work/reference-semantics/semantics/builtins.k	116	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
/tmp/audit-work/reference-semantics/semantics/builtins.k	117	syntax	function,total	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	118	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule binAcc(0, ACC:IntSeq) => ACC
/tmp/audit-work/reference-semantics/semantics/builtins.k	119	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
/tmp/audit-work/reference-semantics/semantics/builtins.k	124	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	126	syntax	function,total	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	127	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule enumVS(.ValSeq, _:Int) => .ValSeq
/tmp/audit-work/reference-semantics/semantics/builtins.k	128	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
/tmp/audit-work/reference-semantics/semantics/builtins.k	132	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
/tmp/audit-work/reference-semantics/semantics/builtins.k	134	syntax	function,total	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
/tmp/audit-work/reference-semantics/semantics/builtins.k	135	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule mapStrVS(.ValSeq) => .ValSeq
/tmp/audit-work/reference-semantics/semantics/builtins.k	136	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
/tmp/audit-work/reference-semantics/semantics/builtins.k	137	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
