id	file	line	kind	flags	text
31	reference-semantics/semantics/builtins.k	20	syntax	function	  syntax Int ::= seqLen(Val) [function]
32	reference-semantics/semantics/builtins.k	21	rule	equational	  rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
33	reference-semantics/semantics/builtins.k	22	rule	equational	  rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
34	reference-semantics/semantics/builtins.k	23	rule	equational	  rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
35	reference-semantics/semantics/builtins.k	24	rule	equational	  rule seqLen(str(IS:IntSeq))                   => isLen(IS)
36	reference-semantics/semantics/builtins.k	25	rule	equational	  rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
37	reference-semantics/semantics/builtins.k	26	rule	equational	  rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
38	reference-semantics/semantics/builtins.k	32	rule	operational	  rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
39	reference-semantics/semantics/builtins.k	33	rule	operational	  rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
40	reference-semantics/semantics/builtins.k	34	rule	operational	  rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
41	reference-semantics/semantics/builtins.k	35	rule	operational	  rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
42	reference-semantics/semantics/builtins.k	36	syntax	function,total	  syntax ValSeq ::= charsOf(IntSeq) [function, total]
43	reference-semantics/semantics/builtins.k	37	rule	equational	  rule charsOf(.IntSeq)                => .ValSeq
44	reference-semantics/semantics/builtins.k	38	rule	equational	  rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
45	reference-semantics/semantics/builtins.k	41	rule	equational	  rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
46	reference-semantics/semantics/builtins.k	44	rule	equational	  rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
47	reference-semantics/semantics/builtins.k	47	syntax		  syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
48	reference-semantics/semantics/builtins.k	48	rule	operational	  rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
49	reference-semantics/semantics/builtins.k	49	rule	operational	  rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
50	reference-semantics/semantics/builtins.k	50	rule	operational	  rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)\n        => #sumAcc(R, ACC +Int intOf(V)) ... </k>\n       requires isInt(V) orBool isBool(V)
51	reference-semantics/semantics/builtins.k	54	syntax	function	  syntax Int ::= intOf(Val) [function]
52	reference-semantics/semantics/builtins.k	55	rule	equational	  rule intOf(I:Int)  => I
53	reference-semantics/semantics/builtins.k	56	rule	equational	  rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
54	reference-semantics/semantics/builtins.k	59	syntax		  syntax KItem ::= #allAcc(Iterable) | "#allCont"
55	reference-semantics/semantics/builtins.k	60	rule	operational	  rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
56	reference-semantics/semantics/builtins.k	61	rule	operational	  rule <k> #iterDone ~> #allCont => true ... </k>
57	reference-semantics/semantics/builtins.k	62	rule	operational	  rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>\n       requires truthy(V)
58	reference-semantics/semantics/builtins.k	64	rule	operational	  rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>\n       requires notBool truthy(V)
59	reference-semantics/semantics/builtins.k	67	syntax		  syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
60	reference-semantics/semantics/builtins.k	68	rule	operational	  rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
61	reference-semantics/semantics/builtins.k	69	rule	operational	  rule <k> #iterDone ~> #anyCont => false ... </k>
62	reference-semantics/semantics/builtins.k	70	rule	operational	  rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>\n       requires truthy(V)
63	reference-semantics/semantics/builtins.k	72	rule	operational	  rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>\n       requires notBool truthy(V)
64	reference-semantics/semantics/builtins.k	76	syntax		  syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
65	reference-semantics/semantics/builtins.k	77	rule	operational	  rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
66	reference-semantics/semantics/builtins.k	78	rule	operational	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
67	reference-semantics/semantics/builtins.k	80	rule	operational	  rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
68	reference-semantics/semantics/builtins.k	81	rule	operational	  rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
69	reference-semantics/semantics/builtins.k	82	rule	operational	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)\n        => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
70	reference-semantics/semantics/builtins.k	86	syntax		  syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
71	reference-semantics/semantics/builtins.k	87	rule	operational	  rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
72	reference-semantics/semantics/builtins.k	88	rule	operational	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
73	reference-semantics/semantics/builtins.k	90	rule	operational	  rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
74	reference-semantics/semantics/builtins.k	91	rule	operational	  rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
75	reference-semantics/semantics/builtins.k	92	rule	operational	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)\n        => #minAcc(R, minInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
76	reference-semantics/semantics/builtins.k	97	syntax	function	  syntax Int ::= maxVals(Int, Vals) [function]
77	reference-semantics/semantics/builtins.k	98	rule	equational	  rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
78	reference-semantics/semantics/builtins.k	99	rule	equational	  rule maxVals(M:Int, .Vals)           => M
79	reference-semantics/semantics/builtins.k	100	rule	equational	  rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
80	reference-semantics/semantics/builtins.k	102	syntax	function	  syntax Int ::= minVals(Int, Vals) [function]
81	reference-semantics/semantics/builtins.k	103	rule	equational	  rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
82	reference-semantics/semantics/builtins.k	104	rule	equational	  rule minVals(M:Int, .Vals)           => M
83	reference-semantics/semantics/builtins.k	105	rule	equational	  rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
84	reference-semantics/semantics/builtins.k	108	rule	equational	  rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))\n       requires N >=Int 0
85	reference-semantics/semantics/builtins.k	111	rule	equational	  rule applyBuiltin("bin", N:Int, .Vals)\n    => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))\n       requires N <Int 0
86	reference-semantics/semantics/builtins.k	114	syntax	function,total	  syntax IntSeq ::= binCodes(Int) [function, total]
87	reference-semantics/semantics/builtins.k	115	rule	equational	  rule binCodes(0) => iCons(48, .IntSeq)
88	reference-semantics/semantics/builtins.k	116	rule	equational	  rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
89	reference-semantics/semantics/builtins.k	117	syntax	function,total	  syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
90	reference-semantics/semantics/builtins.k	118	rule	equational	  rule binAcc(0, ACC:IntSeq) => ACC
91	reference-semantics/semantics/builtins.k	119	rule	equational	  rule binAcc(N:Int, ACC:IntSeq)\n    => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))\n       requires N >Int 0
92	reference-semantics/semantics/builtins.k	124	rule	operational	  rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals))\n        => #alloc(list(enumVS(VS, 0))) ... </k>
93	reference-semantics/semantics/builtins.k	126	syntax	function,total	  syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
94	reference-semantics/semantics/builtins.k	127	rule	equational	  rule enumVS(.ValSeq, _:Int) => .ValSeq
95	reference-semantics/semantics/builtins.k	128	rule	equational	  rule enumVS(vCons(V:Val, R:ValSeq), I:Int)\n    => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
96	reference-semantics/semantics/builtins.k	132	rule	operational	  rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals))\n        => #alloc(list(mapStrVS(VS))) ... </k>
97	reference-semantics/semantics/builtins.k	134	syntax	function,total	  syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
98	reference-semantics/semantics/builtins.k	135	rule	equational	  rule mapStrVS(.ValSeq) => .ValSeq
99	reference-semantics/semantics/builtins.k	136	rule	equational	  rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
100	reference-semantics/semantics/builtins.k	137	rule	equational	  rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
101	reference-semantics/semantics/builtins.k	140	rule	equational	  rule applyBuiltin("int", I:Int, .Vals) => I
102	reference-semantics/semantics/builtins.k	143	rule	equational	  rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
103	reference-semantics/semantics/builtins.k	144	rule	equational	  rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))\n       requires 0 <=Int I andBool I <Int 128
104	reference-semantics/semantics/builtins.k	148	rule	equational	  rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
105	reference-semantics/semantics/builtins.k	149	rule	equational	  rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
106	reference-semantics/semantics/builtins.k	152	rule	equational	  rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48\n       requires 48 <=Int C andBool C <=Int 57
107	reference-semantics/semantics/builtins.k	156	rule	equational	  rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)\n       requires isLen(CS) >=Int 2
108	reference-semantics/semantics/builtins.k	158	syntax	function,total	  syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
109	reference-semantics/semantics/builtins.k	159	rule	equational	  rule intDigAcc(.IntSeq, ACC:Int)             => ACC
110	reference-semantics/semantics/builtins.k	160	rule	equational	  rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
111	reference-semantics/semantics/builtins.k	163	rule	equational	  rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
112	reference-semantics/semantics/builtins.k	164	rule	equational	  rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
113	reference-semantics/semantics/builtins.k	167	rule	operational	  rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq)))\n        => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
114	reference-semantics/semantics/builtins.k	169	rule	operational	  rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
115	reference-semantics/semantics/builtins.k	170	rule	operational	  rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
116	reference-semantics/semantics/builtins.k	171	rule	operational	  rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)))\n        => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
117	reference-semantics/semantics/builtins.k	173	rule	operational	  rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
118	reference-semantics/semantics/builtins.k	174	rule	operational	  rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
119	reference-semantics/semantics/builtins.k	177	rule	equational	  rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
120	reference-semantics/semantics/builtins.k	178	rule	equational	  rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
121	reference-semantics/semantics/builtins.k	179	rule	equational	  rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)\n       requires S =/=Int 0
122	reference-semantics/semantics/builtins.k	187	rule	equational	  rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
123	reference-semantics/semantics/builtins.k	188	syntax	function	  syntax Int ::= evalArith(IntSeq) [function]
124	reference-semantics/semantics/builtins.k	189	rule	equational	  rule evalArith(CS:IntSeq)\n    => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
125	reference-semantics/semantics/builtins.k	192	syntax		  syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
126	reference-semantics/semantics/builtins.k	194	syntax	function,total	  syntax Bool ::= evDigit(Int) [function, total]
127	reference-semantics/semantics/builtins.k	195	rule	equational	  rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
128	reference-semantics/semantics/builtins.k	196	syntax	function,total	  syntax Bool ::= evHead42(IntSeq) [function, total]
129	reference-semantics/semantics/builtins.k	197	rule	equational	  rule evHead42(iCons(42, _:IntSeq)) => true
130	reference-semantics/semantics/builtins.k	198	rule	owise,equational	  rule evHead42(_:IntSeq)            => false [owise]
131	reference-semantics/semantics/builtins.k	199	syntax	function,total	  syntax Bool ::= evHead47(IntSeq) [function, total]
132	reference-semantics/semantics/builtins.k	200	rule	equational	  rule evHead47(iCons(47, _:IntSeq)) => true
133	reference-semantics/semantics/builtins.k	201	rule	owise,equational	  rule evHead47(_:IntSeq)            => false [owise]
134	reference-semantics/semantics/builtins.k	203	syntax	function,total	  syntax OpSeq ::= tokOps(IntSeq) [function, total]
135	reference-semantics/semantics/builtins.k	204	rule	equational	  rule tokOps(.IntSeq)                 => .OpSeq
136	reference-semantics/semantics/builtins.k	205	rule	equational	  rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
137	reference-semantics/semantics/builtins.k	206	rule	equational	  rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
138	reference-semantics/semantics/builtins.k	207	rule	equational	  rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
139	reference-semantics/semantics/builtins.k	208	rule	equational	  rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
140	reference-semantics/semantics/builtins.k	209	rule	equational	  rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
141	reference-semantics/semantics/builtins.k	210	rule	equational	  rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
142	reference-semantics/semantics/builtins.k	211	rule	equational	  rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
143	reference-semantics/semantics/builtins.k	212	rule	equational	  rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
144	reference-semantics/semantics/builtins.k	214	syntax	function,total	  syntax IntSeq ::= tokNds(IntSeq) [function, total]\n                  | tokNdAcc(Int, IntSeq) [function, total]
145	reference-semantics/semantics/builtins.k	216	rule	equational	  rule tokNds(.IntSeq)                => .IntSeq
146	reference-semantics/semantics/builtins.k	217	rule	equational	  rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
147	reference-semantics/semantics/builtins.k	218	rule	equational	  rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
148	reference-semantics/semantics/builtins.k	219	rule	equational	  rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)\n       requires notBool evDigit(C) andBool C =/=Int 32
149	reference-semantics/semantics/builtins.k	221	rule	equational	  rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)\n       requires evDigit(C)
150	reference-semantics/semantics/builtins.k	223	rule	owise,equational	  rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
151	reference-semantics/semantics/builtins.k	225	syntax		  syntax EvPair ::= evp(OpSeq, IntSeq)
152	reference-semantics/semantics/builtins.k	226	syntax	function,total	  syntax Int ::= firstNdE(EvPair) [function, total]
153	reference-semantics/semantics/builtins.k	227	rule	equational	  rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
154	reference-semantics/semantics/builtins.k	228	rule	owise,equational	  rule firstNdE(_:EvPair) => 0 [owise]
155	reference-semantics/semantics/builtins.k	230	syntax	function,total	  syntax Int ::= applyOpE(String, Int, Int) [function, total]
156	reference-semantics/semantics/builtins.k	231	rule	equational	  rule applyOpE("+",  A:Int, B:Int) => A +Int B
157	reference-semantics/semantics/builtins.k	232	rule	equational	  rule applyOpE("-",  A:Int, B:Int) => A -Int B
158	reference-semantics/semantics/builtins.k	233	rule	equational	  rule applyOpE("*",  A:Int, B:Int) => A *Int B
159	reference-semantics/semantics/builtins.k	234	rule	equational	  rule applyOpE("//", A:Int, B:Int) => A divInt B
160	reference-semantics/semantics/builtins.k	235	rule	equational	  rule applyOpE("**", A:Int, B:Int) => A ^Int B
161	reference-semantics/semantics/builtins.k	236	rule	owise,equational	  rule applyOpE(_:String, A:Int, _:Int) => A [owise]
162	reference-semantics/semantics/builtins.k	238	syntax	function,total	  syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
163	reference-semantics/semantics/builtins.k	239	rule	equational	  rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
164	reference-semantics/semantics/builtins.k	240	rule	equational	  rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
165	reference-semantics/semantics/builtins.k	241	rule	equational	  rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))\n       requires O =/=String "**"
166	reference-semantics/semantics/builtins.k	243	rule	owise,equational	  rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
167	reference-semantics/semantics/builtins.k	244	syntax	function,total	  syntax EvPair ::= powCombE(Int, EvPair) [function, total]
168	reference-semantics/semantics/builtins.k	245	rule	equational	  rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
169	reference-semantics/semantics/builtins.k	246	rule	equational	  rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
170	reference-semantics/semantics/builtins.k	247	syntax	function,total	  syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
171	reference-semantics/semantics/builtins.k	248	rule	equational	  rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
172	reference-semantics/semantics/builtins.k	250	syntax	function,total	  syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
173	reference-semantics/semantics/builtins.k	251	rule	equational	  rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
174	reference-semantics/semantics/builtins.k	252	rule	equational	  rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
175	reference-semantics/semantics/builtins.k	253	rule	equational	  rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
176	reference-semantics/semantics/builtins.k	254	rule	equational	  rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
177	reference-semantics/semantics/builtins.k	255	syntax	function,total	  syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
178	reference-semantics/semantics/builtins.k	256	rule	equational	  rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
179	reference-semantics/semantics/builtins.k	257	rule	equational	  rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)\n    => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON)\n       requires inLevelE(L, O)
180	reference-semantics/semantics/builtins.k	260	rule	equational	  rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)\n    => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR))\n       requires notBool inLevelE(L, O)
181	reference-semantics/semantics/builtins.k	263	rule	owise,equational	  rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq)\n    => evp(OO, appendIE(ON, CUR)) [owise]
182	reference-semantics/semantics/builtins.k	265	syntax	function,total	  syntax Bool ::= inLevelE(String, String) [function, total]
183	reference-semantics/semantics/builtins.k	266	rule	equational	  rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
184	reference-semantics/semantics/builtins.k	267	rule	equational	  rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
185	reference-semantics/semantics/builtins.k	268	rule	owise,equational	  rule inLevelE(_:String, _:String) => false [owise]
186	reference-semantics/semantics/builtins.k	269	syntax	function,total	  syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
187	reference-semantics/semantics/builtins.k	270	rule	equational	  rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
188	reference-semantics/semantics/builtins.k	271	rule	equational	  rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
189	reference-semantics/semantics/builtins.k	272	syntax	function,total	  syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
190	reference-semantics/semantics/builtins.k	273	rule	equational	  rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
191	reference-semantics/semantics/builtins.k	274	rule	equational	  rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
192	reference-semantics/semantics/builtins.k	279	syntax		  syntax KItem ::= "#md5"
193	reference-semantics/semantics/builtins.k	280	rule	priority,operational	  rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k>\n       [priority(40)]
194	reference-semantics/semantics/builtins.k	282	rule	operational	  rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
