record_id,file,start_line,end_line,kind,tags,disposition,justification
44,reference-semantics/semantics.k,78,78,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
45,reference-semantics/semantics.k,79,79,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
46,reference-semantics/semantics.k,80,80,endmodule,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
47,reference-semantics/semantics.k,87,87,module,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
48,reference-semantics/semantics.k,88,88,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
49,reference-semantics/semantics.k,89,89,imports,concrete,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
50,reference-semantics/semantics.k,90,90,endmodule,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
51,reference-semantics/semantics/assert.k,3,3,module,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
52,reference-semantics/semantics/assert.k,4,4,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
53,reference-semantics/semantics/assert.k,6,7,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_ACTIVE_FAMILY_REVIEWED,"Rule/declaration family covers program syntax, integer evaluation, control, calls, frames, or assertions; no false matched-case conclusion found."
54,reference-semantics/semantics/assert.k,8,11,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_ACTIVE_FAMILY_REVIEWED,"Rule/declaration family covers program syntax, integer evaluation, control, calls, frames, or assertions; no false matched-case conclusion found."
55,reference-semantics/semantics/assert.k,13,15,rule,"k-cell-operational,priority",SUPPLIED_FIXED_SEMANTICS_ACTIVE_FAMILY_REVIEWED,"Rule/declaration family covers program syntax, integer evaluation, control, calls, frames, or assertions; no false matched-case conclusion found."
56,reference-semantics/semantics/assert.k,16,16,endmodule,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
57,reference-semantics/semantics/bool.k,5,5,module,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
58,reference-semantics/semantics/bool.k,6,6,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
59,reference-semantics/semantics/bool.k,8,8,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
60,reference-semantics/semantics/bool.k,10,10,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
61,reference-semantics/semantics/bool.k,11,11,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
62,reference-semantics/semantics/bool.k,16,16,context,,FIXED_SEMANTICS_REVIEWED_STRUCTURE,Configuration/cooling context is consistent with the supplied cell model and evaluation order.
63,reference-semantics/semantics/bool.k,17,17,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
64,reference-semantics/semantics/bool.k,18,19,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
65,reference-semantics/semantics/bool.k,20,21,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
66,reference-semantics/semantics/bool.k,22,23,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
67,reference-semantics/semantics/bool.k,24,25,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
68,reference-semantics/semantics/bool.k,29,30,rule,"k-cell-operational,priority",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
69,reference-semantics/semantics/bool.k,31,34,rule,"k-cell-operational,priority",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
70,reference-semantics/semantics/bool.k,35,38,rule,"k-cell-operational,priority",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
71,reference-semantics/semantics/bool.k,39,42,rule,"k-cell-operational,priority",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
72,reference-semantics/semantics/bool.k,43,46,rule,"k-cell-operational,priority",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
73,reference-semantics/semantics/bool.k,47,47,endmodule,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
74,reference-semantics/semantics/builtins.k,3,3,module,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
75,reference-semantics/semantics/builtins.k,4,4,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
76,reference-semantics/semantics/builtins.k,5,5,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
77,reference-semantics/semantics/builtins.k,6,6,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
78,reference-semantics/semantics/builtins.k,7,7,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
79,reference-semantics/semantics/builtins.k,8,8,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
80,reference-semantics/semantics/builtins.k,9,9,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
81,reference-semantics/semantics/builtins.k,10,10,imports,,STRUCTURAL_DECLARATION,Module/dependency structure; no equation or execution conclusion.
82,reference-semantics/semantics/builtins.k,17,17,syntax,function,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
83,reference-semantics/semantics/builtins.k,20,20,syntax,function,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
84,reference-semantics/semantics/builtins.k,21,21,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
85,reference-semantics/semantics/builtins.k,22,22,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
86,reference-semantics/semantics/builtins.k,23,23,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
87,reference-semantics/semantics/builtins.k,24,24,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
88,reference-semantics/semantics/builtins.k,25,25,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
89,reference-semantics/semantics/builtins.k,26,26,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
90,reference-semantics/semantics/builtins.k,32,32,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
91,reference-semantics/semantics/builtins.k,33,33,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
92,reference-semantics/semantics/builtins.k,34,34,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
93,reference-semantics/semantics/builtins.k,35,35,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
94,reference-semantics/semantics/builtins.k,36,36,syntax,"function,total",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
95,reference-semantics/semantics/builtins.k,37,37,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
96,reference-semantics/semantics/builtins.k,38,38,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
97,reference-semantics/semantics/builtins.k,41,41,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
98,reference-semantics/semantics/builtins.k,44,44,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
99,reference-semantics/semantics/builtins.k,47,47,syntax,,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
100,reference-semantics/semantics/builtins.k,48,48,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
101,reference-semantics/semantics/builtins.k,49,49,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
102,reference-semantics/semantics/builtins.k,50,52,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
103,reference-semantics/semantics/builtins.k,54,54,syntax,function,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
104,reference-semantics/semantics/builtins.k,55,55,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
105,reference-semantics/semantics/builtins.k,56,56,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
106,reference-semantics/semantics/builtins.k,59,59,syntax,,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
107,reference-semantics/semantics/builtins.k,60,60,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
108,reference-semantics/semantics/builtins.k,61,61,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
109,reference-semantics/semantics/builtins.k,62,63,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
110,reference-semantics/semantics/builtins.k,64,65,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
111,reference-semantics/semantics/builtins.k,67,67,syntax,,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
112,reference-semantics/semantics/builtins.k,68,68,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
113,reference-semantics/semantics/builtins.k,69,69,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
114,reference-semantics/semantics/builtins.k,70,71,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
115,reference-semantics/semantics/builtins.k,72,73,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
116,reference-semantics/semantics/builtins.k,76,76,syntax,,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
117,reference-semantics/semantics/builtins.k,77,77,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
118,reference-semantics/semantics/builtins.k,78,79,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
119,reference-semantics/semantics/builtins.k,80,80,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
120,reference-semantics/semantics/builtins.k,81,81,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
121,reference-semantics/semantics/builtins.k,82,84,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
122,reference-semantics/semantics/builtins.k,86,86,syntax,,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
123,reference-semantics/semantics/builtins.k,87,87,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
124,reference-semantics/semantics/builtins.k,88,89,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
125,reference-semantics/semantics/builtins.k,90,90,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
126,reference-semantics/semantics/builtins.k,91,91,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
127,reference-semantics/semantics/builtins.k,92,94,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
128,reference-semantics/semantics/builtins.k,97,97,syntax,function,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
129,reference-semantics/semantics/builtins.k,98,98,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
130,reference-semantics/semantics/builtins.k,99,99,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
131,reference-semantics/semantics/builtins.k,100,100,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
132,reference-semantics/semantics/builtins.k,102,102,syntax,function,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
133,reference-semantics/semantics/builtins.k,103,103,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
134,reference-semantics/semantics/builtins.k,104,104,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
135,reference-semantics/semantics/builtins.k,105,105,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
136,reference-semantics/semantics/builtins.k,108,109,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
137,reference-semantics/semantics/builtins.k,111,113,rule,cell-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
138,reference-semantics/semantics/builtins.k,114,114,syntax,"function,total",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
139,reference-semantics/semantics/builtins.k,115,115,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
140,reference-semantics/semantics/builtins.k,116,116,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
141,reference-semantics/semantics/builtins.k,117,117,syntax,"function,total",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
142,reference-semantics/semantics/builtins.k,118,118,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
143,reference-semantics/semantics/builtins.k,119,121,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
144,reference-semantics/semantics/builtins.k,124,125,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
145,reference-semantics/semantics/builtins.k,126,126,syntax,"function,total",SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
146,reference-semantics/semantics/builtins.k,127,127,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
147,reference-semantics/semantics/builtins.k,128,129,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
148,reference-semantics/semantics/builtins.k,132,133,rule,k-cell-operational,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
149,reference-semantics/semantics/builtins.k,134,134,syntax,"function,total",UNUSED_TOTALITY_EVIDENCE_GAP,Compiler reports non-exhaustive equations on the full declared sort; symbol is unreachable from solution.mpy.
150,reference-semantics/semantics/builtins.k,135,135,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
151,reference-semantics/semantics/builtins.k,136,136,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
152,reference-semantics/semantics/builtins.k,137,137,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
153,reference-semantics/semantics/builtins.k,140,140,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
154,reference-semantics/semantics/builtins.k,143,143,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
155,reference-semantics/semantics/builtins.k,144,145,rule,cell-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
156,reference-semantics/semantics/builtins.k,148,148,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
157,reference-semantics/semantics/builtins.k,149,149,rule,equational-or-term-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
158,reference-semantics/semantics/builtins.k,152,153,rule,cell-rewrite,SUPPLIED_FIXED_SEMANTICS_INACTIVE_FAMILY_REVIEWED,Reviewed but syntactically unreachable from this integer-only program and its submitted claims.
