COMMAND: python3 /audit-output/evidence/inventory_k.py
source	line	kind	attributes	disposition	declaration
reference-semantics/semantics/builtins.k	32	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	36	syntax	function,total	fixed supplied semantics	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	37	rule	rule	fixed supplied semantics	rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	38	rule	rule	fixed supplied semantics	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	41	rule	rule	fixed supplied semantics	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
reference-semantics/semantics/builtins.k	44	rule	rule	fixed supplied semantics	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
reference-semantics/semantics/builtins.k	47	syntax	syntax	fixed supplied semantics	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	48	rule	rule	fixed supplied semantics	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	rule	rule	fixed supplied semantics	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
reference-semantics/semantics/builtins.k	54	syntax	function	fixed supplied semantics	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55	rule	rule	fixed supplied semantics	rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	56	rule	rule	fixed supplied semantics	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	59	syntax	syntax	fixed supplied semantics	syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	60	rule	rule	fixed supplied semantics	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	rule	rule	fixed supplied semantics	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
reference-semantics/semantics/builtins.k	64	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
reference-semantics/semantics/builtins.k	67	syntax	syntax	fixed supplied semantics	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	68	rule	rule	fixed supplied semantics	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	rule	rule	fixed supplied semantics	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
reference-semantics/semantics/builtins.k	72	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
reference-semantics/semantics/builtins.k	76	syntax	syntax	fixed supplied semantics	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	77	rule	rule	fixed supplied semantics	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	80	rule	rule	fixed supplied semantics	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	rule	rule	fixed supplied semantics	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
reference-semantics/semantics/builtins.k	86	syntax	syntax	fixed supplied semantics	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	87	rule	rule	fixed supplied semantics	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	90	rule	rule	fixed supplied semantics	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	rule	rule	fixed supplied semantics	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
reference-semantics/semantics/builtins.k	97	syntax	function	fixed supplied semantics	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	98	rule	rule	fixed supplied semantics	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99	rule	rule	fixed supplied semantics	rule maxVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	100	rule	rule	fixed supplied semantics	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	102	syntax	function	fixed supplied semantics	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	103	rule	rule	fixed supplied semantics	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104	rule	rule	fixed supplied semantics	rule minVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	105	rule	rule	fixed supplied semantics	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	108	rule	rule	fixed supplied semantics	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
reference-semantics/semantics/builtins.k	111	rule	rule	fixed supplied semantics	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
reference-semantics/semantics/builtins.k	114	syntax	function,total	fixed supplied semantics	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	115	rule	rule	fixed supplied semantics	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	rule	rule	fixed supplied semantics	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	117	syntax	function,total	fixed supplied semantics	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	118	rule	rule	fixed supplied semantics	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	rule	rule	fixed supplied semantics	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
reference-semantics/semantics/builtins.k	124	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	126	syntax	function,total	fixed supplied semantics	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	127	rule	rule	fixed supplied semantics	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128	rule	rule	fixed supplied semantics	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
reference-semantics/semantics/builtins.k	132	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	134	syntax	function,total	fixed supplied semantics	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	135	rule	rule	fixed supplied semantics	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136	rule	rule	fixed supplied semantics	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137	rule	rule	fixed supplied semantics	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
reference-semantics/semantics/builtins.k	140	rule	rule	fixed supplied semantics	rule applyBuiltin("int", I:Int, .Vals) => I
reference-semantics/semantics/builtins.k	143	rule	rule	fixed supplied semantics	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	144	rule	rule	fixed supplied semantics	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
reference-semantics/semantics/builtins.k	148	rule	rule	fixed supplied semantics	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	149	rule	rule	fixed supplied semantics	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
reference-semantics/semantics/builtins.k	152	rule	rule	fixed supplied semantics	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
reference-semantics/semantics/builtins.k	156	rule	rule	fixed supplied semantics	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
reference-semantics/semantics/builtins.k	158	syntax	function,total	fixed supplied semantics	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	159	rule	rule	fixed supplied semantics	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
reference-semantics/semantics/builtins.k	160	rule	rule	fixed supplied semantics	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
reference-semantics/semantics/builtins.k	163	rule	rule	fixed supplied semantics	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	164	rule	rule	fixed supplied semantics	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
reference-semantics/semantics/builtins.k	167	rule	rule	fixed supplied semantics	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	169	rule	rule	fixed supplied semantics	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
reference-semantics/semantics/builtins.k	170	rule	rule	fixed supplied semantics	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	171	rule	rule	fixed supplied semantics	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	173	rule	rule	fixed supplied semantics	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
reference-semantics/semantics/builtins.k	174	rule	rule	fixed supplied semantics	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	177	rule	rule	fixed supplied semantics	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
reference-semantics/semantics/builtins.k	178	rule	rule	fixed supplied semantics	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
reference-semantics/semantics/builtins.k	179	rule	rule	fixed supplied semantics	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
reference-semantics/semantics/builtins.k	187	rule	rule	fixed supplied semantics	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
reference-semantics/semantics/builtins.k	188	syntax	function	fixed supplied semantics	syntax Int ::= evalArith(IntSeq) [function]
reference-semantics/semantics/builtins.k	189	rule	rule	fixed supplied semantics	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
reference-semantics/semantics/builtins.k	192	syntax	syntax	fixed supplied semantics	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
reference-semantics/semantics/builtins.k	194	syntax	function,total	fixed supplied semantics	syntax Bool ::= evDigit(Int) [function, total]
reference-semantics/semantics/builtins.k	195	rule	rule	fixed supplied semantics	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
reference-semantics/semantics/builtins.k	196	syntax	function,total	fixed supplied semantics	syntax Bool ::= evHead42(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	197	rule	rule	fixed supplied semantics	rule evHead42(iCons(42, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	198	rule	owise	fixed supplied semantics	rule evHead42(_:IntSeq)            => false [owise]
reference-semantics/semantics/builtins.k	199	syntax	function,total	fixed supplied semantics	syntax Bool ::= evHead47(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	200	rule	rule	fixed supplied semantics	rule evHead47(iCons(47, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	201	rule	owise	fixed supplied semantics	rule evHead47(_:IntSeq)            => false [owise]
reference-semantics/semantics/builtins.k	203	syntax	function,total	fixed supplied semantics	syntax OpSeq ::= tokOps(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	204	rule	rule	fixed supplied semantics	rule tokOps(.IntSeq)                 => .OpSeq
reference-semantics/semantics/builtins.k	205	rule	rule	fixed supplied semantics	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
reference-semantics/semantics/builtins.k	206	rule	rule	fixed supplied semantics	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
reference-semantics/semantics/builtins.k	207	rule	rule	fixed supplied semantics	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
reference-semantics/semantics/builtins.k	208	rule	rule	fixed supplied semantics	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
reference-semantics/semantics/builtins.k	209	rule	rule	fixed supplied semantics	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
reference-semantics/semantics/builtins.k	210	rule	rule	fixed supplied semantics	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
reference-semantics/semantics/builtins.k	211	rule	rule	fixed supplied semantics	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
reference-semantics/semantics/builtins.k	212	rule	rule	fixed supplied semantics	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
reference-semantics/semantics/builtins.k	214	syntax	function,total	fixed supplied semantics	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	216	rule	rule	fixed supplied semantics	rule tokNds(.IntSeq)                => .IntSeq
reference-semantics/semantics/builtins.k	217	rule	rule	fixed supplied semantics	rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
reference-semantics/semantics/builtins.k	218	rule	rule	fixed supplied semantics	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
reference-semantics/semantics/builtins.k	219	rule	rule	fixed supplied semantics	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)
reference-semantics/semantics/builtins.k	221	rule	rule	fixed supplied semantics	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)
reference-semantics/semantics/builtins.k	223	rule	owise	fixed supplied semantics	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
reference-semantics/semantics/builtins.k	225	syntax	syntax	fixed supplied semantics	syntax EvPair ::= evp(OpSeq, IntSeq)
reference-semantics/semantics/builtins.k	226	syntax	function,total	fixed supplied semantics	syntax Int ::= firstNdE(EvPair) [function, total]
reference-semantics/semantics/builtins.k	227	rule	rule	fixed supplied semantics	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
reference-semantics/semantics/builtins.k	228	rule	owise	fixed supplied semantics	rule firstNdE(_:EvPair) => 0 [owise]
reference-semantics/semantics/builtins.k	230	syntax	function,total	fixed supplied semantics	syntax Int ::= applyOpE(String, Int, Int) [function, total]
reference-semantics/semantics/builtins.k	231	rule	rule	fixed supplied semantics	rule applyOpE("+",  A:Int, B:Int) => A +Int B
reference-semantics/semantics/builtins.k	232	rule	rule	fixed supplied semantics	rule applyOpE("-",  A:Int, B:Int) => A -Int B
reference-semantics/semantics/builtins.k	233	rule	rule	fixed supplied semantics	rule applyOpE("*",  A:Int, B:Int) => A *Int B
reference-semantics/semantics/builtins.k	234	rule	rule	fixed supplied semantics	rule applyOpE("//", A:Int, B:Int) => A divInt B
reference-semantics/semantics/builtins.k	235	rule	rule	fixed supplied semantics	rule applyOpE("**", A:Int, B:Int) => A ^Int B
reference-semantics/semantics/builtins.k	236	rule	owise	fixed supplied semantics	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
reference-semantics/semantics/builtins.k	238	syntax	function,total	fixed supplied semantics	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	239	rule	rule	fixed supplied semantics	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
reference-semantics/semantics/builtins.k	240	rule	rule	fixed supplied semantics	rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
reference-semantics/semantics/builtins.k	241	rule	rule	fixed supplied semantics	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))
reference-semantics/semantics/builtins.k	243	rule	owise	fixed supplied semantics	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
reference-semantics/semantics/builtins.k	244	syntax	function,total	fixed supplied semantics	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
reference-semantics/semantics/builtins.k	245	rule	rule	fixed supplied semantics	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
reference-semantics/semantics/builtins.k	246	rule	rule	fixed supplied semantics	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
reference-semantics/semantics/builtins.k	247	syntax	function,total	fixed supplied semantics	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
reference-semantics/semantics/builtins.k	248	rule	rule	fixed supplied semantics	rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
reference-semantics/semantics/builtins.k	250	syntax	function,total	fixed supplied semantics	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
reference-semantics/semantics/builtins.k	251	rule	rule	fixed supplied semantics	rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
reference-semantics/semantics/builtins.k	252	rule	rule	fixed supplied semantics	rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
reference-semantics/semantics/builtins.k	253	rule	rule	fixed supplied semantics	rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
reference-semantics/semantics/builtins.k	254	rule	rule	fixed supplied semantics	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
reference-semantics/semantics/builtins.k	255	syntax	function,total	fixed supplied semantics	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	256	rule	rule	fixed supplied semantics	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
reference-semantics/semantics/builtins.k	257	rule	rule	fixed supplied semantics	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON)
reference-semantics/semantics/builtins.k	260	rule	rule	fixed supplied semantics	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR))
reference-semantics/semantics/builtins.k	263	rule	owise	fixed supplied semantics	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR)) [owise]
reference-semantics/semantics/builtins.k	265	syntax	function,total	fixed supplied semantics	syntax Bool ::= inLevelE(String, String) [function, total]
reference-semantics/semantics/builtins.k	266	rule	rule	fixed supplied semantics	rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
reference-semantics/semantics/builtins.k	267	rule	rule	fixed supplied semantics	rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
reference-semantics/semantics/builtins.k	268	rule	owise	fixed supplied semantics	rule inLevelE(_:String, _:String) => false [owise]
reference-semantics/semantics/builtins.k	269	syntax	function,total	fixed supplied semantics	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
reference-semantics/semantics/builtins.k	270	rule	rule	fixed supplied semantics	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
reference-semantics/semantics/builtins.k	271	rule	rule	fixed supplied semantics	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
reference-semantics/semantics/builtins.k	272	syntax	function,total	fixed supplied semantics	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
