id	source	start_line	end_line	kind	classification	attributes	decision	decision_basis	normalized_source
K0015	semantics.k	48	48	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/methods.k"""
K0016	semantics.k	49	49	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/controls.k"""
K0017	semantics.k	50	50	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/functions.k"""
K0018	semantics.k	51	51	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/builtins.k"""
K0019	semantics.k	52	52	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/call.k"""
K0020	semantics.k	53	53	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/sort.k"""
K0021	semantics.k	54	54	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/assert.k"""
K0022	semantics.k	55	55	requires	requires		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/dict.k"""
K0023	semantics.k	56	56	requires	requires	concrete	ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	"requires ""semantics/concrete.k"""
K0024	semantics.k	58	58	module	module		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	module MPY
K0025	semantics.k	59	59	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-CORE
K0026	semantics.k	60	60	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-ITER
K0027	semantics.k	61	61	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-RANGE
K0028	semantics.k	62	62	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-OPERATORS
K0029	semantics.k	63	63	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-INT
K0030	semantics.k	64	64	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-BOOL
K0031	semantics.k	65	65	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-FLOAT
K0032	semantics.k	66	66	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-STR
K0033	semantics.k	67	67	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-SET
K0034	semantics.k	68	68	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-LIST
K0035	semantics.k	69	69	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-TUPLE
K0036	semantics.k	70	70	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-SUBSCRIPT
K0037	semantics.k	71	71	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-COMPREHENSION
K0038	semantics.k	72	72	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-METHODS
K0039	semantics.k	73	73	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-CONTROLS
K0040	semantics.k	74	74	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-FUNCTIONS
K0041	semantics.k	75	75	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-BUILTINS
K0042	semantics.k	76	76	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-CALL
K0043	semantics.k	77	77	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-SORT
K0044	semantics.k	78	78	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-ASSERT
K0045	semantics.k	79	79	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-DICT
K0046	semantics.k	80	81	endmodule	endmodule		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	endmodule
K0047	semantics.k	87	87	module	module		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	module MPY-KRUN
K0048	semantics.k	88	88	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY
K0049	semantics.k	89	89	imports	imports		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	imports MPY-CONCRETE
K0050	semantics.k	90	90	endmodule	endmodule		ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	endmodule
K0051	semantics/assert.k	3	3	module	module		STRUCTURE	Supplied-semantics assembly/module structure.	module MPY-ASSERT
K0052	semantics/assert.k	4	4	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-CORE
K0053	semantics/assert.k	6	7	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0054	semantics/assert.k	8	11	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0055	semantics/assert.k	13	15	rule	priority-rule	priority	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0056	semantics/assert.k	16	16	endmodule	endmodule		STRUCTURE	Supplied-semantics assembly/module structure.	endmodule
K0057	semantics/bool.k	5	5	module	module		STRUCTURE	Supplied-semantics assembly/module structure.	module MPY-BOOL
K0058	semantics/bool.k	6	6	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-CORE
K0059	semantics/bool.k	8	8	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
K0060	semantics/bool.k	10	10	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
K0061	semantics/bool.k	11	12	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
K0062	semantics/bool.k	16	16	context	context		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0063	semantics/bool.k	17	17	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0064	semantics/bool.k	18	19	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
K0065	semantics/bool.k	20	21	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
K0066	semantics/bool.k	22	23	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
K0067	semantics/bool.k	24	26	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
K0068	semantics/bool.k	29	30	rule	priority-rule	priority	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0069	semantics/bool.k	31	34	rule	priority-rule	priority	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0070	semantics/bool.k	35	38	rule	priority-rule	priority	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K0071	semantics/bool.k	39	42	rule	priority-rule	priority	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0072	semantics/bool.k	43	46	rule	priority-rule	priority	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K0073	semantics/bool.k	47	47	endmodule	endmodule		STRUCTURE	Supplied-semantics assembly/module structure.	endmodule
K0074	semantics/builtins.k	3	3	module	module		STRUCTURE	Supplied-semantics assembly/module structure.	module MPY-BUILTINS
K0075	semantics/builtins.k	4	4	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-CORE
K0076	semantics/builtins.k	5	5	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-STR
K0077	semantics/builtins.k	6	6	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-SET
K0078	semantics/builtins.k	7	7	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-ITER
K0079	semantics/builtins.k	8	8	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-RANGE
K0080	semantics/builtins.k	9	9	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-INT
K0081	semantics/builtins.k	10	13	imports	imports		STRUCTURE	Supplied-semantics assembly/module structure.	imports MPY-METHODS // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup
K0082	semantics/builtins.k	17	18	syntax	function-declaration	function	ACCEPTED_USED_BASELINE	Reachable on the submitted function/loop path and manually traced against the supplied subset semantics; no false-conclusion witness found.	syntax Val ::= applyBuiltin(String, Vals) [function]
K0083	semantics/builtins.k	20	20	syntax	function-declaration	function	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	syntax Int ::= seqLen(Val) [function]
K0084	semantics/builtins.k	21	21	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
K0085	semantics/builtins.k	22	22	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K0086	semantics/builtins.k	23	23	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K0087	semantics/builtins.k	24	24	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K0088	semantics/builtins.k	25	25	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K0089	semantics/builtins.k	26	27	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0090	semantics/builtins.k	32	32	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K0091	semantics/builtins.k	33	33	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K0092	semantics/builtins.k	34	34	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
K0093	semantics/builtins.k	35	35	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
K0094	semantics/builtins.k	36	36	syntax	function-declaration	function,total	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0095	semantics/builtins.k	37	37	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule charsOf(.IntSeq) => .ValSeq
K0096	semantics/builtins.k	38	39	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0097	semantics/builtins.k	41	42	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
K0098	semantics/builtins.k	44	45	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
K0099	semantics/builtins.k	47	47	syntax	syntax-declaration		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0100	semantics/builtins.k	48	48	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0101	semantics/builtins.k	49	49	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0102	semantics/builtins.k	50	52	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0103	semantics/builtins.k	54	54	syntax	function-declaration	function	ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	syntax Int ::= intOf(Val) [function]
K0104	semantics/builtins.k	55	55	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule intOf(I:Int) => I
K0105	semantics/builtins.k	56	57	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0106	semantics/builtins.k	59	59	syntax	syntax-declaration		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
K0107	semantics/builtins.k	60	60	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0108	semantics/builtins.k	61	61	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterDone ~> #allCont => true ... </k>
K0109	semantics/builtins.k	62	63	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0110	semantics/builtins.k	64	65	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0111	semantics/builtins.k	67	67	syntax	syntax-declaration		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
K0112	semantics/builtins.k	68	68	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0113	semantics/builtins.k	69	69	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterDone ~> #anyCont => false ... </k>
K0114	semantics/builtins.k	70	71	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0115	semantics/builtins.k	72	74	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0116	semantics/builtins.k	76	76	syntax	syntax-declaration		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
K0117	semantics/builtins.k	77	77	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0118	semantics/builtins.k	78	79	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0119	semantics/builtins.k	80	80	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0120	semantics/builtins.k	81	81	rule	ordinary-rule		ACCEPTED_UNUSED_BASELINE	Byte-identical supplied-semantics declaration not reached by the target claim on bit-string inputs; static scan found no witness affecting the intended theorem domain.	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
