id	file	line	module	kind	attributes	classification	decision	sentence
15	reference-semantics/semantics/bool.k	35	MPY-BOOL	rule	priority	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
16	reference-semantics/semantics/bool.k	39	MPY-BOOL	rule	priority	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
17	reference-semantics/semantics/bool.k	43	MPY-BOOL	rule	priority	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
18	reference-semantics/semantics/builtins.k	17	MPY-BUILTINS	syntax	function	SUPPLIED_FIXED_SEMANTICS_USED	ACCEPTED: matches trusted supplied tree and traced in the construct/control map for this program	syntax Val ::= applyBuiltin(String, Vals) [function]
19	reference-semantics/semantics/builtins.k	20	MPY-BUILTINS	syntax	function	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax Int ::= seqLen(Val) [function]
20	reference-semantics/semantics/builtins.k	21	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
21	reference-semantics/semantics/builtins.k	22	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
22	reference-semantics/semantics/builtins.k	23	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
23	reference-semantics/semantics/builtins.k	24	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
24	reference-semantics/semantics/builtins.k	25	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
25	reference-semantics/semantics/builtins.k	26	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
26	reference-semantics/semantics/builtins.k	32	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
27	reference-semantics/semantics/builtins.k	33	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
28	reference-semantics/semantics/builtins.k	34	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
29	reference-semantics/semantics/builtins.k	35	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
30	reference-semantics/semantics/builtins.k	36	MPY-BUILTINS	syntax	function,total	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	reference-semantics/semantics/builtins.k	37	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule charsOf(.IntSeq)                => .ValSeq
32	reference-semantics/semantics/builtins.k	38	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
33	reference-semantics/semantics/builtins.k	41	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
34	reference-semantics/semantics/builtins.k	44	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_USED	ACCEPTED: matches trusted supplied tree and traced in the construct/control map for this program	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
35	reference-semantics/semantics/builtins.k	47	MPY-BUILTINS	syntax	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	reference-semantics/semantics/builtins.k	48	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	reference-semantics/semantics/builtins.k	49	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	reference-semantics/semantics/builtins.k	50	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
39	reference-semantics/semantics/builtins.k	54	MPY-BUILTINS	syntax	function	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax Int ::= intOf(Val) [function]
40	reference-semantics/semantics/builtins.k	55	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule intOf(I:Int)  => I
41	reference-semantics/semantics/builtins.k	56	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
42	reference-semantics/semantics/builtins.k	59	MPY-BUILTINS	syntax	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
43	reference-semantics/semantics/builtins.k	60	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
44	reference-semantics/semantics/builtins.k	61	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterDone ~> #allCont => true ... </k>
45	reference-semantics/semantics/builtins.k	62	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
46	reference-semantics/semantics/builtins.k	64	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
47	reference-semantics/semantics/builtins.k	67	MPY-BUILTINS	syntax	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
48	reference-semantics/semantics/builtins.k	68	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	reference-semantics/semantics/builtins.k	69	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterDone ~> #anyCont => false ... </k>
50	reference-semantics/semantics/builtins.k	70	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
51	reference-semantics/semantics/builtins.k	72	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
52	reference-semantics/semantics/builtins.k	76	MPY-BUILTINS	syntax	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
53	reference-semantics/semantics/builtins.k	77	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	reference-semantics/semantics/builtins.k	78	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
55	reference-semantics/semantics/builtins.k	80	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	reference-semantics/semantics/builtins.k	81	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	reference-semantics/semantics/builtins.k	82	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
58	reference-semantics/semantics/builtins.k	86	MPY-BUILTINS	syntax	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
59	reference-semantics/semantics/builtins.k	87	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	reference-semantics/semantics/builtins.k	88	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
61	reference-semantics/semantics/builtins.k	90	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	reference-semantics/semantics/builtins.k	91	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	reference-semantics/semantics/builtins.k	92	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
64	reference-semantics/semantics/builtins.k	97	MPY-BUILTINS	syntax	function	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax Int ::= maxVals(Int, Vals) [function]
65	reference-semantics/semantics/builtins.k	98	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
66	reference-semantics/semantics/builtins.k	99	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule maxVals(M:Int, .Vals)           => M
67	reference-semantics/semantics/builtins.k	100	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	reference-semantics/semantics/builtins.k	102	MPY-BUILTINS	syntax	function	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax Int ::= minVals(Int, Vals) [function]
69	reference-semantics/semantics/builtins.k	103	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
70	reference-semantics/semantics/builtins.k	104	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule minVals(M:Int, .Vals)           => M
71	reference-semantics/semantics/builtins.k	105	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
72	reference-semantics/semantics/builtins.k	108	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
73	reference-semantics/semantics/builtins.k	111	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
74	reference-semantics/semantics/builtins.k	114	MPY-BUILTINS	syntax	function,total	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax IntSeq ::= binCodes(Int) [function, total]
75	reference-semantics/semantics/builtins.k	115	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule binCodes(0) => iCons(48, .IntSeq)
76	reference-semantics/semantics/builtins.k	116	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	reference-semantics/semantics/builtins.k	117	MPY-BUILTINS	syntax	function,total	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	reference-semantics/semantics/builtins.k	118	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule binAcc(0, ACC:IntSeq) => ACC
79	reference-semantics/semantics/builtins.k	119	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
80	reference-semantics/semantics/builtins.k	124	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
81	reference-semantics/semantics/builtins.k	126	MPY-BUILTINS	syntax	function,total	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	reference-semantics/semantics/builtins.k	127	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule enumVS(.ValSeq, _:Int) => .ValSeq
83	reference-semantics/semantics/builtins.k	128	MPY-BUILTINS	rule	-	SUPPLIED_FIXED_SEMANTICS_NOT_REACHED	ACCEPTED FOR THIS AUDIT: exact trusted supplied rule/declaration; not reached by solution.mpy or the concrete reviewer test	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
