file	line	kind	attributes	text	audit_disposition
reference-semantics/semantics/builtins.k	91	rule	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	92	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)  // ==== variadic max / min (a Vals fold) ====================================	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	97	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	98	rule	-	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	99	rule	-	rule maxVals(M:Int, .Vals)           => M	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	100	rule	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	102	syntax	function	syntax Int ::= minVals(Int, Vals) [function]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	103	rule	-	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	104	rule	-	rule minVals(M:Int, .Vals)           => M	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	105	rule	-	"rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)  // ==== bin(n) — ""0b"" + binary digit codes (promoted from 103's defined fold) =="	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	108	rule	-	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	111	rule	-	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	114	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	115	rule	-	rule binCodes(0) => iCons(48, .IntSeq)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	116	rule	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	117	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	118	rule	-	rule binAcc(0, ACC:IntSeq) => ACC	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	119	rule	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0  // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	124	rule	-	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	126	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	127	rule	-	rule enumVS(.ValSeq, _:Int) => .ValSeq	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	128	rule	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))  // ==== map(str, xs) — eager (only the str case is in the subset) =============	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	132	rule	-	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	134	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	135	rule	-	rule mapStrVS(.ValSeq) => .ValSeq	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	136	rule	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	137	rule	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))  // ==== int(x) identities (int(round(x)) composes through) ====================	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	140	rule	-	"rule applyBuiltin(""int"", I:Int, .Vals) => I  // ==== ord / chr ==========================================================="	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	143	rule	-	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	144	rule	-	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128  // ==== str(int) / str(str) ================================================="	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	148	rule	-	"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	149	rule	-	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)  // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value ====="	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	152	rule	-	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57  // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	156	rule	-	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
