id	file	line	kind	origin	flags	statement
15	reference-semantics/semantics/bool.k	22	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
16	reference-semantics/semantics/bool.k	24	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
17	reference-semantics/semantics/bool.k	29	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
18	reference-semantics/semantics/bool.k	31	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
19	reference-semantics/semantics/bool.k	35	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
20	reference-semantics/semantics/bool.k	39	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
21	reference-semantics/semantics/bool.k	43	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)] endmodule
22	reference-semantics/semantics/builtins.k	3	module	SUPPLIED_FIXED_SEMANTICS	-	module MPY-BUILTINS
23	reference-semantics/semantics/builtins.k	4	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-CORE
24	reference-semantics/semantics/builtins.k	5	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-STR
25	reference-semantics/semantics/builtins.k	6	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-SET
26	reference-semantics/semantics/builtins.k	7	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-ITER
27	reference-semantics/semantics/builtins.k	8	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-RANGE
28	reference-semantics/semantics/builtins.k	9	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-INT
29	reference-semantics/semantics/builtins.k	10	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-METHODS
30	reference-semantics/semantics/builtins.k	17	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Val ::= applyBuiltin(String, Vals) [function]
31	reference-semantics/semantics/builtins.k	20	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= seqLen(Val) [function]
32	reference-semantics/semantics/builtins.k	21	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
33	reference-semantics/semantics/builtins.k	22	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
34	reference-semantics/semantics/builtins.k	23	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
35	reference-semantics/semantics/builtins.k	24	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(str(IS:IntSeq)) => isLen(IS)
36	reference-semantics/semantics/builtins.k	25	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
37	reference-semantics/semantics/builtins.k	26	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
38	reference-semantics/semantics/builtins.k	32	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
39	reference-semantics/semantics/builtins.k	33	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
40	reference-semantics/semantics/builtins.k	34	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
41	reference-semantics/semantics/builtins.k	35	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
42	reference-semantics/semantics/builtins.k	36	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
43	reference-semantics/semantics/builtins.k	37	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule charsOf(.IntSeq) => .ValSeq
44	reference-semantics/semantics/builtins.k	38	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
45	reference-semantics/semantics/builtins.k	41	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
46	reference-semantics/semantics/builtins.k	44	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
47	reference-semantics/semantics/builtins.k	47	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
48	reference-semantics/semantics/builtins.k	48	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
49	reference-semantics/semantics/builtins.k	49	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
50	reference-semantics/semantics/builtins.k	50	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
51	reference-semantics/semantics/builtins.k	54	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= intOf(Val) [function]
52	reference-semantics/semantics/builtins.k	55	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule intOf(I:Int) => I
53	reference-semantics/semantics/builtins.k	56	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
54	reference-semantics/semantics/builtins.k	59	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #allAcc(Iterable) | "#allCont"
55	reference-semantics/semantics/builtins.k	60	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
56	reference-semantics/semantics/builtins.k	61	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #allCont => true ... </k>
57	reference-semantics/semantics/builtins.k	62	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
58	reference-semantics/semantics/builtins.k	64	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
59	reference-semantics/semantics/builtins.k	67	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
60	reference-semantics/semantics/builtins.k	68	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
61	reference-semantics/semantics/builtins.k	69	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #anyCont => false ... </k>
62	reference-semantics/semantics/builtins.k	70	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
63	reference-semantics/semantics/builtins.k	72	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
64	reference-semantics/semantics/builtins.k	76	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
65	reference-semantics/semantics/builtins.k	77	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
66	reference-semantics/semantics/builtins.k	78	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
67	reference-semantics/semantics/builtins.k	80	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
68	reference-semantics/semantics/builtins.k	81	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
69	reference-semantics/semantics/builtins.k	82	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
70	reference-semantics/semantics/builtins.k	86	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
71	reference-semantics/semantics/builtins.k	87	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
72	reference-semantics/semantics/builtins.k	88	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
73	reference-semantics/semantics/builtins.k	90	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
74	reference-semantics/semantics/builtins.k	91	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
75	reference-semantics/semantics/builtins.k	92	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
76	reference-semantics/semantics/builtins.k	97	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= maxVals(Int, Vals) [function]
77	reference-semantics/semantics/builtins.k	98	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
78	reference-semantics/semantics/builtins.k	99	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule maxVals(M:Int, .Vals) => M
79	reference-semantics/semantics/builtins.k	100	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
80	reference-semantics/semantics/builtins.k	102	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= minVals(Int, Vals) [function]
81	reference-semantics/semantics/builtins.k	103	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
82	reference-semantics/semantics/builtins.k	104	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule minVals(M:Int, .Vals) => M
83	reference-semantics/semantics/builtins.k	105	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
84	reference-semantics/semantics/builtins.k	108	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
85	reference-semantics/semantics/builtins.k	111	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
86	reference-semantics/semantics/builtins.k	114	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
87	reference-semantics/semantics/builtins.k	115	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule binCodes(0) => iCons(48, .IntSeq)
88	reference-semantics/semantics/builtins.k	116	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
89	reference-semantics/semantics/builtins.k	117	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
90	reference-semantics/semantics/builtins.k	118	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule binAcc(0, ACC:IntSeq) => ACC
91	reference-semantics/semantics/builtins.k	119	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
92	reference-semantics/semantics/builtins.k	124	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
93	reference-semantics/semantics/builtins.k	126	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
94	reference-semantics/semantics/builtins.k	127	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule enumVS(.ValSeq, _:Int) => .ValSeq
95	reference-semantics/semantics/builtins.k	128	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
96	reference-semantics/semantics/builtins.k	132	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
97	reference-semantics/semantics/builtins.k	134	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
98	reference-semantics/semantics/builtins.k	135	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule mapStrVS(.ValSeq) => .ValSeq
99	reference-semantics/semantics/builtins.k	136	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
100	reference-semantics/semantics/builtins.k	137	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
101	reference-semantics/semantics/builtins.k	140	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("int", I:Int, .Vals) => I
102	reference-semantics/semantics/builtins.k	143	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
103	reference-semantics/semantics/builtins.k	144	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
104	reference-semantics/semantics/builtins.k	148	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
105	reference-semantics/semantics/builtins.k	149	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
106	reference-semantics/semantics/builtins.k	152	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
107	reference-semantics/semantics/builtins.k	156	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
108	reference-semantics/semantics/builtins.k	158	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
109	reference-semantics/semantics/builtins.k	159	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule intDigAcc(.IntSeq, ACC:Int) => ACC
110	reference-semantics/semantics/builtins.k	160	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
111	reference-semantics/semantics/builtins.k	163	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
112	reference-semantics/semantics/builtins.k	164	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
113	reference-semantics/semantics/builtins.k	167	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
114	reference-semantics/semantics/builtins.k	169	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
115	reference-semantics/semantics/builtins.k	170	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
116	reference-semantics/semantics/builtins.k	171	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
117	reference-semantics/semantics/builtins.k	173	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
118	reference-semantics/semantics/builtins.k	174	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
119	reference-semantics/semantics/builtins.k	177	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
120	reference-semantics/semantics/builtins.k	178	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
121	reference-semantics/semantics/builtins.k	179	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
122	reference-semantics/semantics/builtins.k	187	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
123	reference-semantics/semantics/builtins.k	188	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= evalArith(IntSeq) [function]
124	reference-semantics/semantics/builtins.k	189	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
125	reference-semantics/semantics/builtins.k	192	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
126	reference-semantics/semantics/builtins.k	194	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Bool ::= evDigit(Int) [function, total]
127	reference-semantics/semantics/builtins.k	195	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
128	reference-semantics/semantics/builtins.k	196	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
129	reference-semantics/semantics/builtins.k	197	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule evHead42(iCons(42, _:IntSeq)) => true
130	reference-semantics/semantics/builtins.k	198	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule evHead42(_:IntSeq) => false [owise]
131	reference-semantics/semantics/builtins.k	199	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
132	reference-semantics/semantics/builtins.k	200	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule evHead47(iCons(47, _:IntSeq)) => true
133	reference-semantics/semantics/builtins.k	201	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule evHead47(_:IntSeq) => false [owise]
134	reference-semantics/semantics/builtins.k	203	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
135	reference-semantics/semantics/builtins.k	204	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(.IntSeq) => .OpSeq
136	reference-semantics/semantics/builtins.k	205	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
137	reference-semantics/semantics/builtins.k	206	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
138	reference-semantics/semantics/builtins.k	207	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
139	reference-semantics/semantics/builtins.k	208	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
140	reference-semantics/semantics/builtins.k	209	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("
141	reference-semantics/semantics/builtins.k	210	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)
142	reference-semantics/semantics/builtins.k	211	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))
143	reference-semantics/semantics/builtins.k	212	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))
144	reference-semantics/semantics/builtins.k	214	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
145	reference-semantics/semantics/builtins.k	216	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokNds(.IntSeq) => .IntSeq
146	reference-semantics/semantics/builtins.k	217	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
147	reference-semantics/semantics/builtins.k	218	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
148	reference-semantics/semantics/builtins.k	219	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
149	reference-semantics/semantics/builtins.k	221	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
