id	file	line	kind	origin	flags	statement	audit_disposition	reason
16	reference-semantics/semantics/bool.k	24	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
17	reference-semantics/semantics/bool.k	29	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
18	reference-semantics/semantics/bool.k	31	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
19	reference-semantics/semantics/bool.k	35	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
20	reference-semantics/semantics/bool.k	39	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
21	reference-semantics/semantics/bool.k	43	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)] endmodule"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
22	reference-semantics/semantics/builtins.k	3	module	SUPPLIED_FIXED_SEMANTICS	-	module MPY-BUILTINS	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
23	reference-semantics/semantics/builtins.k	4	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-CORE	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
24	reference-semantics/semantics/builtins.k	5	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-STR	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
25	reference-semantics/semantics/builtins.k	6	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-SET	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
26	reference-semantics/semantics/builtins.k	7	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-ITER	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
27	reference-semantics/semantics/builtins.k	8	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-RANGE	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
28	reference-semantics/semantics/builtins.k	9	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-INT	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
29	reference-semantics/semantics/builtins.k	10	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-METHODS	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
30	reference-semantics/semantics/builtins.k	17	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Val ::= applyBuiltin(String, Vals) [function]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
31	reference-semantics/semantics/builtins.k	20	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= seqLen(Val) [function]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
32	reference-semantics/semantics/builtins.k	21	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
33	reference-semantics/semantics/builtins.k	22	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(list(VS:ValSeq)) => vsLen(VS)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
34	reference-semantics/semantics/builtins.k	23	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
35	reference-semantics/semantics/builtins.k	24	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(str(IS:IntSeq)) => isLen(IS)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
36	reference-semantics/semantics/builtins.k	25	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(setV(DS:IntSeq)) => isLen(DS)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
37	reference-semantics/semantics/builtins.k	26	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
38	reference-semantics/semantics/builtins.k	32	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
39	reference-semantics/semantics/builtins.k	33	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
40	reference-semantics/semantics/builtins.k	34	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
41	reference-semantics/semantics/builtins.k	35	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
42	reference-semantics/semantics/builtins.k	36	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
43	reference-semantics/semantics/builtins.k	37	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule charsOf(.IntSeq) => .ValSeq	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
44	reference-semantics/semantics/builtins.k	38	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
45	reference-semantics/semantics/builtins.k	41	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
46	reference-semantics/semantics/builtins.k	44	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
47	reference-semantics/semantics/builtins.k	47	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
48	reference-semantics/semantics/builtins.k	48	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
49	reference-semantics/semantics/builtins.k	49	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
50	reference-semantics/semantics/builtins.k	50	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
51	reference-semantics/semantics/builtins.k	54	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= intOf(Val) [function]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
52	reference-semantics/semantics/builtins.k	55	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule intOf(I:Int) => I	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
53	reference-semantics/semantics/builtins.k	56	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
54	reference-semantics/semantics/builtins.k	59	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
55	reference-semantics/semantics/builtins.k	60	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
56	reference-semantics/semantics/builtins.k	61	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #allCont => true ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
57	reference-semantics/semantics/builtins.k	62	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
58	reference-semantics/semantics/builtins.k	64	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
59	reference-semantics/semantics/builtins.k	67	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
60	reference-semantics/semantics/builtins.k	68	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
61	reference-semantics/semantics/builtins.k	69	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #anyCont => false ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
62	reference-semantics/semantics/builtins.k	70	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
63	reference-semantics/semantics/builtins.k	72	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
64	reference-semantics/semantics/builtins.k	76	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
65	reference-semantics/semantics/builtins.k	77	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
66	reference-semantics/semantics/builtins.k	78	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
67	reference-semantics/semantics/builtins.k	80	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
68	reference-semantics/semantics/builtins.k	81	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
69	reference-semantics/semantics/builtins.k	82	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
70	reference-semantics/semantics/builtins.k	86	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
71	reference-semantics/semantics/builtins.k	87	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
72	reference-semantics/semantics/builtins.k	88	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
73	reference-semantics/semantics/builtins.k	90	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
74	reference-semantics/semantics/builtins.k	91	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
75	reference-semantics/semantics/builtins.k	92	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
76	reference-semantics/semantics/builtins.k	97	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= maxVals(Int, Vals) [function]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
77	reference-semantics/semantics/builtins.k	98	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
78	reference-semantics/semantics/builtins.k	99	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule maxVals(M:Int, .Vals) => M	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
79	reference-semantics/semantics/builtins.k	100	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
80	reference-semantics/semantics/builtins.k	102	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax Int ::= minVals(Int, Vals) [function]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
81	reference-semantics/semantics/builtins.k	103	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
82	reference-semantics/semantics/builtins.k	104	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule minVals(M:Int, .Vals) => M	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
83	reference-semantics/semantics/builtins.k	105	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
84	reference-semantics/semantics/builtins.k	108	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
85	reference-semantics/semantics/builtins.k	111	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
86	reference-semantics/semantics/builtins.k	114	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax IntSeq ::= binCodes(Int) [function, total]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
