file	module	kind	start_line	end_line	role	attributes	normalized_sha256	assessment	rationale	normalized_sentence
semantics/bool.k	MPY-BOOL	rule	22	23	operational	-	66ef890f68fe08fb9cafa68cd0f292cad9db3d564aa5d15542c90c9baecd8c27	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
semantics/bool.k	MPY-BOOL	rule	24	28	operational	-	a1e1d5c0c320489628410545eeba67dfb65e90c6799530ecbfb4a82719f91192	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
semantics/bool.k	MPY-BOOL	rule	29	30	operational	priority	570c438ed2f88db94f853171689a61a4a3efbf6632bd00359e59635b287cdd42	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
semantics/bool.k	MPY-BOOL	rule	31	34	operational	priority	b20811d55420feb532235075af2164c6b7e8f9483e24f63346f384cc07354bdb	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
semantics/bool.k	MPY-BOOL	rule	35	38	operational	priority	1da617ae289768882fb6780ddef9c967f8b30389f7e29694fbe4143e85146236	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
semantics/bool.k	MPY-BOOL	rule	39	42	operational	priority	2eb620e8bf34c458becc919febceee04cab4f37e1a1ed7956f119a8b1265009e	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
semantics/bool.k	MPY-BOOL	rule	43	46	operational	priority	86c2967b9fc68899e77c31f07a35e2359123a4ec12bb59c71db0aed88426d464	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
semantics/builtins.k	MPY-BUILTINS	syntax	17	19	declaration	function	73578867deee2dfcdb98120487124565c315d958566aba476748783911768d8e	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
semantics/builtins.k	MPY-BUILTINS	syntax	20	20	declaration	function	f6cf3d1713c13dac8d22e5399684f39be014bb52fc407729a141920e9ac6961a	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax Int ::= seqLen(Val) [function]
semantics/builtins.k	MPY-BUILTINS	rule	21	21	equational	-	4c33466e09a76b7760813815674e6ffbb94166ddb7069d042ef42b3ce95e3265	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
semantics/builtins.k	MPY-BUILTINS	rule	22	22	equational	-	0aaba3d3b63a12047950734de1d7f6d68d726a77712db94d2c7f79f9ee9d9546	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
semantics/builtins.k	MPY-BUILTINS	rule	23	23	equational	-	f5cd3a9a635bc85b291d7c33464d791ed4d02eeec6bc95e77180d1ef1e153748	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
semantics/builtins.k	MPY-BUILTINS	rule	24	24	equational	-	d643ec5ddd399eb71ffb1b400c91340247b2e06423439b55fc984555dfe96583	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule seqLen(str(IS:IntSeq)) => isLen(IS)
semantics/builtins.k	MPY-BUILTINS	rule	25	25	equational	-	fe3adc7a7e150cfcc668226bda4a9a9ff6fc4b01786d0c6f9d7a62c2dfda0bc1	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
semantics/builtins.k	MPY-BUILTINS	rule	26	31	equational	-	66ce929da75b936769c8642e6a1881ab89952847146a3e59bdcd235431f19d90	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
semantics/builtins.k	MPY-BUILTINS	rule	32	32	operational	-	200f6d489286304114b4e127922e5d267a6472b44933e2526b01f03abf54d849	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	33	33	operational	-	d4c8072f0224b4363a94ae3ac318b3b18ad05c41f2b433fe526f8d020ae141b5	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	34	34	operational	-	0b80f78f2b97822d5ac436de4244defd9d61c478add9ea00843e45329c8953de	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	35	35	operational	-	8b7fa386647f39a38debea703feca31b12a6d50ea85d8dc708c95c98f1d29cf8	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
semantics/builtins.k	MPY-BUILTINS	syntax	36	36	declaration	function,total	01aff6eecdd49ca279cb4378e0ba39cf9a5e1da377c6bda52586943e73543839	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
semantics/builtins.k	MPY-BUILTINS	rule	37	37	equational	-	b46c475391e590ad418923d8208c753f459b5f2ab076283ed1a0377e31df6588	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule charsOf(.IntSeq) => .ValSeq
semantics/builtins.k	MPY-BUILTINS	rule	38	40	equational	-	5e4a1af2608ee0d41e92cb766af70cd79b78207ac88652a4c1eb65199edc07b6	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
semantics/builtins.k	MPY-BUILTINS	rule	41	43	equational	-	4a4f32b7892007e61b26053d7bc7a349c1fe8aee355d0aaefc4852a3c9d99e8c	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
semantics/builtins.k	MPY-BUILTINS	rule	44	46	equational	-	db3d75b51d53b74c515d9cd60792c23b42f3418ae874263c7925d801326b7695	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
semantics/builtins.k	MPY-BUILTINS	syntax	47	47	declaration	-	8faa5250ed2b829b2c57a81708a1e0b4c8fc5683bff408e6fae108fe3ec4e60f	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
semantics/builtins.k	MPY-BUILTINS	rule	48	48	operational	-	cd531bdb9afa464c73c67f8946bbe64957682a3d5dd078d0bf22a556ccc572e6	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	49	49	operational	-	74ff8e8be84218b889ef85b902de5efaea860b572c8a5da8306df05a1b3c4947	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	50	52	operational	-	1ea66d1c87c6d6c2367b5978e8c39eabd2c37f53f7517b4ff6a7dd95934f21a0	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
semantics/builtins.k	MPY-BUILTINS	syntax	54	54	declaration	function	0355f95a50a6608682b1c8b9e304799a37a3ed6f4f6f81f8cc0d968f5ff678a4	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax Int ::= intOf(Val) [function]
semantics/builtins.k	MPY-BUILTINS	rule	55	55	equational	-	619051750e3b8e9f67feace8a633ecf86a9daf0eac32615563f871a0069e9e1c	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule intOf(I:Int) => I
semantics/builtins.k	MPY-BUILTINS	rule	56	58	equational	-	4ab92a36ddc90a69c42fa4f200d975591e697d4b9245712fe827d75e4367ba4d	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
semantics/builtins.k	MPY-BUILTINS	syntax	59	59	declaration	-	ed695fa0c4dbae8a1436b754495b020fb468e206c2b6448c21a61316bf0da571	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax KItem ::= #allAcc(Iterable) | "#allCont"
semantics/builtins.k	MPY-BUILTINS	rule	60	60	operational	-	e7fc3b9b3a8439566a4974be9e36608e65f380fca9cc34bcc9c6b41e522e9c16	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	61	61	operational	-	b74e515d3e67d8a52e1d0a061bb0432a2bf1de1b43995cc280a0ee2003d49c36	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterDone ~> #allCont => true ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	62	63	operational	-	beb3eb90ee0ff2e9d13f424eb92b4dc8263fba7700c6690beba2d2aafb4299ad	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
semantics/builtins.k	MPY-BUILTINS	rule	64	65	operational	-	942b3c5ca9399a49d2fbd6ab4fa1a405dd4a7cf4516ff56af02970e4f30aa9a1	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
semantics/builtins.k	MPY-BUILTINS	syntax	67	67	declaration	-	fbd45cd7894ab0316f890fc61b1b5354b41eabbba062394cbcbf820f53d00eb0	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
semantics/builtins.k	MPY-BUILTINS	rule	68	68	operational	-	ca3f3bc3212a4bde9db710ca67b9ff4f7372092a568008c9e263f36654c478be	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	69	69	operational	-	c0ee3d29de0f584789682596e1516d301ee7f3cd73ca05694f3f10b3a978063a	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterDone ~> #anyCont => false ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	70	71	operational	-	6d518d4a9ce768d209c77a938fe801e5d4cb6a5bf65b95ed6c13bd7ec71209b5	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
semantics/builtins.k	MPY-BUILTINS	rule	72	75	operational	-	164008b49bd9b7dc3661592aeaabd5fcfef9f1e2581b0ef1e18a4f471adf13e8	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
semantics/builtins.k	MPY-BUILTINS	syntax	76	76	declaration	-	e3461106d962a1af387b25dc9d0efaf45f25429c84e747320080d55a256fe3c6	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
semantics/builtins.k	MPY-BUILTINS	rule	77	77	operational	-	59848da8989bf29361886195ec4d734aee2bb375e15be945b163e8bebe9dc86b	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	78	79	operational	-	ea3939e11faecfbdaf2e2a14e81ed6135343d312f3de159e633f02b0fad02cd1	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
semantics/builtins.k	MPY-BUILTINS	rule	80	80	operational	-	66b9fabf71fa1c3cb5935e7c758b7835d42c078229bef95a9d00258c2be25942	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	81	81	operational	-	45675f8137ef759c03793ddbc5f29ba0c26e9b63dbb20548eff076acbe7f1e57	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	82	84	operational	-	fee6fab3ed0c3bb5c60e6322b9837a3f13ea7f3cf846ea670e1197e10b84ddf1	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
semantics/builtins.k	MPY-BUILTINS	syntax	86	86	declaration	-	612c7bdfd2d38320c9120a5ad0911e5880488eb2a92ab68e87ac7a0a9bdcc60d	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
semantics/builtins.k	MPY-BUILTINS	rule	87	87	operational	-	eb6389d2a176f8e9c2eb65f49175e5c400253651be9a571add590da6ce3ba770	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	88	89	operational	-	626486127c454c5cc6f3c1fdbae17950f6a96239e28e9d72fdd6322a77112532	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
semantics/builtins.k	MPY-BUILTINS	rule	90	90	operational	-	20c0d7b936a1ae717e1b498c544d3e56d529de8b54a671c87468ea52c0180f02	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	91	91	operational	-	3f472924a83dcd925a34d32704d5cb43591b3115643998243b00b590ffd0789e	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
semantics/builtins.k	MPY-BUILTINS	rule	92	96	operational	-	a9b5772d35f73a01689b10b279ce8d3882e8605d38e7ea60527da50c60cdf367	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================
semantics/builtins.k	MPY-BUILTINS	syntax	97	97	declaration	function	4282c4747876bd11b0e0b06b2e4a8b6d9a709d9fb7d61a124e4e6e221a9cf49a	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax Int ::= maxVals(Int, Vals) [function]
semantics/builtins.k	MPY-BUILTINS	rule	98	98	equational	-	16f482b70cca4e393239fcfc21ef383ea47184220924e70160efcc4f10351c27	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
semantics/builtins.k	MPY-BUILTINS	rule	99	99	equational	-	d3dcf3e3dfc110b7a7e46a508da6b501013718660c4909102ecb99372daeeb5e	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule maxVals(M:Int, .Vals) => M
semantics/builtins.k	MPY-BUILTINS	rule	100	100	equational	-	f1bf63869c2f8c3b4f48e5d002007a959d31bd3f9c39589cedd372e8e8c2c1fd	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
semantics/builtins.k	MPY-BUILTINS	syntax	102	102	declaration	function	8b1e9d6e3b83d5fbb06102823efcc1bd5eceebe50248a0519155605df3d8928e	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax Int ::= minVals(Int, Vals) [function]
semantics/builtins.k	MPY-BUILTINS	rule	103	103	equational	-	92b52ecacf4f7bcc94c1774bbf2f8c46491933333083bff18d1fba94099a53f7	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
semantics/builtins.k	MPY-BUILTINS	rule	104	104	equational	-	a772c1fa6c19d7e20de4bfb312290a4fec8361e25da92cf256eec367e779d438	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule minVals(M:Int, .Vals) => M
semantics/builtins.k	MPY-BUILTINS	rule	105	107	equational	-	52f70ac7a1b581eb62493a23d2c267864f1307d124a0d6469886b189a3c8b64c	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
semantics/builtins.k	MPY-BUILTINS	rule	108	110	equational	-	75cdd7f2c5ddedc5d2d0eb29d46a57ac2c7b9e730d41d0a050087d8caca1471b	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits
semantics/builtins.k	MPY-BUILTINS	rule	111	113	equational	-	edb0bd1ec983404de3c2e8d866c12554270e0f9fc01dbc7307d5ba0ff1510fb4	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
semantics/builtins.k	MPY-BUILTINS	syntax	114	114	declaration	function,total	c616aba4766ff2aaf0704be23847369aa1831eaf4276066d724101d505f66734	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	syntax IntSeq ::= binCodes(Int) [function, total]
