id	source	module	start_line	end_line	kind	attributes	flags	disposition	text
K0034	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	3	3	module			fixed-supplied-semantics	module MPY-BUILTINS
K0035	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	4	4	imports			fixed-supplied-semantics	  imports MPY-CORE
K0036	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	5	5	imports			fixed-supplied-semantics	  imports MPY-STR
K0037	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	6	6	imports			fixed-supplied-semantics	  imports MPY-SET
K0038	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	7	7	imports			fixed-supplied-semantics	  imports MPY-ITER
K0039	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	8	8	imports			fixed-supplied-semantics	  imports MPY-RANGE
K0040	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	9	9	imports			fixed-supplied-semantics	  imports MPY-INT
K0041	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	10	16	imports			fixed-supplied-semantics	"  imports MPY-METHODS

  // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup

  // Call routing + argument evaluation live in call.k, which also routes the fold
  // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to
  // applyBuiltin. This module owns applyBuiltin + the fold implementations."
K0042	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	17	19	syntax	function	function	fixed-supplied-semantics	"  syntax Val ::= applyBuiltin(String, Vals) [function]

  // ==== len(obj) — O(1) per kind ============================================"
K0043	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	20	20	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= seqLen(Val) [function]
K0044	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	21	21	rule			fixed-supplied-semantics	"  rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
K0045	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	22	22	rule			fixed-supplied-semantics	  rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
K0046	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	23	23	rule			fixed-supplied-semantics	  rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
K0047	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	24	24	rule			fixed-supplied-semantics	  rule seqLen(str(IS:IntSeq))                   => isLen(IS)
K0048	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	25	25	rule			fixed-supplied-semantics	  rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
K0049	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	26	31	rule			fixed-supplied-semantics	"  rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)

  // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) ==
  // Minimal: the ""copy a sequence"" case (list of a list is itself; list of a tuple keeps order).
  // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed.
  // (k-cell — list() constructs a NEW object)"
K0050	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	32	32	rule			fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
K0051	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	33	33	rule			fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K0052	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	34	34	rule			fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
K0053	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	35	35	rule			fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
K0054	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	36	36	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0055	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	37	37	rule			fixed-supplied-semantics	  rule charsOf(.IntSeq)                => .ValSeq
K0056	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	38	40	rule			fixed-supplied-semantics	"  rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))

  // ==== set(str) — distinct character codes ================================="
K0057	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	41	43	rule			fixed-supplied-semantics	"  rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))

  // ==== abs(int) ============================================================"
K0058	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	44	46	rule			fixed-supplied-semantics	"  rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)

  // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool =="
K0059	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	47	47	syntax			fixed-supplied-semantics	  syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0060	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	48	48	rule			fixed-supplied-semantics	  rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0061	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	49	49	rule			fixed-supplied-semantics	  rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0062	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	50	51	rule			fixed-supplied-semantics	"  rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)
        => #sumAcc(R, ACC +Int intOf(V)) ... </k>"
K0063	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	52	52	requires			fixed-supplied-semantics	       requires isInt(V) orBool isBool(V)
K0064	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	54	54	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= intOf(Val) [function]
K0065	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	55	55	rule			fixed-supplied-semantics	  rule intOf(I:Int)  => I
K0066	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	56	58	rule			fixed-supplied-semantics	"  rule intOf(B:Bool) => #if B #then 1 #else 0 #fi

  // ==== all / any (short-circuiting #iterNext folds) ========================"
K0067	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	59	59	syntax			fixed-supplied-semantics	"  syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
K0068	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	60	60	rule			fixed-supplied-semantics	  rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0069	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	61	61	rule			fixed-supplied-semantics	  rule <k> #iterDone ~> #allCont => true ... </k>
K0070	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	62	62	rule			fixed-supplied-semantics	  rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
K0071	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	63	63	requires			fixed-supplied-semantics	       requires truthy(V)
K0072	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	64	64	rule			fixed-supplied-semantics	  rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
K0073	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	65	65	requires			fixed-supplied-semantics	       requires notBool truthy(V)
K0074	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	67	67	syntax			fixed-supplied-semantics	"  syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
K0075	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	68	68	rule			fixed-supplied-semantics	  rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0076	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	69	69	rule			fixed-supplied-semantics	  rule <k> #iterDone ~> #anyCont => false ... </k>
K0077	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	70	70	rule			fixed-supplied-semantics	  rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
K0078	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	71	71	requires			fixed-supplied-semantics	       requires truthy(V)
K0079	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	72	72	rule			fixed-supplied-semantics	  rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
K0080	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	73	75	requires			fixed-supplied-semantics	"       requires notBool truthy(V)

  // ==== max / min over an iterable (#iterNext folds; first element seeds) ===="
K0081	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	76	76	syntax			fixed-supplied-semantics	"  syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
K0082	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	77	77	rule			fixed-supplied-semantics	  rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0083	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	78	78	rule			fixed-supplied-semantics	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
K0084	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	79	79	requires			fixed-supplied-semantics	       requires isInt(V)
K0085	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	80	80	rule			fixed-supplied-semantics	  rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0086	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	81	81	rule			fixed-supplied-semantics	  rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0087	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	82	83	rule			fixed-supplied-semantics	"  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)
        => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>"
K0088	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	84	84	requires			fixed-supplied-semantics	       requires isInt(V)
K0089	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	86	86	syntax			fixed-supplied-semantics	"  syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
K0090	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	87	87	rule			fixed-supplied-semantics	  rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0091	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	88	88	rule			fixed-supplied-semantics	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
K0092	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	89	89	requires			fixed-supplied-semantics	       requires isInt(V)
K0093	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	90	90	rule			fixed-supplied-semantics	  rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0094	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	91	91	rule			fixed-supplied-semantics	  rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0095	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	92	93	rule			fixed-supplied-semantics	"  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)
        => #minAcc(R, minInt(M, {V}:>Int)) ... </k>"
K0096	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	94	96	requires			fixed-supplied-semantics	"       requires isInt(V)

  // ==== variadic max / min (a Vals fold) ===================================="
K0097	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	97	97	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= maxVals(Int, Vals) [function]
K0098	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	98	98	rule			fixed-supplied-semantics	"  rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
K0099	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	99	99	rule			fixed-supplied-semantics	  rule maxVals(M:Int, .Vals)           => M
K0100	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	100	100	rule			fixed-supplied-semantics	  rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0101	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	102	102	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= minVals(Int, Vals) [function]
K0102	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	103	103	rule			fixed-supplied-semantics	"  rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
K0103	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	104	104	rule			fixed-supplied-semantics	  rule minVals(M:Int, .Vals)           => M
K0104	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	105	107	rule			fixed-supplied-semantics	"  rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)

  // ==== bin(n) — ""0b"" + binary digit codes (promoted from 103's defined fold) =="
K0105	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	108	108	rule			fixed-supplied-semantics	"  rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"
K0106	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	109	110	requires			fixed-supplied-semantics	"       requires N >=Int 0
  // negative operand: the '-' sign prefixes the magnitude's digits"
K0107	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	111	112	rule			fixed-supplied-semantics	"  rule applyBuiltin(""bin"", N:Int, .Vals)
    => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))"
K0108	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	113	113	requires			fixed-supplied-semantics	       requires N <Int 0
K0109	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	114	114	syntax	function, total	function,total	fixed-supplied-semantics	  syntax IntSeq ::= binCodes(Int) [function, total]
K0110	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	115	115	rule			fixed-supplied-semantics	  rule binCodes(0) => iCons(48, .IntSeq)
K0111	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	116	116	rule			fixed-supplied-semantics	  rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0112	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	117	117	syntax	function, total	function,total	fixed-supplied-semantics	  syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0113	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	118	118	rule			fixed-supplied-semantics	  rule binAcc(0, ACC:IntSeq) => ACC
K0114	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	119	120	rule			fixed-supplied-semantics	"  rule binAcc(N:Int, ACC:IntSeq)
    => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))"
K0115	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	121	123	requires			fixed-supplied-semantics	"       requires N >Int 0

  // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list ========="
K0116	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	124	125	rule			fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals))
        => #alloc(list(enumVS(VS, 0))) ... </k>"
K0117	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	126	126	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0118	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	127	127	rule			fixed-supplied-semantics	  rule enumVS(.ValSeq, _:Int) => .ValSeq
K0119	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	128	131	rule			fixed-supplied-semantics	"  rule enumVS(vCons(V:Val, R:ValSeq), I:Int)
    => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))

  // ==== map(str, xs) — eager (only the str case is in the subset) ============="
K0120	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	132	133	rule			fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals))
        => #alloc(list(mapStrVS(VS))) ... </k>"
K0121	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	134	134	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0122	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	135	135	rule			fixed-supplied-semantics	  rule mapStrVS(.ValSeq) => .ValSeq
K0123	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	136	136	rule			fixed-supplied-semantics	  rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0124	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	137	139	rule			fixed-supplied-semantics	"  rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))

  // ==== int(x) identities (int(round(x)) composes through) ===================="
K0125	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	140	142	rule			fixed-supplied-semantics	"  rule applyBuiltin(""int"", I:Int, .Vals) => I

  // ==== ord / chr ==========================================================="
K0126	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	143	143	rule			fixed-supplied-semantics	"  rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
K0127	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	144	144	rule			fixed-supplied-semantics	"  rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq))"
K0128	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	145	147	requires			fixed-supplied-semantics	"       requires 0 <=Int I andBool I <Int 128

  // ==== str(int) / str(str) ================================================="
K0129	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	148	148	rule			fixed-supplied-semantics	"  rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
K0130	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	149	151	rule			fixed-supplied-semantics	"  rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)

  // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value ====="
K0131	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	152	152	rule			fixed-supplied-semantics	"  rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48"
K0132	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	153	155	requires			fixed-supplied-semantics	"       requires 48 <=Int C andBool C <=Int 57

  // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)"
K0133	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	156	156	rule			fixed-supplied-semantics	"  rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)"
K0134	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	157	157	requires			fixed-supplied-semantics	       requires isLen(CS) >=Int 2
K0135	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	158	158	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0136	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	159	159	rule			fixed-supplied-semantics	  rule intDigAcc(.IntSeq, ACC:Int)             => ACC
K0137	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	160	162	rule			fixed-supplied-semantics	"  rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))

  // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter ====="
K0138	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	163	163	rule			fixed-supplied-semantics	"  rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
K0139	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	164	166	rule			fixed-supplied-semantics	"  rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)

  // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)"
