id	source	module	start_line	end_line	kind	attributes	flags	disposition	text
S0027	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	226	226	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Int ::= firstNdE(EvPair) [function, total]
S0028	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	228	228	rule	owise	owise	fixed-supplied-semantics	  rule firstNdE(_:EvPair) => 0 [owise]
S0029	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	230	230	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Int ::= applyOpE(String, Int, Int) [function, total]
S0030	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	236	236	rule	owise	owise	fixed-supplied-semantics	  rule applyOpE(_:String, A:Int, _:Int) => A [owise]
S0031	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	238	238	syntax	function, total	function,total	fixed-supplied-semantics	  syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
S0032	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	243	243	rule	owise	owise	fixed-supplied-semantics	  rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
S0033	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	244	244	syntax	function, total	function,total	fixed-supplied-semantics	  syntax EvPair ::= powCombE(Int, EvPair) [function, total]
S0034	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	247	247	syntax	function, total	function,total	fixed-supplied-semantics	  syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
S0035	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	250	250	syntax	function, total; function, total	function,total	fixed-supplied-semantics	  syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
S0036	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	255	255	syntax	function, total	function,total	fixed-supplied-semantics	  syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
S0037	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	263	264	rule	owise	owise	fixed-supplied-semantics	"  rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq)
    => evp(OO, appendIE(ON, CUR)) [owise]"
S0038	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	265	265	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= inLevelE(String, String) [function, total]
S0039	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	268	268	rule	owise	owise	fixed-supplied-semantics	  rule inLevelE(_:String, _:String) => false [owise]
S0040	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	269	269	syntax	function, total	function,total	fixed-supplied-semantics	  syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
S0041	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	272	272	syntax	function, total	function,total	fixed-supplied-semantics	  syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
S0042	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	280	281	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> Call(Attribute(Name(""hashlib""), ""md5""), (E:Expr, .Exprs)) => E ~> #md5 ... </k>
       [priority(40)]"
S0043	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	285	290	syntax	function, total, symbol(md5hexCodes), no-evaluators	function,total,no-evaluators,symbol	fixed-supplied-semantics	"  syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]

  // ==== isinstance(V, int|str) — an ordinary 2-arg builtin ===================
  // The type argument (int/str) is an ordinary name that resolves via the builtins frame to
  // typeV (see core.k's config); no Call-level special case. isIntV/isStrV mirror the old
  // owise-on-Val test (concrete-sort args decide; a symbolic Val stays owise, as before)."
S0044	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	293	293	syntax	function; function	function	fixed-supplied-semantics	  syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
S0045	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	295	295	rule	owise	owise	fixed-supplied-semantics	  rule isIntV(_:Val)         => false [owise]
S0046	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	297	297	rule	owise	owise	fixed-supplied-semantics	  rule isStrV(_:Val)         => false [owise]
S0047	/candidate/reference-semantics/semantics/call.k	MPY-CALL	20	20	rule	owise	owise	fixed-supplied-semantics	  rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
S0048	/candidate/reference-semantics/semantics/call.k	MPY-CALL	31	31	rule	owise	owise	fixed-supplied-semantics	  rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
S0049	/candidate/reference-semantics/semantics/call.k	MPY-CALL	38	41	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals))
        => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
S0050	/candidate/reference-semantics/semantics/call.k	MPY-CALL	45	46	requires	priority(40)	priority	fixed-supplied-semantics	"       requires notBool isRefV(A)
       [priority(40)]"
S0051	/candidate/reference-semantics/semantics/call.k	MPY-CALL	47	50	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals))
        => #applyK(toCall(typeV(T)), (V, REST)) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
S0052	/candidate/reference-semantics/semantics/call.k	MPY-CALL	52	52	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= isMutMethod(String) [function, total]
S0053	/candidate/reference-semantics/semantics/call.k	MPY-CALL	59	62	requires	priority(40)	priority	fixed-supplied-semantics	"       requires notBool isMutMethod(M)
       [priority(40)]
  // non-mutating methods READ their heap-object arguments too (join's list);
  // mutators keep refs (append of a list into a list-of-lists stays aliased)"
S0054	/candidate/reference-semantics/semantics/call.k	MPY-CALL	66	67	requires	priority(40)	priority	fixed-supplied-semantics	"       requires notBool isMutMethod(M) andBool notBool isRefV(OBJ)
       [priority(40)]"
S0055	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	14	14	syntax	macro	macro	fixed-supplied-semantics	  syntax Stmts ::= compBody(CompFors, Expr) [macro]
S0056	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	18	18	syntax	macro-rec	macro-rec	fixed-supplied-semantics	  syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
S0057	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	24	24	syntax	macro	macro	fixed-supplied-semantics	  syntax Expr ::= compGuard(Exprs) [macro]
S0058	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	28	30	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals))
        => #ksort(VS, KV, .ValSeq, false) ... </k>
       [priority(40)]"
S0059	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	31	33	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals))
        => #ksort(VS, KV, .ValSeq, RB) ... </k>
       [priority(40)]"
S0060	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	42	42	syntax	function	function	fixed-supplied-semantics	  syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
S0061	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	51	51	syntax	function	function	fixed-supplied-semantics	  syntax Bool ::= kLt(Val, Val) [function]
S0062	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	56	56	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= unpairVS(ValSeq) [function, total]
S0063	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	59	59	rule	owise	owise	fixed-supplied-semantics	  rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
S0064	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	15	18	requires	"""$cells""; X; priority(40)"	priority	fixed-supplied-semantics	"       requires ""$cells"" in_keys(M)
        andBool pnMember(X, cellsOf({M[""$cells""]}:>Val))
        andBool X in_keys(M) andBool isCellRef({M[X]}:>Val)
       [priority(40)]"
S0065	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	30	34	requires	X; priority(40)	priority	fixed-supplied-semantics	"       requires X in_keys(M) andBool isRefV({M[X]}:>Val)
       [priority(40)]

  // ==== import trivia: `from math import floor, ceil` binds the supported
  // names as builtins in the current scope; every other import is a no-op"
S0066	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	36	36	rule	owise	owise	fixed-supplied-semantics	  rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
S0067	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	89	89	rule	owise	owise	fixed-supplied-semantics	  rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
S0068	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	91	94	rule	owise	owise	fixed-supplied-semantics	"  rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]

  // ==== heap-object deref at the truthiness/iteration consumers ==============
  // (priority(40) preempts the generic Val rules so truthy/#loop never see a ref)"
S0069	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	95	97	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
S0070	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	98	100	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
S0071	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	101	105	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]
  // For derefs its iterable ONCE at loop start (iteration is over the snapshot;
  // mutating the iterated list inside its own loop is outside the subset)"
S0072	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	106	108	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
S0073	/candidate/reference-semantics/semantics/core.k	MPY-CORE	68	68	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= isRefV(Val) [function, total]
S0074	/candidate/reference-semantics/semantics/core.k	MPY-CORE	70	74	rule	owise	owise	fixed-supplied-semantics	"  rule isRefV(_:Val)      => false [owise]

  // closure cells (Python-faithful capture): the heap holds cellV(V); a
  // cellRef surfacing as the k-redex reads through (lookup is the only use —
  // cellRefs never escape to user-visible values)"
S0075	/candidate/reference-semantics/semantics/core.k	MPY-CORE	76	76	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= isCellRef(Val) [function, total]
S0076	/candidate/reference-semantics/semantics/core.k	MPY-CORE	78	84	rule	owise	owise	fixed-supplied-semantics	"  rule isCellRef(_:Val)          => false [owise]
  // k-top deref for cell-bound reads surfacing INSIDE the annotated frame
  // (AugAssign's in-place read and friends). The ""$cells"" guard keeps this
  // DECIDABLY inapplicable in plain frames — an unguarded rule lets the
  // prover narrow abstract k-top values into cellRef junk (probed on
  // 26-remove-duplicates). Cross-frame reads (a comprehension closure
  // reading the enclosing function's cellvar) deref inside #look instead."
S0077	/candidate/reference-semantics/semantics/core.k	MPY-CORE	89	94	requires	priority(40)	priority	fixed-supplied-semantics	"       requires ""$cells"" in_keys(M)
       [priority(40)]

  // write through a cell (Assign / #bindP / #bindTgt dispatch here on
  // cell-bound names)
  // a keyword argument cools to a TAGGED value (consumed by kw-aware builtins)"
S0078	/candidate/reference-semantics/semantics/core.k	MPY-CORE	100	100	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= isKwV(Val) [function, total]
S0079	/candidate/reference-semantics/semantics/core.k	MPY-CORE	102	105	rule	owise	owise	fixed-supplied-semantics	"  rule isKwV(_:Val)                => false [owise]

  // the frame marker carries the CONCRETE cellvar list, so cell-write dispatch
  // decides by pnMember even over an abstract frame rest (no prover branching)"
S0080	/candidate/reference-semantics/semantics/core.k	MPY-CORE	107	107	syntax	function	function	fixed-supplied-semantics	  syntax ParamNames ::= cellsOf(Val) [function]
S0081	/candidate/reference-semantics/semantics/core.k	MPY-CORE	109	109	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= pnMember(String, ParamNames) [function, total]
S0082	/candidate/reference-semantics/semantics/core.k	MPY-CORE	148	151	requires	"""$cells""; X; priority(40)"	priority	fixed-supplied-semantics	"       requires X in_keys(M) andBool ""$cells"" in_keys(M)
        andBool pnMember(X, cellsOf({M[""$cells""]}:>Val))
        andBool {M[X]}:>Val ==K cellRef(H)
       [priority(40)]"
S0083	/candidate/reference-semantics/semantics/core.k	MPY-CORE	157	157	syntax	function, total	function,total	fixed-supplied-semantics	"  syntax Scope ::= ""builtinsScope"" [function, total]"
S0084	/candidate/reference-semantics/semantics/core.k	MPY-CORE	199	199	syntax	function	function	fixed-supplied-semantics	  syntax Bool ::= truthy(Val) [function]
S0085	/candidate/reference-semantics/semantics/core.k	MPY-CORE	208	208	syntax	function	function	fixed-supplied-semantics	  syntax Val  ::= applyUn(String, Val) [function]
S0086	/candidate/reference-semantics/semantics/core.k	MPY-CORE	209	209	syntax	function	function	fixed-supplied-semantics	  syntax Val  ::= applyBin(String, Val, Val) [function]
S0087	/candidate/reference-semantics/semantics/core.k	MPY-CORE	210	212	syntax	function	function	fixed-supplied-semantics	"  syntax Bool ::= applyCmp(String, Val, Val) [function]

  // ==== shared list helpers ================================================="
S0088	/candidate/reference-semantics/semantics/core.k	MPY-CORE	213	213	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Vals ::= appendVal(Vals, Val) [function, total]
S0089	/candidate/reference-semantics/semantics/core.k	MPY-CORE	217	217	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= vals2valSeq(Vals) [function, total]
S0090	/candidate/reference-semantics/semantics/core.k	MPY-CORE	223	223	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Int ::= vsLen(ValSeq) [function, total]
S0091	/candidate/reference-semantics/semantics/core.k	MPY-CORE	227	227	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Int ::= isLen(IntSeq) [function, total]
S0092	/candidate/reference-semantics/semantics/core.k	MPY-CORE	233	233	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= setVSAt(ValSeq, Int, Val) [function, total]
S0093	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	37	37	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= dHasKey(ValSeq, Val) [function, total]
S0094	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	43	43	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= dPutK(ValSeq, Val) [function, total]
S0095	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	49	49	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= dPutV(ValSeq, ValSeq, Val, Val) [function, total]
S0096	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	54	57	rule	owise	owise	fixed-supplied-semantics	"  rule dPutV(_KS:ValSeq, VS:ValSeq, _K:Val, V:Val) => valSeqConcat(VS, vCons(V, .ValSeq)) [owise]

  // ==== dict methods ========================================================
  // d.keys() -> a FRESH list object of the ordered keys (k-cell: it allocates)."
S0097	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	58	62	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> #applyK(toCall(boundMethodV(dictV(KS:ValSeq, _:ValSeq), ""keys"")), .Vals)
        => #alloc(list(KS)) ... </k>
       [priority(40)]

  // ==== dict subscript READ: d[k] (assoc lookup; KeyError is out of subset) =="
S0098	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	64	64	syntax	function	function	fixed-supplied-semantics	  syntax Val ::= applyIndexD(Val, Val) [function]
S0099	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	65	69	rule	priority(45)	priority	fixed-supplied-semantics	"  rule <k> Subscript(dictV(KS:ValSeq, VS:ValSeq), K:Val) => applyIndexD(dictV(KS, VS), K) ... </k>
       [priority(45)]

  // ==== dict subscript-assign: d[k] = v (insert/update in place) =============
  // Only for a LOCAL dict variable X (the current scope holds it). Reuses dPutK/dPutV."
S0100	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	70	70	syntax	function	function	fixed-supplied-semantics	  syntax Val ::= dictSet(Val, Val, Val) [function]
S0101	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	90	90	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Int ::= normIdxD(Int, Int) [function, total]
S0102	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	97	97	syntax	function	function	fixed-supplied-semantics	  syntax Bool ::= dSubset(ValSeq, ValSeq, ValSeq, ValSeq) [function]
S0103	/candidate/reference-semantics/semantics/dict.k	MPY-DICT	101	101	syntax	function	function	fixed-supplied-semantics	  syntax Val ::= dGet(ValSeq, ValSeq, Val) [function]
S0104	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	24	24	syntax	function, total, symbol(intFloatDiv), no-evaluators	function,total,no-evaluators,symbol	fixed-supplied-semantics	  syntax Float ::= intFloatDiv(Int, Float) [function, total, symbol(intFloatDiv), no-evaluators]
S0105	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	25	25	rule	concrete	concrete	fixed-supplied-semantics	  rule intFloatDiv(I:Int, F:Float) => Int2Float(I, 53, 11) /Float F [concrete]
S0106	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	30	30	syntax	function, total, symbol(divII), no-evaluators	function,total,no-evaluators,symbol	fixed-supplied-semantics	  syntax Float ::= divII(Int, Int) [function, total, symbol(divII), no-evaluators]
S0107	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	31	31	rule	concrete	concrete	fixed-supplied-semantics	  rule divII(I1:Int, I2:Int) => Int2Float(I1, 53, 11) /Float Int2Float(I2, 53, 11) [concrete]
S0108	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	37	37	syntax	function, total, symbol(floatMod), no-evaluators	function,total,no-evaluators,symbol	fixed-supplied-semantics	  syntax Float ::= floatMod(Float, Float) [function, total, symbol(floatMod), no-evaluators]
S0109	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	38	38	rule	concrete	concrete	fixed-supplied-semantics	  rule floatMod(F1:Float, F2:Float) => F1 -Float (floorFloat(F1 /Float F2) *Float F2) [concrete]
S0110	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	50	50	syntax	function, total, symbol(floatLt), no-evaluators	function,total,no-evaluators,symbol	fixed-supplied-semantics	  syntax Bool ::= floatLt(Float, Float) [function, total, symbol(floatLt), no-evaluators]
S0111	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	51	51	rule	concrete	concrete	fixed-supplied-semantics	  rule floatLt(F1:Float, F2:Float) => F1 <Float F2 [concrete]
S0112	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	54	54	syntax	function, total, symbol(absF), no-evaluators	function,total,no-evaluators,symbol	fixed-supplied-semantics	  syntax Float ::= absF(Float) [function, total, symbol(absF), no-evaluators]
S0113	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	55	55	rule	concrete	concrete	fixed-supplied-semantics	  rule absF(F:Float) => absFloat(F) [concrete]
S0114	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	66	66	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> Call(Attribute(Name(""math""), ""ceil""), (E:Expr, .Exprs)) => E ~> #mathCeil ... </k> [priority(40)]"
S0115	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	71	71	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> Call(Attribute(Name(""math""), ""floor""), (E:Expr, .Exprs)) => E ~> #mathFloor ... </k> [priority(40)]"
S0116	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	73	73	syntax	function, total, symbol(floorFI)	function,total,symbol	fixed-supplied-semantics	  syntax Int ::= floorFI(Val) [function, total, symbol(floorFI)]
S0117	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	74	74	rule	concrete	concrete	fixed-supplied-semantics	  rule floorFI(I:Int)   => I                        [concrete]
S0118	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	75	77	rule	concrete	concrete	fixed-supplied-semantics	"  rule floorFI(F:Float) => Float2Int(floorFloat(F)) [concrete]

  // bare floor/ceil (bound by `from math import floor, ceil`)"
S0119	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	83	83	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> Call(Attribute(Name(""math""), ""pow""), (E1:Expr, E2:Expr, .Exprs)) => E1 ~> #mathPow1(E2) ... </k> [priority(40)]"
S0120	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	86	86	syntax	function, total, symbol(toF)	function,total,symbol	fixed-supplied-semantics	  syntax Float ::= toF(Val) [function, total, symbol(toF)]
S0121	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	87	87	rule	concrete	concrete	fixed-supplied-semantics	  rule toF(F:Float) => F        [concrete]
S0122	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	88	92	rule	concrete	concrete	fixed-supplied-semantics	"  rule toF(I:Int)   => intToF(I) [concrete]

  // ceilF: math.ceil as an Int. TOTAL (K trusts it; a symbolic list element stays opaque for
  // kprove — structural). [concrete] so the Int2Float/ceilFloat hooks only run for krun (llvm).
  // Matches Python incl. negatives: ceil(-2.4) = -2 = Float2Int(ceilFloat(-2.4))."
S0123	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	93	93	syntax	function, total, symbol(ceilF)	function,total,symbol	fixed-supplied-semantics	  syntax Int ::= ceilF(Val) [function, total, symbol(ceilF)]
S0124	/candidate/reference-semantics/semantics/float.k	MPY-FLOAT	94	94	rule	concrete	concrete	fixed-supplied-semantics	  rule ceilF(I:Int)   => I                       [concrete]
