file	line	category	decision	declaration	rationale
reference-semantics/semantics/builtins.k	38	equational-rule	OUTSIDE_REACHABLE_PATH	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	41	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	44	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	47	syntax	OUTSIDE_REACHABLE_PATH	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	48	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	49	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	50	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	54	syntax[function]	OUTSIDE_REACHABLE_PATH	syntax Int ::= intOf(Val) [function]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	55	equational-rule	OUTSIDE_REACHABLE_PATH	rule intOf(I:Int)  => I	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	56	equational-rule	OUTSIDE_REACHABLE_PATH	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	59	syntax	OUTSIDE_REACHABLE_PATH	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	60	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	61	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterDone ~> #allCont => true ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	62	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	64	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	67	syntax	OUTSIDE_REACHABLE_PATH	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	68	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	69	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterDone ~> #anyCont => false ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	70	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	72	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	76	syntax	OUTSIDE_REACHABLE_PATH	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	77	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	78	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	80	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	81	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	82	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	86	syntax	OUTSIDE_REACHABLE_PATH	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	87	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	88	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	90	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	91	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	92	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	97	syntax[function]	OUTSIDE_REACHABLE_PATH	syntax Int ::= maxVals(Int, Vals) [function]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	98	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	99	equational-rule	OUTSIDE_REACHABLE_PATH	rule maxVals(M:Int, .Vals)           => M	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	100	equational-rule	OUTSIDE_REACHABLE_PATH	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	102	syntax[function]	OUTSIDE_REACHABLE_PATH	syntax Int ::= minVals(Int, Vals) [function]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	103	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	104	equational-rule	OUTSIDE_REACHABLE_PATH	rule minVals(M:Int, .Vals)           => M	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	105	equational-rule	OUTSIDE_REACHABLE_PATH	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	108	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	111	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	114	syntax[function,total]	OUTSIDE_REACHABLE_PATH	syntax IntSeq ::= binCodes(Int) [function, total]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	115	equational-rule	OUTSIDE_REACHABLE_PATH	rule binCodes(0) => iCons(48, .IntSeq)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	116	equational-rule	OUTSIDE_REACHABLE_PATH	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	117	syntax[function,total]	OUTSIDE_REACHABLE_PATH	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	118	equational-rule	OUTSIDE_REACHABLE_PATH	rule binAcc(0, ACC:IntSeq) => ACC	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	119	equational-rule	OUTSIDE_REACHABLE_PATH	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	124	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	126	syntax[function,total]	OUTSIDE_REACHABLE_PATH	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	127	equational-rule	OUTSIDE_REACHABLE_PATH	rule enumVS(.ValSeq, _:Int) => .ValSeq	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	128	equational-rule	OUTSIDE_REACHABLE_PATH	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	132	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	134	syntax[function,total]	OUTSIDE_REACHABLE_PATH	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	135	equational-rule	OUTSIDE_REACHABLE_PATH	rule mapStrVS(.ValSeq) => .ValSeq	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	136	equational-rule	OUTSIDE_REACHABLE_PATH	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	137	equational-rule	OUTSIDE_REACHABLE_PATH	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	140	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""int"", I:Int, .Vals) => I"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
