file	start_line	end_line	kind	class	attributes	relevance	decision	rationale	source
reference-semantics/semantics/bool.k	35	38	rule	operational-rule	priority	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
reference-semantics/semantics/bool.k	39	42	rule	operational-rule	priority	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]
reference-semantics/semantics/bool.k	43	46	rule	operational-rule	priority	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
reference-semantics/semantics/builtins.k	17	17	syntax	function-declaration	function	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	20	20	syntax	function-declaration	function	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	21	21	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	22	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	23	23	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	24	24	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	25	25	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	26	26	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	32	32	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	33	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	34	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	35	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	36	36	syntax	function-declaration	function,total	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	37	37	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	38	38	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	41	41	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
reference-semantics/semantics/builtins.k	44	44	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
reference-semantics/semantics/builtins.k	47	47	syntax	syntax	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	48	48	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	49	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	52	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)\n        => #sumAcc(R, ACC +Int intOf(V)) ... </k>\n       requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	54	54	syntax	function-declaration	function	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55	55	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	56	56	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	59	59	syntax	syntax	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	60	60	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	61	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	63	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>\n       requires truthy(V)
reference-semantics/semantics/builtins.k	64	65	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>\n       requires notBool truthy(V)
reference-semantics/semantics/builtins.k	67	67	syntax	syntax	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	68	68	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	69	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	71	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>\n       requires truthy(V)
reference-semantics/semantics/builtins.k	72	73	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>\n       requires notBool truthy(V)
reference-semantics/semantics/builtins.k	76	76	syntax	syntax	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	77	77	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	79	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
reference-semantics/semantics/builtins.k	80	80	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	81	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	84	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)\n        => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
reference-semantics/semantics/builtins.k	86	86	syntax	syntax	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	87	87	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	89	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
reference-semantics/semantics/builtins.k	90	90	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	91	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	94	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)\n        => #minAcc(R, minInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
reference-semantics/semantics/builtins.k	97	97	syntax	function-declaration	function	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	98	98	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99	99	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule maxVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	100	100	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	102	102	syntax	function-declaration	function	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	103	103	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104	104	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule minVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	105	105	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	108	110	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))\n       requires N >=Int 0\n  // negative operand: the '-' sign prefixes the magnitude's digits
reference-semantics/semantics/builtins.k	111	113	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule applyBuiltin("bin", N:Int, .Vals)\n    => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))\n       requires N <Int 0
reference-semantics/semantics/builtins.k	114	114	syntax	function-declaration	function,total	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	115	115	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	116	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	117	117	syntax	function-declaration	function,total	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	118	118	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	121	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule binAcc(N:Int, ACC:IntSeq)\n    => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))\n       requires N >Int 0
reference-semantics/semantics/builtins.k	124	125	rule	operational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals))\n        => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	126	126	syntax	function-declaration	function,total	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	127	127	rule	equational-rule	-	NOT_REACHED_BY_SOLUTION	ACCEPT_FIXED_UNREACHED	Byte-identical supplied-semantics item over constructors/symbols absent from solution.mpy and the claims; it cannot rewrite the submitted program path.	rule enumVS(.ValSeq, _:Int) => .ValSeq
