source	module	line	kind	attributes	decision	sentence
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	76	syntax	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	77	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	78	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	80	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	81	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	82	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	86	syntax	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	87	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	88	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	90	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	91	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	92	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	97	syntax	function	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax Int ::= maxVals(Int, Vals) [function]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	98	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	99	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule maxVals(M:Int, .Vals)           => M
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	100	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	102	syntax	function	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax Int ::= minVals(Int, Vals) [function]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	103	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	104	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule minVals(M:Int, .Vals)           => M
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	105	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	108	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	111	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	114	syntax	function,total	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax IntSeq ::= binCodes(Int) [function, total]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	115	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule binCodes(0) => iCons(48, .IntSeq)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	116	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	117	syntax	function,total	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	118	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule binAcc(0, ACC:IntSeq) => ACC
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	119	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	124	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	126	syntax	function,total	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	127	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule enumVS(.ValSeq, _:Int) => .ValSeq
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	128	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	132	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	134	syntax	function,total	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	135	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule mapStrVS(.ValSeq) => .ValSeq
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	136	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	137	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	140	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	143	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	144	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	148	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	149	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	152	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	156	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	158	syntax	function,total	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	159	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	160	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	163	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	164	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	167	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	169	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	170	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	171	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	173	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	174	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	177	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	178	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
