id	kind	classification	source	line	module	attrs	static_decision	text
K-0036	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	48	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K-0037	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	49	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K-0038	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	50	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K-0039	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/builtins.k	54	MPY-BUILTINS	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= intOf(Val) [function]
K-0040	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	55	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule intOf(I:Int) => I
K-0041	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	56	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K-0042	syntax	syntax_declaration	/reference/reference-semantics/semantics/builtins.k	59	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
K-0043	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	60	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K-0044	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	61	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #allCont => true ... </k>
K-0045	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	62	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K-0046	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	64	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K-0047	syntax	syntax_declaration	/reference/reference-semantics/semantics/builtins.k	67	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
K-0048	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	68	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K-0049	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	69	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #anyCont => false ... </k>
K-0050	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	70	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K-0051	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	72	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K-0052	syntax	syntax_declaration	/reference/reference-semantics/semantics/builtins.k	76	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
K-0053	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	77	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K-0054	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	78	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K-0055	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	80	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K-0056	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	81	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K-0057	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	82	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K-0058	syntax	syntax_declaration	/reference/reference-semantics/semantics/builtins.k	86	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
K-0059	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	87	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K-0060	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	88	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K-0061	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	90	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K-0062	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	91	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K-0063	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	92	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K-0064	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/builtins.k	97	MPY-BUILTINS	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= maxVals(Int, Vals) [function]
K-0065	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	98	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
K-0066	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	99	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule maxVals(M:Int, .Vals) => M
K-0067	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	100	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K-0068	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/builtins.k	102	MPY-BUILTINS	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= minVals(Int, Vals) [function]
K-0069	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	103	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
K-0070	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	104	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule minVals(M:Int, .Vals) => M
K-0071	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	105	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K-0072	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	108	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
K-0073	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	111	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
K-0074	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/builtins.k	114	MPY-BUILTINS	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax IntSeq ::= binCodes(Int) [function, total]
K-0075	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	115	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule binCodes(0) => iCons(48, .IntSeq)
K-0076	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	116	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K-0077	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/builtins.k	117	MPY-BUILTINS	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K-0078	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	118	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule binAcc(0, ACC:IntSeq) => ACC
K-0079	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	119	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K-0080	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	124	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
K-0081	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/builtins.k	126	MPY-BUILTINS	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K-0082	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	127	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule enumVS(.ValSeq, _:Int) => .ValSeq
K-0083	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	128	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K-0084	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	132	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
K-0085	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/builtins.k	134	MPY-BUILTINS	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K-0086	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	135	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule mapStrVS(.ValSeq) => .ValSeq
K-0087	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	136	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K-0088	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	137	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K-0089	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	140	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
K-0090	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	143	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
K-0091	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	144	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
K-0092	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	148	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""str"", I:Int, .Vals) => str(strToCodes(Int2String(I)))"
K-0093	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	149	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
K-0094	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	152	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
K-0095	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	156	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
K-0096	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/builtins.k	158	MPY-BUILTINS	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K-0097	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	159	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule intDigAcc(.IntSeq, ACC:Int) => ACC
K-0098	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	160	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K-0099	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	163	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
K-0100	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	164	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)"
K-0101	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	167	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K-0102	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	169	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
K-0103	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	170	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K-0104	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	171	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K-0105	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	173	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
K-0106	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	174	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K-0107	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	177	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", I:Int, .Vals) => rangeObj(0, I, 1)"
K-0108	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	178	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)"
K-0109	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	179	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
