id	file	line	kind	flags	target_dependency	review	declaration
29	reference-semantics/semantics/builtins.k	32	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
30	reference-semantics/semantics/builtins.k	33	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
31	reference-semantics/semantics/builtins.k	34	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
32	reference-semantics/semantics/builtins.k	35	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
33	reference-semantics/semantics/builtins.k	36	syntax	function,total	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax ValSeq ::= charsOf(IntSeq) [function, total]
34	reference-semantics/semantics/builtins.k	37	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule charsOf(.IntSeq)                => .ValSeq
35	reference-semantics/semantics/builtins.k	38	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
36	reference-semantics/semantics/builtins.k	41	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
37	reference-semantics/semantics/builtins.k	44	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
38	reference-semantics/semantics/builtins.k	47	syntax	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
39	reference-semantics/semantics/builtins.k	48	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
40	reference-semantics/semantics/builtins.k	49	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
41	reference-semantics/semantics/builtins.k	50	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
42	reference-semantics/semantics/builtins.k	54	syntax	function	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax Int ::= intOf(Val) [function]
43	reference-semantics/semantics/builtins.k	55	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule intOf(I:Int)  => I
44	reference-semantics/semantics/builtins.k	56	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
45	reference-semantics/semantics/builtins.k	59	syntax	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
46	reference-semantics/semantics/builtins.k	60	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
47	reference-semantics/semantics/builtins.k	61	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterDone ~> #allCont => true ... </k>
48	reference-semantics/semantics/builtins.k	62	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
49	reference-semantics/semantics/builtins.k	64	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
50	reference-semantics/semantics/builtins.k	67	syntax	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
51	reference-semantics/semantics/builtins.k	68	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
52	reference-semantics/semantics/builtins.k	69	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterDone ~> #anyCont => false ... </k>
53	reference-semantics/semantics/builtins.k	70	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
54	reference-semantics/semantics/builtins.k	72	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
55	reference-semantics/semantics/builtins.k	76	syntax	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
56	reference-semantics/semantics/builtins.k	77	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
57	reference-semantics/semantics/builtins.k	78	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
58	reference-semantics/semantics/builtins.k	80	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
59	reference-semantics/semantics/builtins.k	81	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
60	reference-semantics/semantics/builtins.k	82	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
61	reference-semantics/semantics/builtins.k	86	syntax	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
62	reference-semantics/semantics/builtins.k	87	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
63	reference-semantics/semantics/builtins.k	88	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
64	reference-semantics/semantics/builtins.k	90	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
65	reference-semantics/semantics/builtins.k	91	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
66	reference-semantics/semantics/builtins.k	92	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
67	reference-semantics/semantics/builtins.k	105	syntax	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax KItem ::= #maxAccV(Iterable, Val) | #maxContV(Val)
68	reference-semantics/semantics/builtins.k	106	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
69	reference-semantics/semantics/builtins.k	108	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #iterYield(V, R) ~> #maxContV(M) ... </k> requires isFloat(V) orBool isBool(V)
70	reference-semantics/semantics/builtins.k	111	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #maxAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #maxContV(M) ... </k>
71	reference-semantics/semantics/builtins.k	112	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterDone ~> #maxContV(M:Val) => M ... </k>
72	reference-semantics/semantics/builtins.k	113	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, V) ... </k> requires applyCmp("">"", V, M)"
73	reference-semantics/semantics/builtins.k	115	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, M) ... </k> requires notBool applyCmp("">"", V, M)"
74	reference-semantics/semantics/builtins.k	118	syntax	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax KItem ::= #minAccV(Iterable, Val) | #minContV(Val)
75	reference-semantics/semantics/builtins.k	119	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
76	reference-semantics/semantics/builtins.k	121	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #iterYield(V, R) ~> #minContV(M) ... </k> requires isFloat(V) orBool isBool(V)
77	reference-semantics/semantics/builtins.k	124	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #minAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #minContV(M) ... </k>
78	reference-semantics/semantics/builtins.k	125	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterDone ~> #minContV(M:Val) => M ... </k>
79	reference-semantics/semantics/builtins.k	126	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, V) ... </k> requires applyCmp(""<"", V, M)"
80	reference-semantics/semantics/builtins.k	128	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, M) ... </k> requires notBool applyCmp(""<"", V, M)"
81	reference-semantics/semantics/builtins.k	135	syntax	function	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax Val ::= maxVals(Val, Vals) [function]
82	reference-semantics/semantics/builtins.k	136	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
83	reference-semantics/semantics/builtins.k	137	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""max"", V:Val, (V2:Val, REST:Vals)) => maxVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)"
84	reference-semantics/semantics/builtins.k	139	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule maxVals(M:Val, .Vals)           => M
85	reference-semantics/semantics/builtins.k	140	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(V, R) requires applyCmp("">"", V, M)"
86	reference-semantics/semantics/builtins.k	141	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(M, R) requires notBool applyCmp("">"", V, M)"
87	reference-semantics/semantics/builtins.k	143	syntax	function	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax Val ::= minVals(Val, Vals) [function]
88	reference-semantics/semantics/builtins.k	144	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
89	reference-semantics/semantics/builtins.k	145	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""min"", V:Val, (V2:Val, REST:Vals)) => minVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)"
90	reference-semantics/semantics/builtins.k	147	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule minVals(M:Val, .Vals)           => M
91	reference-semantics/semantics/builtins.k	148	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule minVals(M:Val, (V:Val, R:Vals)) => minVals(V, R) requires applyCmp(""<"", V, M)"
92	reference-semantics/semantics/builtins.k	149	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule minVals(M:Val, (V:Val, R:Vals)) => minVals(M, R) requires notBool applyCmp(""<"", V, M)"
93	reference-semantics/semantics/builtins.k	152	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
94	reference-semantics/semantics/builtins.k	155	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
95	reference-semantics/semantics/builtins.k	158	syntax	function,total	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax IntSeq ::= binCodes(Int) [function, total]
96	reference-semantics/semantics/builtins.k	159	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule binCodes(0) => iCons(48, .IntSeq)
97	reference-semantics/semantics/builtins.k	160	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
98	reference-semantics/semantics/builtins.k	161	syntax	function,total	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
99	reference-semantics/semantics/builtins.k	162	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule binAcc(0, ACC:IntSeq) => ACC
100	reference-semantics/semantics/builtins.k	163	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
101	reference-semantics/semantics/builtins.k	168	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
102	reference-semantics/semantics/builtins.k	170	syntax	function,total	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
103	reference-semantics/semantics/builtins.k	171	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule enumVS(.ValSeq, _:Int) => .ValSeq
104	reference-semantics/semantics/builtins.k	172	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
105	reference-semantics/semantics/builtins.k	176	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
106	reference-semantics/semantics/builtins.k	178	syntax	function,total	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
107	reference-semantics/semantics/builtins.k	179	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule mapStrVS(.ValSeq) => .ValSeq
108	reference-semantics/semantics/builtins.k	180	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
109	reference-semantics/semantics/builtins.k	181	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
110	reference-semantics/semantics/builtins.k	184	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
111	reference-semantics/semantics/builtins.k	187	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
112	reference-semantics/semantics/builtins.k	188	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
113	reference-semantics/semantics/builtins.k	192	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
114	reference-semantics/semantics/builtins.k	193	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
115	reference-semantics/semantics/builtins.k	196	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
116	reference-semantics/semantics/builtins.k	200	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
117	reference-semantics/semantics/builtins.k	202	syntax	function,total	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
118	reference-semantics/semantics/builtins.k	203	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
119	reference-semantics/semantics/builtins.k	204	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
120	reference-semantics/semantics/builtins.k	207	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
121	reference-semantics/semantics/builtins.k	208	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
122	reference-semantics/semantics/builtins.k	211	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
123	reference-semantics/semantics/builtins.k	213	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
124	reference-semantics/semantics/builtins.k	214	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
125	reference-semantics/semantics/builtins.k	215	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
126	reference-semantics/semantics/builtins.k	217	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
