# Exhaustive local K declaration and rule inventory
# disposition meanings:
#   USED_PATH_REVIEWED: reached by the submitted Module or by the candidate Call claim
#   FIXED_UNUSED_NO_FALSE_WITNESS: supplied baseline declaration/rule not reached here;
#     no concrete or symbolic false-conclusion witness was found in this audit
#   LOCAL_CLAIM_REVIEWED: candidate reachability claim, reviewed separately for adequacy

## FILE semantics.k declarations=0
(no local syntax, rules, claims, contexts, or configuration)

## FILE semantics/assert.k declarations=3
semantics/assert.k:6 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Assert(V:Val) => .K ... </k>
semantics/bool.k:43 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>

## FILE semantics/builtins.k declarations=175
semantics/builtins.k:17 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Val ::= applyBuiltin(String, Vals) [function]
semantics/builtins.k:20 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Int ::= seqLen(Val) [function]
semantics/builtins.k:21 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
semantics/builtins.k:22 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
semantics/builtins.k:23 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
semantics/builtins.k:24 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule seqLen(str(IS:IntSeq))                   => isLen(IS)
semantics/builtins.k:25 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
semantics/builtins.k:26 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
semantics/builtins.k:32 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k:33 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k:34 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
semantics/builtins.k:35 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
semantics/builtins.k:36 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ValSeq ::= charsOf(IntSeq) [function, total]
semantics/builtins.k:37 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule charsOf(.IntSeq)                => .ValSeq
semantics/builtins.k:38 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
semantics/builtins.k:41 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
semantics/builtins.k:44 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
semantics/builtins.k:47 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
semantics/builtins.k:48 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
semantics/builtins.k:49 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
semantics/builtins.k:50 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
semantics/builtins.k:54 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Int ::= intOf(Val) [function]
semantics/builtins.k:55 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule intOf(I:Int)  => I
semantics/builtins.k:56 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
semantics/builtins.k:59 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #allAcc(Iterable) | "#allCont"
semantics/builtins.k:60 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
semantics/builtins.k:61 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterDone ~> #allCont => true ... </k>
semantics/builtins.k:62 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
semantics/builtins.k:64 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
semantics/builtins.k:67 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
semantics/builtins.k:68 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
semantics/builtins.k:69 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterDone ~> #anyCont => false ... </k>
semantics/builtins.k:70 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
semantics/builtins.k:72 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
semantics/builtins.k:76 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
semantics/builtins.k:77 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
semantics/builtins.k:78 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
semantics/builtins.k:80 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
semantics/builtins.k:81 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
semantics/builtins.k:82 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
semantics/builtins.k:86 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
semantics/builtins.k:87 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
semantics/builtins.k:88 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
semantics/builtins.k:90 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
semantics/builtins.k:91 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
semantics/builtins.k:92 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
semantics/builtins.k:97 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Int ::= maxVals(Int, Vals) [function]
semantics/builtins.k:98 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
semantics/builtins.k:99 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule maxVals(M:Int, .Vals)           => M
semantics/builtins.k:100 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
semantics/builtins.k:102 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Int ::= minVals(Int, Vals) [function]
semantics/builtins.k:103 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
semantics/builtins.k:104 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule minVals(M:Int, .Vals)           => M
semantics/builtins.k:105 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
semantics/builtins.k:108 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
semantics/builtins.k:111 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
semantics/builtins.k:114 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax IntSeq ::= binCodes(Int) [function, total]
semantics/builtins.k:115 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule binCodes(0) => iCons(48, .IntSeq)
semantics/builtins.k:116 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
semantics/builtins.k:117 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
semantics/builtins.k:118 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule binAcc(0, ACC:IntSeq) => ACC
semantics/builtins.k:119 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
semantics/builtins.k:124 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
semantics/builtins.k:126 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
semantics/builtins.k:127 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule enumVS(.ValSeq, _:Int) => .ValSeq
semantics/builtins.k:128 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
semantics/builtins.k:132 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
semantics/builtins.k:134 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
semantics/builtins.k:135 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule mapStrVS(.ValSeq) => .ValSeq
semantics/builtins.k:136 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
semantics/builtins.k:137 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
semantics/builtins.k:140 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("int", I:Int, .Vals) => I
semantics/builtins.k:143 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
semantics/builtins.k:144 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
semantics/builtins.k:148 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
semantics/builtins.k:149 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
semantics/builtins.k:152 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
semantics/builtins.k:156 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
semantics/builtins.k:158 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
semantics/builtins.k:159 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule intDigAcc(.IntSeq, ACC:Int)             => ACC
semantics/builtins.k:160 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
semantics/builtins.k:163 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
semantics/builtins.k:164 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
semantics/builtins.k:167 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
semantics/builtins.k:169 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
semantics/builtins.k:170 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
semantics/builtins.k:171 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
semantics/builtins.k:173 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
semantics/builtins.k:174 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
semantics/builtins.k:177 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
semantics/builtins.k:178 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
semantics/builtins.k:179 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
semantics/builtins.k:187 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
semantics/builtins.k:188 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Int ::= evalArith(IntSeq) [function]
semantics/builtins.k:189 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
semantics/builtins.k:192 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
semantics/builtins.k:194 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= evDigit(Int) [function, total]
semantics/builtins.k:195 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
semantics/builtins.k:196 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= evHead42(IntSeq) [function, total]
semantics/builtins.k:197 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule evHead42(iCons(42, _:IntSeq)) => true
semantics/builtins.k:198 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule evHead42(_:IntSeq)            => false [owise]
semantics/builtins.k:199 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= evHead47(IntSeq) [function, total]
semantics/builtins.k:200 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule evHead47(iCons(47, _:IntSeq)) => true
semantics/builtins.k:201 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule evHead47(_:IntSeq)            => false [owise]
semantics/builtins.k:203 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax OpSeq ::= tokOps(IntSeq) [function, total]
semantics/builtins.k:204 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule tokOps(.IntSeq)                 => .OpSeq
semantics/builtins.k:205 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
semantics/builtins.k:206 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
semantics/builtins.k:207 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
semantics/builtins.k:208 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
