file	start_line	end_line	kind	flags	decision	rationale	source
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	22	22	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	23	23	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	24	24	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule seqLen(str(IS:IntSeq)) => isLen(IS)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	25	25	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	26	26	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	32	32	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	33	33	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	34	34	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	35	35	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	36	36	syntax	function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	37	37	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule charsOf(.IntSeq) => .ValSeq
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	38	38	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	41	41	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	44	44	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	47	47	syntax	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	48	48	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	49	49	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	50	52	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	54	54	syntax	function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax Int ::= intOf(Val) [function]
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	55	55	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule intOf(I:Int) => I
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	56	56	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	59	59	syntax	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	60	60	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	61	61	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterDone ~> #allCont => true ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	62	63	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	64	65	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	67	67	syntax	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	68	68	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	69	69	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterDone ~> #anyCont => false ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	70	71	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	72	73	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	76	76	syntax	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	77	77	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	78	79	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	80	80	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	81	81	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	82	84	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	86	86	syntax	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	87	87	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	88	89	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	90	90	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	91	91	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	92	94	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	97	97	syntax	function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax Int ::= maxVals(Int, Vals) [function]
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	98	98	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	99	99	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule maxVals(M:Int, .Vals) => M
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	100	100	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	102	102	syntax	function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax Int ::= minVals(Int, Vals) [function]
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	103	103	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	104	104	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule minVals(M:Int, .Vals) => M
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	105	105	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	108	109	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	111	113	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	114	114	syntax	function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax IntSeq ::= binCodes(Int) [function, total]
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	115	115	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule binCodes(0) => iCons(48, .IntSeq)
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	116	116	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	117	117	syntax	function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	118	118	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule binAcc(0, ACC:IntSeq) => ACC
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	119	121	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	124	125	rule	-	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	126	126	syntax	function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	Launcher-trusted fixed baseline; exact candidate/trusted tree identity was checked. Used-path rules receive focused review in REVIEW.md.	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
