file	line	module	kind	classification	audit_disposition	block_sha256_16	normalized_declaration
reference-semantics/semantics/builtins.k	21	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	435ff27019656108	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	98e430fdd950a275	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	23	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	2a8eb099e13e3f20	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	24	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	db386182d466eebb	rule seqLen(str(IS:IntSeq)) => isLen(IS)
reference-semantics/semantics/builtins.k	25	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	c597ed65e8ff5953	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
reference-semantics/semantics/builtins.k	26	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	441d6449c7d3f89c	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	32	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	9aad60322b1d223c	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	ac7736d6cb72610b	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	d60c4b0f5ed3ffef	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	a689979f9d6af9d0	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	36	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	d5cf987a32554927	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	37	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	5ba1845bc20c80ba	rule charsOf(.IntSeq) => .ValSeq
reference-semantics/semantics/builtins.k	38	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	567eb768a66d1c21	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	41	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	87c52633d34e02aa	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
reference-semantics/semantics/builtins.k	44	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	f377e151fe58ce4b	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
reference-semantics/semantics/builtins.k	47	MPY-BUILTINS	syntax	syntax	FIXED_SUPPLIED_SEMANTICS	cc05186fc333804c	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	48	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	c532bf1824ac3f70	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	a34da6d6f5479cb2	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	5b0273dd28c246b7	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	54	MPY-BUILTINS	syntax	syntax:function	FIXED_SUPPLIED_SEMANTICS	3330d50b7dee4bc9	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	a813c0687189fc8f	rule intOf(I:Int) => I
reference-semantics/semantics/builtins.k	56	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	75527181cb16d9c4	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	59	MPY-BUILTINS	syntax	syntax	FIXED_SUPPLIED_SEMANTICS	e5197df0d2d2e1c5	syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	60	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	969f76a6cdd97b2f	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	b87198ea120558bd	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	255220dc3925ca6e	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	64	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	4ed3b01aeaa1a6a5	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	67	MPY-BUILTINS	syntax	syntax	FIXED_SUPPLIED_SEMANTICS	f2cf763d3b8e5a37	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	68	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	e5008c2bfb91daad	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	5d2e466abb276988	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	bbf32d6e3a68bbc7	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	72	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	c3a6e8e1951ce3e9	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	76	MPY-BUILTINS	syntax	syntax	FIXED_SUPPLIED_SEMANTICS	41e16aee4c8a4af6	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	77	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	3ab0b27600639704	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	ed12ba4840b08831	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	80	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	4924f1ccdbe80b4d	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	cc73f3272baab716	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	d7ebbd5d55acbc05	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	86	MPY-BUILTINS	syntax	syntax	FIXED_SUPPLIED_SEMANTICS	c45d005523921898	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	87	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	5d13a7b7e626015f	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	90c849dc84ec8a4f	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	90	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	52739194efe4a673	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	1917bcb42dd6fbfa	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	7ff23bebf03977d4	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	97	MPY-BUILTINS	syntax	syntax:function	FIXED_SUPPLIED_SEMANTICS	eadae0c5f6e867d8	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	98	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	c2058b9902f17987	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	351480ffaea49576	rule maxVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	100	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	c25e8cec2ea6bb79	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	102	MPY-BUILTINS	syntax	syntax:function	FIXED_SUPPLIED_SEMANTICS	7fcf5ef4cda590aa	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	103	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	43600e28101adaa3	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	c96176c7a47e5021	rule minVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	105	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	5ab0185ff0b6dcb9	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	108	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	7e44fd669257d5cc	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
reference-semantics/semantics/builtins.k	111	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	2161e89cba312f59	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
reference-semantics/semantics/builtins.k	114	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	944061b97dda0eff	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	115	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	fe36cd4c447d93b7	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	695c9c0e1367e1ab	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	117	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	54aea29f2cd3b5c5	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	118	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	2f2e1baeaafac882	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	0a6906b1bf981aff	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
reference-semantics/semantics/builtins.k	124	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	4b1ebead56a3693f	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	126	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	ca1d97041fb99668	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	127	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	f31b006292f903eb	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	c92bf1d71168048b	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
reference-semantics/semantics/builtins.k	132	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	d317ed75de9ba9d2	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	134	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	700e1a12f9f262bb	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	135	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	ac397a45648a5cc6	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	380151a002809645	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	18e4048be3495154	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
reference-semantics/semantics/builtins.k	140	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	ac3a0436925d86c1	rule applyBuiltin("int", I:Int, .Vals) => I
reference-semantics/semantics/builtins.k	143	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	504661068a29adbf	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	144	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	b3e4c51c01377a5a	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
reference-semantics/semantics/builtins.k	148	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	168ceece5d8c6ebd	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	149	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	b132e937cc1c52b4	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
reference-semantics/semantics/builtins.k	152	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	7411831fc8ef13bb	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
reference-semantics/semantics/builtins.k	156	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	0e9505e86b668ee2	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
reference-semantics/semantics/builtins.k	158	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	afc7b8cff48dab20	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	159	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	cacdc5ed650d9300	rule intDigAcc(.IntSeq, ACC:Int) => ACC
reference-semantics/semantics/builtins.k	160	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	06a90c6b981b3a31	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
reference-semantics/semantics/builtins.k	163	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	6e7bf457112df5f5	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	164	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	41c1499879fecfb2	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
reference-semantics/semantics/builtins.k	167	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	6c498026a2c442f9	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	169	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	84cf3daad2f649d7	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	170	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	1088cc4468f59ee8	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	171	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	e39f19aadd030a37	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	173	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	e4892e0d5f417fc7	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	174	MPY-BUILTINS	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	02223b247a7a1e5d	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	177	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	4fdad6139c2b1d23	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
reference-semantics/semantics/builtins.k	178	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	8b0814792c5c26ea	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
reference-semantics/semantics/builtins.k	179	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	a5f7e1d983b4ddc5	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
reference-semantics/semantics/builtins.k	187	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	6be476fccc6b0ed4	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
reference-semantics/semantics/builtins.k	188	MPY-BUILTINS	syntax	syntax:function	FIXED_SUPPLIED_SEMANTICS	1f5c850fca52c294	syntax Int ::= evalArith(IntSeq) [function]
reference-semantics/semantics/builtins.k	189	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	2282b281db1fd3d6	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
reference-semantics/semantics/builtins.k	192	MPY-BUILTINS	syntax	syntax	FIXED_SUPPLIED_SEMANTICS	5baf07ef7c1ee6dd	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
reference-semantics/semantics/builtins.k	194	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	a4fb20845f4903aa	syntax Bool ::= evDigit(Int) [function, total]
reference-semantics/semantics/builtins.k	195	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	54ccc3b156e8f945	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
reference-semantics/semantics/builtins.k	196	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	e0105c2956872119	syntax Bool ::= evHead42(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	197	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	ecd6bab7ad24a0f7	rule evHead42(iCons(42, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	198	MPY-BUILTINS	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	7b3aa8953f1991eb	rule evHead42(_:IntSeq) => false [owise]
reference-semantics/semantics/builtins.k	199	MPY-BUILTINS	syntax	syntax:function,total	FIXED_SUPPLIED_SEMANTICS	35471a9b80360688	syntax Bool ::= evHead47(IntSeq) [function, total]
