id	source	line	kind	tags	assessment	rationale	text
25	semantics/builtins.k	26	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)\n\n  // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) ==\n  // Minimal: the ""copy a sequence"" case (list of a list is itself; list of a tuple keeps order).\n  // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed.\n  // (k-cell — list() constructs a NEW object)"
26	semantics/builtins.k	32	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
27	semantics/builtins.k	33	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
28	semantics/builtins.k	34	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
29	semantics/builtins.k	35	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
30	semantics/builtins.k	36	syntax	function,total	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	semantics/builtins.k	37	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule charsOf(.IntSeq)                => .ValSeq
32	semantics/builtins.k	38	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))\n\n  // ==== set(str) — distinct character codes =================================
33	semantics/builtins.k	41	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))\n\n  // ==== abs(int) ============================================================"
34	semantics/builtins.k	44	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)\n\n  // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool =="
35	semantics/builtins.k	47	syntax		SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	semantics/builtins.k	48	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	semantics/builtins.k	49	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	semantics/builtins.k	50	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)\n        => #sumAcc(R, ACC +Int intOf(V)) ... </k>\n       requires isInt(V) orBool isBool(V)
39	semantics/builtins.k	54	syntax	function	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax Int ::= intOf(Val) [function]
40	semantics/builtins.k	55	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule intOf(I:Int)  => I
41	semantics/builtins.k	56	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule intOf(B:Bool) => #if B #then 1 #else 0 #fi\n\n  // ==== all / any (short-circuiting #iterNext folds) ========================
42	semantics/builtins.k	59	syntax		SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
43	semantics/builtins.k	60	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
44	semantics/builtins.k	61	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterDone ~> #allCont => true ... </k>
45	semantics/builtins.k	62	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>\n       requires truthy(V)
46	semantics/builtins.k	64	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>\n       requires notBool truthy(V)
47	semantics/builtins.k	67	syntax		SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
48	semantics/builtins.k	68	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	semantics/builtins.k	69	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterDone ~> #anyCont => false ... </k>
50	semantics/builtins.k	70	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>\n       requires truthy(V)
51	semantics/builtins.k	72	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>\n       requires notBool truthy(V)\n\n  // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
52	semantics/builtins.k	76	syntax		SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
53	semantics/builtins.k	77	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	semantics/builtins.k	78	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
55	semantics/builtins.k	80	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	semantics/builtins.k	81	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	semantics/builtins.k	82	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)\n        => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
58	semantics/builtins.k	86	syntax		SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
59	semantics/builtins.k	87	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	semantics/builtins.k	88	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
61	semantics/builtins.k	90	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	semantics/builtins.k	91	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	semantics/builtins.k	92	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)\n        => #minAcc(R, minInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)\n\n  // ==== variadic max / min (a Vals fold) ====================================
64	semantics/builtins.k	97	syntax	function	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax Int ::= maxVals(Int, Vals) [function]
65	semantics/builtins.k	98	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
66	semantics/builtins.k	99	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule maxVals(M:Int, .Vals)           => M
67	semantics/builtins.k	100	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	semantics/builtins.k	102	syntax	function	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax Int ::= minVals(Int, Vals) [function]
69	semantics/builtins.k	103	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
70	semantics/builtins.k	104	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule minVals(M:Int, .Vals)           => M
71	semantics/builtins.k	105	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)\n\n  // ==== bin(n) — ""0b"" + binary digit codes (promoted from 103's defined fold) =="
72	semantics/builtins.k	108	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))\n       requires N >=Int 0\n  // negative operand: the '-' sign prefixes the magnitude's digits"
73	semantics/builtins.k	111	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""bin"", N:Int, .Vals)\n    => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))\n       requires N <Int 0"
74	semantics/builtins.k	114	syntax	function,total	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax IntSeq ::= binCodes(Int) [function, total]
75	semantics/builtins.k	115	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule binCodes(0) => iCons(48, .IntSeq)
76	semantics/builtins.k	116	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	semantics/builtins.k	117	syntax	function,total	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	semantics/builtins.k	118	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule binAcc(0, ACC:IntSeq) => ACC
79	semantics/builtins.k	119	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule binAcc(N:Int, ACC:IntSeq)\n    => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))\n       requires N >Int 0\n\n  // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========
80	semantics/builtins.k	124	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals))\n        => #alloc(list(enumVS(VS, 0))) ... </k>"
81	semantics/builtins.k	126	syntax	function,total	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	semantics/builtins.k	127	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule enumVS(.ValSeq, _:Int) => .ValSeq
83	semantics/builtins.k	128	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule enumVS(vCons(V:Val, R:ValSeq), I:Int)\n    => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))\n\n  // ==== map(str, xs) — eager (only the str case is in the subset) =============
84	semantics/builtins.k	132	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals))\n        => #alloc(list(mapStrVS(VS))) ... </k>"
85	semantics/builtins.k	134	syntax	function,total	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
86	semantics/builtins.k	135	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule mapStrVS(.ValSeq) => .ValSeq
87	semantics/builtins.k	136	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
88	semantics/builtins.k	137	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))\n\n  // ==== int(x) identities (int(round(x)) composes through) ====================
89	semantics/builtins.k	140	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""int"", I:Int, .Vals) => I\n\n  // ==== ord / chr ==========================================================="
90	semantics/builtins.k	143	rule	ordinary	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
91	semantics/builtins.k	144	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq))\n       requires 0 <=Int I andBool I <Int 128\n\n  // ==== str(int) / str(str) ================================================="
92	semantics/builtins.k	148	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
93	semantics/builtins.k	149	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)\n\n  // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value ====="
94	semantics/builtins.k	152	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48\n       requires 48 <=Int C andBool C <=Int 57\n\n  // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)"
95	semantics/builtins.k	156	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)\n       requires isLen(CS) >=Int 2"
96	semantics/builtins.k	158	syntax	function,total	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
97	semantics/builtins.k	159	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule intDigAcc(.IntSeq, ACC:Int)             => ACC
98	semantics/builtins.k	160	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))\n\n  // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
99	semantics/builtins.k	163	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
100	semantics/builtins.k	164	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)\n\n  // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)"
101	semantics/builtins.k	167	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq)))\n        => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
102	semantics/builtins.k	169	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
103	semantics/builtins.k	170	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
