id	file	start	end	kind	attributes	target_relevance	disposition	source
K0055	semantics/assert.k	13	15	rule	priority	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0056	semantics/assert.k	16	16	endmodule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	endmodule
K0057	semantics/bool.k	5	5	module	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	module MPY-BOOL
K0058	semantics/bool.k	6	6	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-CORE
K0059	semantics/bool.k	8	8	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule applyUn("not", V:Val) => notBool truthy(V)
K0060	semantics/bool.k	10	10	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0061	semantics/bool.k	11	15	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
K0062	semantics/bool.k	16	16	context	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0063	semantics/bool.k	17	17	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0064	semantics/bool.k	18	19	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0065	semantics/bool.k	20	21	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K0066	semantics/bool.k	22	23	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K0067	semantics/bool.k	24	28	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
K0068	semantics/bool.k	29	30	rule	priority	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0069	semantics/bool.k	31	34	rule	priority	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0070	semantics/bool.k	35	38	rule	priority	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0071	semantics/bool.k	39	42	rule	priority	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0072	semantics/bool.k	43	46	rule	priority	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0073	semantics/bool.k	47	47	endmodule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	endmodule
K0074	semantics/builtins.k	3	3	module	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	module MPY-BUILTINS
K0075	semantics/builtins.k	4	4	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-CORE
K0076	semantics/builtins.k	5	5	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-STR
K0077	semantics/builtins.k	6	6	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-SET
K0078	semantics/builtins.k	7	7	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-ITER
K0079	semantics/builtins.k	8	8	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-RANGE
K0080	semantics/builtins.k	9	9	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-INT
K0081	semantics/builtins.k	10	16	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-METHODS // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup // Call routing + argument evaluation live in call.k, which also routes the fold // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to // applyBuiltin. This module owns applyBuiltin + the fold implementations.
K0082	semantics/builtins.k	17	19	syntax	function	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
K0083	semantics/builtins.k	20	20	syntax	function	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	syntax Int ::= seqLen(Val) [function]
K0084	semantics/builtins.k	21	21	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0085	semantics/builtins.k	22	22	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K0086	semantics/builtins.k	23	23	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K0087	semantics/builtins.k	24	24	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K0088	semantics/builtins.k	25	25	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K0089	semantics/builtins.k	26	31	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
K0090	semantics/builtins.k	32	32	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0091	semantics/builtins.k	33	33	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0092	semantics/builtins.k	34	34	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
K0093	semantics/builtins.k	35	35	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
K0094	semantics/builtins.k	36	36	syntax	function,total	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0095	semantics/builtins.k	37	37	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule charsOf(.IntSeq) => .ValSeq
K0096	semantics/builtins.k	38	40	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
K0097	semantics/builtins.k	41	43	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
K0098	semantics/builtins.k	44	46	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
K0099	semantics/builtins.k	47	47	syntax	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0100	semantics/builtins.k	48	48	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0101	semantics/builtins.k	49	49	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0102	semantics/builtins.k	50	52	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0103	semantics/builtins.k	54	54	syntax	function	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	syntax Int ::= intOf(Val) [function]
K0104	semantics/builtins.k	55	55	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule intOf(I:Int) => I
K0105	semantics/builtins.k	56	58	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
K0106	semantics/builtins.k	59	59	syntax	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0107	semantics/builtins.k	60	60	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0108	semantics/builtins.k	61	61	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #iterDone ~> #allCont => true ... </k>
K0109	semantics/builtins.k	62	63	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0110	semantics/builtins.k	64	65	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0111	semantics/builtins.k	67	67	syntax	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0112	semantics/builtins.k	68	68	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0113	semantics/builtins.k	69	69	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> #iterDone ~> #anyCont => false ... </k>
