ATTRIBUTE[function]=145
ATTRIBUTE[total]=107
ATTRIBUTE[functional]=0
ATTRIBUTE[simplification]=0
ATTRIBUTE[concrete]=35
ATTRIBUTE[priority]=45
ATTRIBUTE[owise]=26
ATTRIBUTE[anywhere]=0
ATTRIBUTE[symbol]=25
ATTRIBUTE[macro]=4
ATTRIBUTE[strict]=2
ATTRIBUTE[seqstrict]=1
ATTRIBUTE[bracket]=0
ATTRIBUTE[token]=0

PROOF_LOCAL_ROWS
id	file	start	end	kind	attributes	target_relevance	disposition	source
K0447	semantics/core.k	215	215	rule	-	ARGUMENT_APPEND	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule appendVal((V0:Val, VS:Vals), V:Val) => V0 , appendVal(VS, V)
K0455	semantics/core.k	228	228	rule	-	SEQUENCE_LENGTH	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule isLen(.IntSeq) => 0
K0456	semantics/core.k	229	232	rule	-	SEQUENCE_LENGTH	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule isLen(iCons(_:Int, S:IntSeq)) => 1 +Int isLen(S) // in-bounds positional write (list subscript-assign); OOB leaves the seq unchanged // (valid programs write in-bounds — mirrors valSeqAt's total-but-underspecified stance)
K0672	semantics/functions.k	14	16	rule	-	FUNCTION_BINDING	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> FuncDef(F:String, Params(PNS:ParamNames), BODY:Stmts) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ F <- closureVal(PNS, BODY, L) ], _) ... </scopes>
K0684	semantics/functions.k	63	63	rule	-	PARAMETER_BINDING	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #bindP(.ParamNames, .Vals) => .K ... </k>
K0685	semantics/functions.k	64	67	rule	-	PARAMETER_BINDING	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ P <- V ], _) ... </scopes> // a param that is a cellvar was pre-bound to its cell at frame entry
K0687	semantics/functions.k	78	79	rule	-	RETURN_CONTROL	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> Return(V:Val) ~> _ => #pop </k> <ret> noRet => retV(V) </ret>
K0689	semantics/functions.k	85	90	rule	-	RETURN_CONTROL	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #pop => V ~> CONT </k> <ret> retV(V) => noRet </ret> <stack> ListItem(frame(CONT:K, CALLERL:Int, SAVEDL:Int)) => .List ... </stack> <env> L:Int => CALLERL </env> <scopes> SC:Map => SC [ L <- undef ] </scopes> <scopeLoc> _ => SAVEDL </scopeLoc>
K0693	semantics/int.k	7	7	rule	-	NEGATIVE_SLICE_STEP	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule applyUn("-", I:Int) => 0 -Int I
K0863	semantics/operators.k	10	10	rule	-	UNARY_NEGATION_DISPATCH	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> UnaryOp(OP:String, V:Val) => applyUn(OP, V) ... </k>
K0867	semantics/operators.k	17	17	rule	owise	COMPARE_DISPATCH	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> Compare(LV:Val, CmpOp(OP:String, RV:Val)) => applyCmp(OP, LV, RV) ... </k> [owise]
K0951	semantics/str.k	25	25	rule	-	STRING_EQUALITY	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule applyCmp("==", str(A:IntSeq), str(B:IntSeq)) => A ==K B
K0981	semantics/subscript.k	17	17	rule	-	REVERSE_ELEMENT_ACCESS	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule intSeqAt(iCons(C:Int, _:IntSeq), 0) => C
K0982	semantics/subscript.k	18	19	rule	-	REVERSE_ELEMENT_ACCESS	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule intSeqAt(iCons(_:Int, S:IntSeq), I:Int) => intSeqAt(S, I -Int 1) requires I >Int 0
K0996	semantics/subscript.k	50	50	rule	-	SLICE_BOUND_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #evalB(NoBound) => noB ... </k>
K0997	semantics/subscript.k	51	51	rule	-	SLICE_BOUND_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #evalB(E:Expr) => E ~> #toSome ... </k>
K0998	semantics/subscript.k	52	52	rule	-	SLICE_BOUND_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> I:Int ~> #toSome => someB(I) ... </k>
K0999	semantics/subscript.k	54	54	rule	-	SLICE_BOUND_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> Subscript(OBJ:Val, Slice(LO:Bound, HI:Bound, ST:Bound)) => #evalB(LO) ~> #slLo(OBJ, HI, ST) ... </k>
K1000	semantics/subscript.k	55	55	rule	-	SLICE_BOUND_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> LO:OptInt ~> #slLo(OBJ:Val, HI:Bound, ST:Bound) => #evalB(HI) ~> #slHi(OBJ, LO, ST) ... </k>
K1001	semantics/subscript.k	56	57	rule	-	SLICE_BOUND_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> HI:OptInt ~> #slHi(OBJ:Val, LO:OptInt, ST:Bound) => #evalB(ST) ~> #slStep(OBJ, LO, HI) ... </k> // a list slice constructs a NEW object; a str slice stays a value
K1003	semantics/subscript.k	61	61	rule	-	STRING_SLICE_DISPATCH	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> ST:OptInt ~> #slStep(OBJ:Val, LO:OptInt, HI:OptInt) => doSlice(OBJ, LO, HI, ST) ... </k>
K1007	semantics/subscript.k	68	71	rule	-	STRING_SLICE	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule doSlice(str(IS:IntSeq), LO:OptInt, HI:OptInt, ST:OptInt) => str(buildIS(IS, slStart(LO, ST, isLen(IS)), slStop(HI, ST, isLen(IS)), slStep(ST))) // ==== slice.indices: step / start / stop / clamp ==========================
K1010	semantics/subscript.k	74	74	rule	-	SLICE_STEP	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule slStep(someB(S:Int)) => S
K1013	semantics/subscript.k	79	80	rule	-	REVERSE_SLICE_START	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule slStart(noB, ST:OptInt, LEN:Int) => LEN -Int 1 requires slStep(ST) <Int 0
K1017	semantics/subscript.k	86	87	rule	-	REVERSE_SLICE_STOP	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule slStop(noB, ST:OptInt, _LEN:Int) => -1 requires slStep(ST) <Int 0
K1032	semantics/subscript.k	117	119	rule	-	REVERSE_SEQUENCE_BUILD	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule buildIS(IS:IntSeq, I:Int, STOP:Int, STEP:Int) => iCons(intSeqAt(IS, I), buildIS(IS, I +Int STEP, STOP, STEP)) requires (STEP >Int 0 andBool I <Int STOP) orBool (STEP <Int 0 andBool I >Int STOP)
K1033	semantics/subscript.k	120	121	rule	-	REVERSE_SEQUENCE_BUILD	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule buildIS(_:IntSeq, I:Int, STOP:Int, STEP:Int) => .IntSeq requires notBool ((STEP >Int 0 andBool I <Int STOP) orBool (STEP <Int 0 andBool I >Int STOP))
REGENERATION_EXIT_STATUS=0
