COMMAND: /audit-output/evidence/static/inventory_k.py
file	line	kind	attributes	decision	statement
reference-semantics/semantics/bool.k	46	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	50	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	54	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/builtins.k	17	syntax	function	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
reference-semantics/semantics/builtins.k	20	syntax	function	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	21	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	23	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	24	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule seqLen(str(IS:IntSeq)) => isLen(IS)
reference-semantics/semantics/builtins.k	25	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
reference-semantics/semantics/builtins.k	26	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
reference-semantics/semantics/builtins.k	32	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	36	syntax	function,total	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	37	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule charsOf(.IntSeq) => .ValSeq
reference-semantics/semantics/builtins.k	38	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
reference-semantics/semantics/builtins.k	41	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
reference-semantics/semantics/builtins.k	44	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
reference-semantics/semantics/builtins.k	47	syntax	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	48	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
reference-semantics/semantics/builtins.k	54	syntax	function	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule intOf(I:Int) => I
reference-semantics/semantics/builtins.k	56	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
reference-semantics/semantics/builtins.k	59	syntax	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	60	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
reference-semantics/semantics/builtins.k	64	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
reference-semantics/semantics/builtins.k	67	syntax	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	68	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
reference-semantics/semantics/builtins.k	72	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
reference-semantics/semantics/builtins.k	76	syntax	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	77	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	80	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
reference-semantics/semantics/builtins.k	86	syntax	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	87	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	90	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
reference-semantics/semantics/builtins.k	105	syntax	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax KItem ::= #maxAccV(Iterable, Val) | #maxContV(Val)
reference-semantics/semantics/builtins.k	106	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccV(R, V) ... </k>
reference-semantics/semantics/builtins.k	108	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #iterYield(V, R) ~> #maxContV(M) ... </k>
reference-semantics/semantics/builtins.k	111	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #maxAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #maxContV(M) ... </k>
reference-semantics/semantics/builtins.k	112	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterDone ~> #maxContV(M:Val) => M ... </k>
reference-semantics/semantics/builtins.k	113	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, V) ... </k>
reference-semantics/semantics/builtins.k	115	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, M) ... </k>
reference-semantics/semantics/builtins.k	118	syntax	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax KItem ::= #minAccV(Iterable, Val) | #minContV(Val)
reference-semantics/semantics/builtins.k	119	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccV(R, V) ... </k>
reference-semantics/semantics/builtins.k	121	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #iterYield(V, R) ~> #minContV(M) ... </k>
reference-semantics/semantics/builtins.k	124	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #minAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #minContV(M) ... </k>
reference-semantics/semantics/builtins.k	125	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterDone ~> #minContV(M:Val) => M ... </k>
reference-semantics/semantics/builtins.k	126	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, V) ... </k>
reference-semantics/semantics/builtins.k	128	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, M) ... </k>
reference-semantics/semantics/builtins.k	135	syntax	function	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax Val ::= maxVals(Val, Vals) [function]
reference-semantics/semantics/builtins.k	136	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	137	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("max", V:Val, (V2:Val, REST:Vals)) => maxVals(V, (V2, REST))
reference-semantics/semantics/builtins.k	139	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule maxVals(M:Val, .Vals) => M
reference-semantics/semantics/builtins.k	140	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(V, R) requires applyCmp(">", V, M)
reference-semantics/semantics/builtins.k	141	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(M, R) requires notBool applyCmp(">", V, M) 
reference-semantics/semantics/builtins.k	143	syntax	function	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax Val ::= minVals(Val, Vals) [function]
reference-semantics/semantics/builtins.k	144	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	145	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("min", V:Val, (V2:Val, REST:Vals)) => minVals(V, (V2, REST))
reference-semantics/semantics/builtins.k	147	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule minVals(M:Val, .Vals) => M
reference-semantics/semantics/builtins.k	148	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(V, R) requires applyCmp("<", V, M)
reference-semantics/semantics/builtins.k	149	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(M, R) requires notBool applyCmp("<", V, M) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
reference-semantics/semantics/builtins.k	152	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
reference-semantics/semantics/builtins.k	155	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
reference-semantics/semantics/builtins.k	158	syntax	function,total	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	159	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	160	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	161	syntax	function,total	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	162	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	163	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
reference-semantics/semantics/builtins.k	168	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	170	syntax	function,total	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	171	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	172	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
reference-semantics/semantics/builtins.k	176	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	178	syntax	function,total	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	179	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	180	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	181	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
reference-semantics/semantics/builtins.k	184	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================
reference-semantics/semantics/builtins.k	187	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	188	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
reference-semantics/semantics/builtins.k	192	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	193	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
reference-semantics/semantics/builtins.k	196	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
reference-semantics/semantics/builtins.k	200	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
reference-semantics/semantics/builtins.k	202	syntax	function,total	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	203	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule intDigAcc(.IntSeq, ACC:Int) => ACC
reference-semantics/semantics/builtins.k	204	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
reference-semantics/semantics/builtins.k	207	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	208	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
reference-semantics/semantics/builtins.k	211	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	213	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	214	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	215	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	217	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	218	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
reference-semantics/semantics/builtins.k	221	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
reference-semantics/semantics/builtins.k	222	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
reference-semantics/semantics/builtins.k	223	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
