Script started on 2026-07-26 14:55:10-05:00 [<not executed on terminal>]
id	file	lines	kind	attributes	impact	decision	declaration_or_rule
K068	semantics/builtins.k	102-102	syntax	function	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Int ::= minVals(Int, Vals) [function]
K069	semantics/builtins.k	103-103	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K070	semantics/builtins.k	104-104	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule minVals(M:Int, .Vals) => M
K071	semantics/builtins.k	105-107	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
K072	semantics/builtins.k	108-108	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
K073	semantics/builtins.k	111-112	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
K074	semantics/builtins.k	114-114	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax IntSeq ::= binCodes(Int) [function, total]
K075	semantics/builtins.k	115-115	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule binCodes(0) => iCons(48, .IntSeq)
K076	semantics/builtins.k	116-116	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K077	semantics/builtins.k	117-117	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K078	semantics/builtins.k	118-118	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule binAcc(0, ACC:IntSeq) => ACC
K079	semantics/builtins.k	119-120	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
K080	semantics/builtins.k	124-125	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K081	semantics/builtins.k	126-126	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K082	semantics/builtins.k	127-127	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule enumVS(.ValSeq, _:Int) => .ValSeq
K083	semantics/builtins.k	128-131	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
K084	semantics/builtins.k	132-133	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
K085	semantics/builtins.k	134-134	syntax	function,total	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K086	semantics/builtins.k	135-135	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule mapStrVS(.ValSeq) => .ValSeq
K087	semantics/builtins.k	136-136	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K088	semantics/builtins.k	137-139	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
K089	semantics/builtins.k	140-142	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================
K090	semantics/builtins.k	143-143	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
K091	semantics/builtins.k	144-144	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
K092	semantics/builtins.k	148-148	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
K093	semantics/builtins.k	149-151	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
K094	semantics/builtins.k	152-152	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
K095	semantics/builtins.k	156-156	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
K096	semantics/builtins.k	158-158	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K097	semantics/builtins.k	159-159	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule intDigAcc(.IntSeq, ACC:Int) => ACC
K098	semantics/builtins.k	160-162	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
K099	semantics/builtins.k	163-163	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
K100	semantics/builtins.k	164-166	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
K101	semantics/builtins.k	167-168	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K102	semantics/builtins.k	169-169	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
K103	semantics/builtins.k	170-170	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K104	semantics/builtins.k	171-172	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K105	semantics/builtins.k	173-173	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
K106	semantics/builtins.k	174-176	rule	-	FIXED_UNUSED	DOCUMENTED_SUBSET_APPROXIMATION	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
K107	semantics/builtins.k	177-177	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
K108	semantics/builtins.k	178-178	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
K109	semantics/builtins.k	179-179	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
K110	semantics/builtins.k	187-187	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
K111	semantics/builtins.k	188-188	syntax	function	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Int ::= evalArith(IntSeq) [function]
K112	semantics/builtins.k	189-191	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
K113	semantics/builtins.k	192-193	syntax	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
K114	semantics/builtins.k	194-194	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Bool ::= evDigit(Int) [function, total]
K115	semantics/builtins.k	195-195	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
K116	semantics/builtins.k	196-196	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Bool ::= evHead42(IntSeq) [function, total]
K117	semantics/builtins.k	197-197	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule evHead42(iCons(42, _:IntSeq)) => true
K118	semantics/builtins.k	198-198	rule	owise	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule evHead42(_:IntSeq) => false [owise]
K119	semantics/builtins.k	199-199	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Bool ::= evHead47(IntSeq) [function, total]
K120	semantics/builtins.k	200-200	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule evHead47(iCons(47, _:IntSeq)) => true
K121	semantics/builtins.k	201-202	rule	owise	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule evHead47(_:IntSeq) => false [owise]
K122	semantics/builtins.k	203-203	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax OpSeq ::= tokOps(IntSeq) [function, total]
K123	semantics/builtins.k	204-204	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(.IntSeq) => .OpSeq
K124	semantics/builtins.k	205-205	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
K125	semantics/builtins.k	206-206	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
K126	semantics/builtins.k	207-207	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
K127	semantics/builtins.k	208-208	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
K128	semantics/builtins.k	209-209	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
K129	semantics/builtins.k	210-210	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)
K130	semantics/builtins.k	211-211	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))
K131	semantics/builtins.k	212-213	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))
K132	semantics/builtins.k	214-215	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
K133	semantics/builtins.k	216-216	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokNds(.IntSeq) => .IntSeq
K134	semantics/builtins.k	217-217	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
K135	semantics/builtins.k	218-218	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
K136	semantics/builtins.k	219-219	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)
K137	semantics/builtins.k	221-221	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)
K138	semantics/builtins.k	223-224	rule	owise	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
K139	semantics/builtins.k	225-225	syntax	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax EvPair ::= evp(OpSeq, IntSeq)
K140	semantics/builtins.k	226-226	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Int ::= firstNdE(EvPair) [function, total]
K141	semantics/builtins.k	227-227	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
