id	file	line	kind	target_relevance	review_decision	declaration
15	reference-semantics/semantics.k	48	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/methods.k"""
16	reference-semantics/semantics.k	49	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/controls.k"""
17	reference-semantics/semantics.k	50	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/functions.k"""
18	reference-semantics/semantics.k	51	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/builtins.k"""
19	reference-semantics/semantics.k	52	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/call.k"""
20	reference-semantics/semantics.k	53	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/sort.k"""
21	reference-semantics/semantics.k	54	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/assert.k"""
22	reference-semantics/semantics.k	55	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/dict.k"""
23	reference-semantics/semantics.k	56	requires	IMPORTED_UNUSED	CONCRETE_ONLY_OR_UNUSED: absent from Haskell proof dependency; attrs=concrete	"requires ""semantics/concrete.k"""
24	reference-semantics/semantics.k	58	module	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	module MPY
25	reference-semantics/semantics.k	59	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-CORE
26	reference-semantics/semantics.k	60	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-ITER
27	reference-semantics/semantics.k	61	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-RANGE
28	reference-semantics/semantics.k	62	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-OPERATORS
29	reference-semantics/semantics.k	63	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-INT
30	reference-semantics/semantics.k	64	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-BOOL
31	reference-semantics/semantics.k	65	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-FLOAT
32	reference-semantics/semantics.k	66	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-STR
33	reference-semantics/semantics.k	67	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-SET
34	reference-semantics/semantics.k	68	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-LIST
35	reference-semantics/semantics.k	69	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-TUPLE
36	reference-semantics/semantics.k	70	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-SUBSCRIPT
37	reference-semantics/semantics.k	71	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-COMPREHENSION
38	reference-semantics/semantics.k	72	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-METHODS
39	reference-semantics/semantics.k	73	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-CONTROLS
40	reference-semantics/semantics.k	74	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-FUNCTIONS
41	reference-semantics/semantics.k	75	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-BUILTINS
42	reference-semantics/semantics.k	76	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-CALL
43	reference-semantics/semantics.k	77	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-SORT
44	reference-semantics/semantics.k	78	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-ASSERT
45	reference-semantics/semantics.k	79	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-DICT
46	reference-semantics/semantics.k	80	endmodule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	endmodule
47	reference-semantics/semantics.k	87	module	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	module MPY-KRUN
48	reference-semantics/semantics.k	88	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY
49	reference-semantics/semantics.k	89	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-CONCRETE
50	reference-semantics/semantics.k	90	endmodule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	endmodule
51	reference-semantics/semantics/assert.k	3	module	CONCRETE_TEST_ONLY	CONCRETE_TEST_ONLY: used for smoke assertions, not for symbolic claim closure; attrs=-	module MPY-ASSERT
52	reference-semantics/semantics/assert.k	4	imports	CONCRETE_TEST_ONLY	CONCRETE_TEST_ONLY: used for smoke assertions, not for symbolic claim closure; attrs=-	imports MPY-CORE
53	reference-semantics/semantics/assert.k	6	rule	CONCRETE_TEST_ONLY	CONCRETE_TEST_ONLY: used for smoke assertions, not for symbolic claim closure; attrs=-	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
54	reference-semantics/semantics/assert.k	8	rule	CONCRETE_TEST_ONLY	CONCRETE_TEST_ONLY: used for smoke assertions, not for symbolic claim closure; attrs=-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
55	reference-semantics/semantics/assert.k	13	rule	CONCRETE_TEST_ONLY	CONCRETE_TEST_ONLY: used for smoke assertions, not for symbolic claim closure; attrs=priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
56	reference-semantics/semantics/assert.k	16	endmodule	CONCRETE_TEST_ONLY	CONCRETE_TEST_ONLY: used for smoke assertions, not for symbolic claim closure; attrs=-	endmodule
57	reference-semantics/semantics/bool.k	5	module	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	module MPY-BOOL
58	reference-semantics/semantics/bool.k	6	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-CORE
59	reference-semantics/semantics/bool.k	8	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
60	reference-semantics/semantics/bool.k	10	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
61	reference-semantics/semantics/bool.k	11	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
62	reference-semantics/semantics/bool.k	16	context	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	context BoolOp(_, (HOLE:Expr, _:Exprs))
63	reference-semantics/semantics/bool.k	17	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
64	reference-semantics/semantics/bool.k	18	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
65	reference-semantics/semantics/bool.k	20	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
66	reference-semantics/semantics/bool.k	22	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
67	reference-semantics/semantics/bool.k	24	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
68	reference-semantics/semantics/bool.k	29	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
69	reference-semantics/semantics/bool.k	31	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=priority	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
70	reference-semantics/semantics/bool.k	35	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=priority	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
71	reference-semantics/semantics/bool.k	39	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=priority	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
72	reference-semantics/semantics/bool.k	43	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=priority	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
73	reference-semantics/semantics/bool.k	47	endmodule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	endmodule
74	reference-semantics/semantics/builtins.k	3	module	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	module MPY-BUILTINS
75	reference-semantics/semantics/builtins.k	4	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-CORE
76	reference-semantics/semantics/builtins.k	5	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-STR
77	reference-semantics/semantics/builtins.k	6	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-SET
78	reference-semantics/semantics/builtins.k	7	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-ITER
79	reference-semantics/semantics/builtins.k	8	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-RANGE
80	reference-semantics/semantics/builtins.k	9	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-INT
81	reference-semantics/semantics/builtins.k	10	imports	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	imports MPY-METHODS
82	reference-semantics/semantics/builtins.k	17	syntax	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=function	syntax Val ::= applyBuiltin(String, Vals) [function]
83	reference-semantics/semantics/builtins.k	20	syntax	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=function	syntax Int ::= seqLen(Val) [function]
84	reference-semantics/semantics/builtins.k	21	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
85	reference-semantics/semantics/builtins.k	22	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
86	reference-semantics/semantics/builtins.k	23	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
87	reference-semantics/semantics/builtins.k	24	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
88	reference-semantics/semantics/builtins.k	25	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
89	reference-semantics/semantics/builtins.k	26	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
90	reference-semantics/semantics/builtins.k	32	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
91	reference-semantics/semantics/builtins.k	33	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
92	reference-semantics/semantics/builtins.k	34	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
93	reference-semantics/semantics/builtins.k	35	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
94	reference-semantics/semantics/builtins.k	36	syntax	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
95	reference-semantics/semantics/builtins.k	37	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule charsOf(.IntSeq)                => .ValSeq
96	reference-semantics/semantics/builtins.k	38	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
97	reference-semantics/semantics/builtins.k	41	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
98	reference-semantics/semantics/builtins.k	44	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
99	reference-semantics/semantics/builtins.k	47	syntax	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
100	reference-semantics/semantics/builtins.k	48	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
101	reference-semantics/semantics/builtins.k	49	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
102	reference-semantics/semantics/builtins.k	50	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
103	reference-semantics/semantics/builtins.k	54	syntax	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=function	syntax Int ::= intOf(Val) [function]
104	reference-semantics/semantics/builtins.k	55	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule intOf(I:Int)  => I
105	reference-semantics/semantics/builtins.k	56	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
106	reference-semantics/semantics/builtins.k	59	syntax	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
107	reference-semantics/semantics/builtins.k	60	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
108	reference-semantics/semantics/builtins.k	61	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #iterDone ~> #allCont => true ... </k>
109	reference-semantics/semantics/builtins.k	62	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
110	reference-semantics/semantics/builtins.k	64	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
111	reference-semantics/semantics/builtins.k	67	syntax	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
112	reference-semantics/semantics/builtins.k	68	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
113	reference-semantics/semantics/builtins.k	69	rule	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	rule <k> #iterDone ~> #anyCont => false ... </k>
