$ python3 /audit-output/evidence/differential_test.py
CASE index=0 n=1 m=5 canonical=('return', 'str', '0b11') candidate=('return', 'str', '0b11')
CASE index=17 n=183 m=117 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=18 n=240 m=185 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=19 n=179 m=189 canonical=('return', 'str', '0b10111000') candidate=('return', 'str', '0b10111000')
CASE index=20 n=210 m=56 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=21 n=177 m=20 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=22 n=234 m=155 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=23 n=190 m=32 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=24 n=168 m=98 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=25 n=119 m=228 canonical=('return', 'str', '0b10101110') candidate=('return', 'str', '0b10101110')
CASE index=26 n=87 m=224 canonical=('return', 'str', '0b10011100') candidate=('return', 'str', '0b10011100')
CASE index=27 n=173 m=31 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=28 n=126 m=22 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=29 n=34 m=57 canonical=('return', 'str', '0b101110') candidate=('return', 'str', '0b101110')
CASE index=30 n=150 m=212 canonical=('return', 'str', '0b10110101') candidate=('return', 'str', '0b10110101')
CASE index=31 n=250 m=7 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=32 n=12 m=58 canonical=('return', 'str', '0b100011') candidate=('return', 'str', '0b100011')
CASE index=33 n=247 m=28 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=34 n=178 m=33 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=35 n=156 m=134 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=36 n=76 m=47 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=37 n=191 m=105 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=38 n=221 m=188 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=39 n=149 m=186 canonical=('return', 'str', '0b10101000') candidate=('return', 'str', '0b10101000')
CASE index=40 n=173 m=107 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=41 n=59 m=202 canonical=('return', 'str', '0b10000010') candidate=('return', 'str', '0b10000010')
CASE index=42 n=169 m=147 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=43 n=198 m=212 canonical=('return', 'str', '0b11001101') candidate=('return', 'str', '0b11001101')
CASE index=44 n=159 m=64 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=45 n=23 m=95 canonical=('return', 'str', '0b111011') candidate=('return', 'str', '0b111011')
CASE index=46 n=52 m=149 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=47 n=56 m=243 canonical=('return', 'str', '0b10010110') candidate=('return', 'str', '0b10010110')
CASE index=48 n=178 m=159 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=49 n=131 m=122 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=50 n=212 m=65 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=51 n=183 m=73 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=52 n=233 m=56 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=53 n=194 m=136 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=54 n=227 m=206 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=55 n=230 m=118 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=56 n=136 m=50 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=57 n=182 m=135 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=58 n=76 m=11 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=59 n=124 m=214 canonical=('return', 'str', '0b10101001') candidate=('return', 'str', '0b10101001')
CASE index=60 n=38 m=34 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=61 n=108 m=132 canonical=('return', 'str', '0b1111000') candidate=('return', 'str', '0b1111000')
CASE index=62 n=65 m=236 canonical=('return', 'str', '0b10010110') candidate=('return', 'str', '0b10010110')
CASE index=63 n=26 m=124 canonical=('return', 'str', '0b1001011') candidate=('return', 'str', '0b1001011')
CASE index=64 n=236 m=90 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=65 n=25 m=216 canonical=('return', 'str', '0b1111000') candidate=('return', 'str', '0b1111000')
CASE index=66 n=209 m=169 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=67 n=180 m=211 canonical=('return', 'str', '0b11000100') candidate=('return', 'str', '0b11000100')
CASE index=68 n=24 m=79 canonical=('return', 'str', '0b110100') candidate=('return', 'str', '0b110100')
CASE index=69 n=125 m=171 canonical=('return', 'str', '0b10010100') candidate=('return', 'str', '0b10010100')
CASE index=70 n=32 m=234 canonical=('return', 'str', '0b10000101') candidate=('return', 'str', '0b10000101')
CASE index=71 n=145 m=197 canonical=('return', 'str', '0b10101011') candidate=('return', 'str', '0b10101011')
CASE index=72 n=198 m=25 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=73 n=182 m=99 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=74 n=75 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=75 n=141 m=123 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=76 n=153 m=159 canonical=('return', 'str', '0b10011100') candidate=('return', 'str', '0b10011100')
CASE index=77 n=101 m=98 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=78 n=210 m=187 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=79 n=114 m=68 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=80 n=192 m=228 canonical=('return', 'str', '0b11010010') candidate=('return', 'str', '0b11010010')
CASE index=81 n=17 m=46 canonical=('return', 'str', '0b100000') candidate=('return', 'str', '0b100000')
CASE index=82 n=114 m=200 canonical=('return', 'str', '0b10011101') candidate=('return', 'str', '0b10011101')
CASE index=83 n=12 m=84 canonical=('return', 'str', '0b110000') candidate=('return', 'str', '0b110000')
CASE index=84 n=166 m=76 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=85 n=224 m=3 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=86 n=140 m=62 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=87 n=145 m=61 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=88 n=160 m=57 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=89 n=59 m=240 canonical=('return', 'str', '0b10010110') candidate=('return', 'str', '0b10010110')
CASE index=90 n=99 m=40 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=91 n=149 m=22 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=92 n=166 m=172 canonical=('return', 'str', '0b10101001') candidate=('return', 'str', '0b10101001')
CASE index=93 n=98 m=8 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=94 n=123 m=117 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=95 n=85 m=23 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=96 n=142 m=38 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=97 n=174 m=10 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=98 n=84 m=71 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=99 n=176 m=166 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=100 n=218 m=60 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=101 n=138 m=25 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=102 n=117 m=80 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=103 n=102 m=236 canonical=('return', 'str', '0b10101001') candidate=('return', 'str', '0b10101001')
CASE index=104 n=47 m=47 canonical=('return', 'str', '0b101111') candidate=('return', 'str', '0b101111')
CASE index=105 n=69 m=94 canonical=('return', 'str', '0b1010010') candidate=('return', 'str', '0b1010010')
CASE index=106 n=136 m=210 canonical=('return', 'str', '0b10101101') candidate=('return', 'str', '0b10101101')
CASE index=107 n=153 m=9 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=108 n=180 m=158 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=109 n=164 m=224 canonical=('return', 'str', '0b11000010') candidate=('return', 'str', '0b11000010')
CASE index=110 n=170 m=242 canonical=('return', 'str', '0b11001110') candidate=('return', 'str', '0b11001110')
CASE index=111 n=169 m=175 canonical=('return', 'str', '0b10101100') candidate=('return', 'str', '0b10101100')
CASE index=112 n=125 m=89 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=113 n=35 m=86 canonical=('return', 'str', '0b111100') candidate=('return', 'str', '0b111100')
CASE index=114 n=166 m=162 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=115 n=192 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=116 n=217 m=8 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=117 n=160 m=226 canonical=('return', 'str', '0b11000001') candidate=('return', 'str', '0b11000001')
CASE index=118 n=99 m=161 canonical=('return', 'str', '0b10000010') candidate=('return', 'str', '0b10000010')
CASE index=119 n=188 m=42 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=120 n=106 m=110 canonical=('return', 'str', '0b1101100') candidate=('return', 'str', '0b1101100')
CASE index=121 n=212 m=75 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=122 n=198 m=223 canonical=('return', 'str', '0b11010010') candidate=('return', 'str', '0b11010010')
CASE index=123 n=208 m=74 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=124 n=153 m=186 canonical=('return', 'str', '0b10101010') candidate=('return', 'str', '0b10101010')
CASE index=125 n=235 m=191 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=126 n=139 m=82 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=127 n=107 m=65 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=128 n=69 m=134 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=129 n=9 m=103 canonical=('return', 'str', '0b111000') candidate=('return', 'str', '0b111000')
CASE index=130 n=208 m=153 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=131 n=116 m=85 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=132 n=205 m=204 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=133 n=204 m=108 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=134 n=37 m=35 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=135 n=118 m=199 canonical=('return', 'str', '0b10011110') candidate=('return', 'str', '0b10011110')
CASE index=136 n=114 m=230 canonical=('return', 'str', '0b10101100') candidate=('return', 'str', '0b10101100')
CASE index=137 n=175 m=145 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=138 n=140 m=170 canonical=('return', 'str', '0b10011011') candidate=('return', 'str', '0b10011011')
CASE index=139 n=224 m=195 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=140 n=240 m=152 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=141 n=3 m=31 canonical=('return', 'str', '0b10001') candidate=('return', 'str', '0b10001')
CASE index=142 n=125 m=236 canonical=('return', 'str', '0b10110100') candidate=('return', 'str', '0b10110100')
CASE index=143 n=5 m=213 canonical=('return', 'str', '0b1101101') candidate=('return', 'str', '0b1101101')
CASE index=144 n=86 m=39 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=145 n=62 m=154 canonical=('return', 'str', '0b1101100') candidate=('return', 'str', '0b1101100')
CASE index=146 n=119 m=182 canonical=('return', 'str', '0b10010110') candidate=('return', 'str', '0b10010110')
CASE index=147 n=174 m=97 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=148 n=221 m=31 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=149 n=67 m=174 canonical=('return', 'str', '0b1111000') candidate=('return', 'str', '0b1111000')
CASE index=150 n=4 m=167 canonical=('return', 'str', '0b1010110') candidate=('return', 'str', '0b1010110')
CASE index=151 n=153 m=201 canonical=('return', 'str', '0b10110001') candidate=('return', 'str', '0b10110001')
CASE index=152 n=176 m=141 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=153 n=139 m=29 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=154 n=158 m=14 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=155 n=36 m=240 canonical=('return', 'str', '0b10001010') candidate=('return', 'str', '0b10001010')
CASE index=156 n=38 m=136 canonical=('return', 'str', '0b1010111') candidate=('return', 'str', '0b1010111')
CASE index=157 n=90 m=221 canonical=('return', 'str', '0b10011100') candidate=('return', 'str', '0b10011100')
CASE index=158 n=206 m=201 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=159 n=13 m=193 canonical=('return', 'str', '0b1100111') candidate=('return', 'str', '0b1100111')
CASE index=160 n=226 m=207 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=161 n=144 m=65 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=162 n=178 m=64 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=163 n=65 m=112 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=164 n=197 m=24 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=165 n=204 m=76 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=166 n=194 m=98 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=167 n=149 m=199 canonical=('return', 'str', '0b10101110') candidate=('return', 'str', '0b10101110')
CASE index=168 n=123 m=77 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=169 n=50 m=106 canonical=('return', 'str', '0b1001110') candidate=('return', 'str', '0b1001110')
CASE index=170 n=171 m=238 canonical=('return', 'str', '0b11001100') candidate=('return', 'str', '0b11001100')
CASE index=171 n=168 m=148 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=172 n=132 m=120 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=173 n=187 m=152 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=174 n=60 m=242 canonical=('return', 'str', '0b10010111') candidate=('return', 'str', '0b10010111')
CASE index=175 n=85 m=28 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=176 n=92 m=74 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=177 n=172 m=157 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=178 n=177 m=132 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=179 n=73 m=22 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=180 n=239 m=121 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=181 n=118 m=103 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=182 n=196 m=182 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=183 n=14 m=169 canonical=('return', 'str', '0b1011100') candidate=('return', 'str', '0b1011100')
CASE index=184 n=72 m=125 canonical=('return', 'str', '0b1100010') candidate=('return', 'str', '0b1100010')
CASE index=185 n=6 m=35 canonical=('return', 'str', '0b10100') candidate=('return', 'str', '0b10100')
CASE index=186 n=203 m=46 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=187 n=134 m=198 canonical=('return', 'str', '0b10100110') candidate=('return', 'str', '0b10100110')
CASE index=188 n=244 m=26 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=189 n=156 m=62 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=190 n=84 m=75 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=191 n=92 m=170 canonical=('return', 'str', '0b10000011') candidate=('return', 'str', '0b10000011')
CASE index=192 n=97 m=85 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=193 n=51 m=32 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=194 n=28 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=195 n=167 m=249 canonical=('return', 'str', '0b11010000') candidate=('return', 'str', '0b11010000')
CASE index=196 n=81 m=196 canonical=('return', 'str', '0b10001010') candidate=('return', 'str', '0b10001010')
CASE index=197 n=117 m=212 canonical=('return', 'str', '0b10100100') candidate=('return', 'str', '0b10100100')
CASE index=198 n=182 m=237 canonical=('return', 'str', '0b11010010') candidate=('return', 'str', '0b11010010')
CASE index=199 n=71 m=38 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=200 n=113 m=225 canonical=('return', 'str', '0b10101001') candidate=('return', 'str', '0b10101001')
CASE index=201 n=83 m=226 canonical=('return', 'str', '0b10011010') candidate=('return', 'str', '0b10011010')
CASE index=202 n=83 m=184 canonical=('return', 'str', '0b10000110') candidate=('return', 'str', '0b10000110')
CASE index=203 n=171 m=71 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=204 n=26 m=144 canonical=('return', 'str', '0b1010101') candidate=('return', 'str', '0b1010101')
CASE index=205 n=103 m=223 canonical=('return', 'str', '0b10100011') candidate=('return', 'str', '0b10100011')
CASE index=206 n=29 m=77 canonical=('return', 'str', '0b110101') candidate=('return', 'str', '0b110101')
CASE index=207 n=172 m=77 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=208 n=41 m=248 canonical=('return', 'str', '0b10010000') candidate=('return', 'str', '0b10010000')
CASE index=209 n=188 m=124 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=210 n=86 m=170 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=211 n=191 m=135 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=212 n=83 m=210 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=213 n=114 m=180 canonical=('return', 'str', '0b10010011') candidate=('return', 'str', '0b10010011')
CASE index=214 n=142 m=165 canonical=('return', 'str', '0b10011010') candidate=('return', 'str', '0b10011010')
CASE index=215 n=70 m=9 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=216 n=180 m=37 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=217 n=126 m=193 canonical=('return', 'str', '0b10100000') candidate=('return', 'str', '0b10100000')
CASE index=218 n=42 m=106 canonical=('return', 'str', '0b1001010') candidate=('return', 'str', '0b1001010')
CASE index=219 n=4 m=250 canonical=('return', 'str', '0b1111111') candidate=('return', 'str', '0b1111111')
CASE index=220 n=69 m=163 canonical=('return', 'str', '0b1110100') candidate=('return', 'str', '0b1110100')
CASE index=221 n=229 m=211 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=222 n=201 m=191 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=223 n=236 m=247 canonical=('return', 'str', '0b11110010') candidate=('return', 'str', '0b11110010')
CASE index=224 n=164 m=169 canonical=('return', 'str', '0b10100110') candidate=('return', 'str', '0b10100110')
CASE index=225 n=90 m=241 canonical=('return', 'str', '0b10100110') candidate=('return', 'str', '0b10100110')
CASE index=226 n=246 m=109 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=227 n=27 m=69 canonical=('return', 'str', '0b110000') candidate=('return', 'str', '0b110000')
CASE index=228 n=91 m=29 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=229 n=185 m=65 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=230 n=177 m=229 canonical=('return', 'str', '0b11001011') candidate=('return', 'str', '0b11001011')
CASE index=231 n=141 m=169 canonical=('return', 'str', '0b10011011') candidate=('return', 'str', '0b10011011')
CASE index=232 n=12 m=173 canonical=('return', 'str', '0b1011100') candidate=('return', 'str', '0b1011100')
CASE index=233 n=8 m=215 canonical=('return', 'str', '0b1110000') candidate=('return', 'str', '0b1110000')
CASE index=234 n=118 m=140 canonical=('return', 'str', '0b10000001') candidate=('return', 'str', '0b10000001')
CASE index=235 n=50 m=93 canonical=('return', 'str', '0b1001000') candidate=('return', 'str', '0b1001000')
CASE index=236 n=73 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=237 n=86 m=67 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=238 n=28 m=225 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=239 n=95 m=186 canonical=('return', 'str', '0b10001100') candidate=('return', 'str', '0b10001100')
CASE index=240 n=2 m=210 canonical=('return', 'str', '0b1101010') candidate=('return', 'str', '0b1101010')
CASE index=241 n=158 m=70 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=242 n=90 m=171 canonical=('return', 'str', '0b10000010') candidate=('return', 'str', '0b10000010')
CASE index=243 n=40 m=51 canonical=('return', 'str', '0b101110') candidate=('return', 'str', '0b101110')
CASE index=244 n=117 m=78 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=245 n=106 m=245 canonical=('return', 'str', '0b10110000') candidate=('return', 'str', '0b10110000')
CASE index=246 n=55 m=55 canonical=('return', 'str', '0b110111') candidate=('return', 'str', '0b110111')
CASE index=247 n=181 m=75 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=248 n=150 m=56 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=249 n=195 m=223 canonical=('return', 'str', '0b11010001') candidate=('return', 'str', '0b11010001')
CASE index=250 n=176 m=188 canonical=('return', 'str', '0b10110110') candidate=('return', 'str', '0b10110110')
CASE index=251 n=152 m=208 canonical=('return', 'str', '0b10110100') candidate=('return', 'str', '0b10110100')
CASE index=252 n=218 m=207 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=253 n=119 m=84 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=254 n=235 m=22 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=255 n=199 m=44 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=256 n=77 m=112 canonical=('return', 'str', '0b1011110') candidate=('return', 'str', '0b1011110')
CASE index=257 n=61 m=87 canonical=('return', 'str', '0b1001010') candidate=('return', 'str', '0b1001010')
CASE index=258 n=138 m=48 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=259 n=115 m=172 canonical=('return', 'str', '0b10010000') candidate=('return', 'str', '0b10010000')
CASE index=260 n=203 m=199 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=261 n=167 m=225 canonical=('return', 'str', '0b11000100') candidate=('return', 'str', '0b11000100')
CASE index=262 n=191 m=80 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=263 n=155 m=203 canonical=('return', 'str', '0b10110011') candidate=('return', 'str', '0b10110011')
CASE index=264 n=68 m=193 canonical=('return', 'str', '0b10000010') candidate=('return', 'str', '0b10000010')
CASE index=265 n=191 m=179 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=266 n=164 m=44 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=267 n=183 m=72 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=268 n=60 m=155 canonical=('return', 'str', '0b1101100') candidate=('return', 'str', '0b1101100')
CASE index=269 n=31 m=161 canonical=('return', 'str', '0b1100000') candidate=('return', 'str', '0b1100000')
CASE index=270 n=115 m=158 canonical=('return', 'str', '0b10001000') candidate=('return', 'str', '0b10001000')
CASE index=271 n=152 m=201 canonical=('return', 'str', '0b10110000') candidate=('return', 'str', '0b10110000')
CASE index=272 n=187 m=201 canonical=('return', 'str', '0b11000010') candidate=('return', 'str', '0b11000010')
CASE index=273 n=122 m=147 canonical=('return', 'str', '0b10000110') candidate=('return', 'str', '0b10000110')
CASE index=274 n=140 m=82 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=275 n=23 m=56 canonical=('return', 'str', '0b101000') candidate=('return', 'str', '0b101000')
CASE index=276 n=13 m=181 canonical=('return', 'str', '0b1100001') candidate=('return', 'str', '0b1100001')
CASE index=277 n=32 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=278 n=82 m=138 canonical=('return', 'str', '0b1101110') candidate=('return', 'str', '0b1101110')
CASE index=279 n=63 m=103 canonical=('return', 'str', '0b1010011') candidate=('return', 'str', '0b1010011')
CASE index=280 n=37 m=184 canonical=('return', 'str', '0b1101110') candidate=('return', 'str', '0b1101110')
CASE index=281 n=87 m=46 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=282 n=87 m=211 canonical=('return', 'str', '0b10010101') candidate=('return', 'str', '0b10010101')
CASE index=283 n=221 m=240 canonical=('return', 'str', '0b11100110') candidate=('return', 'str', '0b11100110')
CASE index=284 n=237 m=234 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=285 n=189 m=115 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=286 n=3 m=34 canonical=('return', 'str', '0b10010') candidate=('return', 'str', '0b10010')
CASE index=287 n=61 m=21 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
