id,source,module,keyword,classification,disposition,judgment,sentence_sha256
reference-semantics/semantics.k:72-72,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,14630d96675d76454efd189e8d71d0b4c90851d2755c1560e51b09dd6b01f486
reference-semantics/semantics.k:73-73,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,24ffa847e481c49f9af8af6a794dffe219ee123297d29e499f90d97d7caddc92
reference-semantics/semantics.k:74-74,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,c1128d02d4f48acf1f8048d38445481072f407b56bcc7ab80cf647f327c2543b
reference-semantics/semantics.k:75-75,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,500c56793acb47c875a9cf559a70a7182c3a39fe451e63e14e78cf64718850dd
reference-semantics/semantics.k:76-76,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,6884818ad4446c62fca4772283b39997f7a962deac974b444d86bea74fd952ff
reference-semantics/semantics.k:77-77,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,f157459e63d66f379b0e2ab7da094c2e92d3f0f5e545310516969651b59a6550
reference-semantics/semantics.k:78-78,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,8cb589949f46e41cccf190331d770ba08622b902044136be6a5cd2983b1883bd
reference-semantics/semantics.k:79-79,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,d07fc7b5c41a3b4ed29b736fae6626daf1c690e2ef1d3a1fa640ad567f6d015e
reference-semantics/semantics.k:88-88,reference-semantics/semantics.k,MPY-KRUN,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,6b753fe15b6086e8ef71085e5948d0730c8257d058086d66d4de33748b291a2e
reference-semantics/semantics.k:89-89,reference-semantics/semantics.k,MPY-KRUN,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,4e7d473745dac0ecc7a43c2863c7af371a77c18df49c85894ef4eb09c3a29917
reference-semantics/semantics/assert.k:4-5,reference-semantics/semantics/assert.k,MPY-ASSERT,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8
reference-semantics/semantics/assert.k:6-7,reference-semantics/semantics/assert.k,MPY-ASSERT,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,46ba8624b23bf183d99353eab0c339c7261e3934373bc10c8d6eb0966fb6e4c2
reference-semantics/semantics/assert.k:8-12,reference-semantics/semantics/assert.k,MPY-ASSERT,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,02af58c82c4e0fde67d9f12072d76f2988fe7ee14a6095de5e3458d305cc53d4
reference-semantics/semantics/assert.k:13-15,reference-semantics/semantics/assert.k,MPY-ASSERT,rule,rule|priority,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,394326569ed8c1799184b4ed5f7f854898024e4cb1235144ef0f39f8b96a1cd9
reference-semantics/semantics/bool.k:6-7,reference-semantics/semantics/bool.k,MPY-BOOL,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8
reference-semantics/semantics/bool.k:8-9,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,274ff35fd151cd732d15a1272707ece9a30a3e8a434efd8affb128403bd37106
reference-semantics/semantics/bool.k:10-10,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,f9d84a06392e2fadf7137e9e4c111657d995f025f4f1d6b5dac05fb58a21972b
reference-semantics/semantics/bool.k:11-15,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,c8592bf4bacdb1c29456b167f2149343198dbac43b1798a74c46bb823ab4dd27
reference-semantics/semantics/bool.k:16-16,reference-semantics/semantics/bool.k,MPY-BOOL,context,context,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,de6eec95e5ddf9dc9af3d2a9f94c4df9e2c9b73bffe0bf7404ddda338b0ca05b
reference-semantics/semantics/bool.k:17-17,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,2efcf80be1c3fd95a749162752e9c54fdf8cd5c6b64cfe1aeed528cffe1f38d2
reference-semantics/semantics/bool.k:18-19,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,ddf6d5245d01784cd74f00f7e54a736a76166193d7ed17e3b6f4f10ffdeac882
reference-semantics/semantics/bool.k:20-21,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,eeeb303f787ca6da784fed38bb09560b7dc239cce893b9b6771056808ef4e9ee
reference-semantics/semantics/bool.k:22-23,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,4c6d5a8013b0629662156459eb61a0b118fbfb7fb9d3eea2414b0767ebdf83e6
reference-semantics/semantics/bool.k:24-28,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,f77fd0f1d8edb22d9c3bce8560b7ddc3de881f7e6855da3ea5afc4fd7f37b533
reference-semantics/semantics/bool.k:29-30,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|priority,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,98cefcc060a8592c83623b7a530dcc2ef6b33351e32000cfaf470c112c20ece7
reference-semantics/semantics/bool.k:31-34,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|priority,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,08bd3af9d84256bc9fae3edf7bd3e526de3e30093a2dd8493c7e5753fbac12ea
reference-semantics/semantics/bool.k:35-38,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|priority,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,90ade243f35f7850587ea33d7df3e8fa2b369debf292fd42ef2a6dd2ba51d45c
reference-semantics/semantics/bool.k:39-42,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|priority,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,f032128a3dd6c1d1f5cb9217e580c096ce7598e0cd8dccb583813dec97826e9f
reference-semantics/semantics/bool.k:43-46,reference-semantics/semantics/bool.k,MPY-BOOL,rule,rule|priority,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,6eb9e989936bb67bd56fdfd75edce0ccc63c826ba4ea710347e01214ee978e6d
reference-semantics/semantics/builtins.k:4-4,reference-semantics/semantics/builtins.k,MPY-BUILTINS,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8
reference-semantics/semantics/builtins.k:5-5,reference-semantics/semantics/builtins.k,MPY-BUILTINS,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,399a4d0d6ab2e6cd1aa14cd5380417f3442b6af5978a87e2023e99b802b83dbf
reference-semantics/semantics/builtins.k:6-6,reference-semantics/semantics/builtins.k,MPY-BUILTINS,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,1b540d123f80233fd45599e653e196296b5f6084881819b27cafc7a44bcdf220
reference-semantics/semantics/builtins.k:7-7,reference-semantics/semantics/builtins.k,MPY-BUILTINS,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,36245a6e2a01a1599117c25f3221a01e1fc71670ec4374de9943a3af463cad9f
reference-semantics/semantics/builtins.k:8-8,reference-semantics/semantics/builtins.k,MPY-BUILTINS,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,8e482540addd3d556ce7f3467b427237ceb94f58164f59291963614783547e73
reference-semantics/semantics/builtins.k:9-9,reference-semantics/semantics/builtins.k,MPY-BUILTINS,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,dccbd2000f94bfe221b942bfba5850bbe80e88c3d8b75740ba27c715ff798c65
reference-semantics/semantics/builtins.k:10-16,reference-semantics/semantics/builtins.k,MPY-BUILTINS,imports,imports,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,d162ed61f9859f9aac7c95acf97504fc9841e71e364c13894f8b6f9b5301895c
reference-semantics/semantics/builtins.k:17-19,reference-semantics/semantics/builtins.k,MPY-BUILTINS,syntax,syntax|function,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,612167c460720b3360445a5d89fd2c15442fdb67160d2630ee578c08c6a07423
reference-semantics/semantics/builtins.k:20-20,reference-semantics/semantics/builtins.k,MPY-BUILTINS,syntax,syntax|function,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,1b82b6f2643fb55127f03658644a8a23881e02af83a59507666ea76f532b1763
reference-semantics/semantics/builtins.k:21-21,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,435ff27019656108a22a48bb4a6b379a06ff353b380293a4aa1535ea2e23edf0
reference-semantics/semantics/builtins.k:22-22,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,98e430fdd950a2759f8ad33448df439d879d4154e2e33b7188616ebcf383a77e
reference-semantics/semantics/builtins.k:23-23,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,2a8eb099e13e3f2029c0df3fe4e68c51811a9d5c19fc87025e46f90164958630
reference-semantics/semantics/builtins.k:24-24,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,db386182d466eebb95f6cf9407399b7178abb276be49eb292a7722c844d8a511
reference-semantics/semantics/builtins.k:25-25,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,c597ed65e8ff595399d1919312a3dd5ae28e92d3e5eae4d0c734266c1491da71
reference-semantics/semantics/builtins.k:26-31,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,8b6eaafc491afb8b2c71c13d3957a5dbf68ee45e1b70dc362f4362b512e9db2f
reference-semantics/semantics/builtins.k:32-32,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,9aad60322b1d223c816a082c6dd7aaa0031520ffa7c887ceff7d189b2bf4290e
reference-semantics/semantics/builtins.k:33-33,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,ac7736d6cb72610b0ce4260422ee667eb14af7a7f1272fdb0b409a0c7f8bf35c
reference-semantics/semantics/builtins.k:34-34,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,d60c4b0f5ed3ffef310dd1be9f0aa427a18e2e73fff79f95896f151a76f1095b
reference-semantics/semantics/builtins.k:35-35,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,a689979f9d6af9d0a10eec7acb5fe710478a29f5ef28faf0c4facac8d915e45c
reference-semantics/semantics/builtins.k:36-36,reference-semantics/semantics/builtins.k,MPY-BUILTINS,syntax,syntax|function|total,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,d5cf987a32554927c5a38c7b9aa5929b1b5a4a7661b965507187c2e6671e3b58
reference-semantics/semantics/builtins.k:37-37,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,5ba1845bc20c80babc7b2a7e3c03b9637c4924988151dc548f317e856f0e7f64
reference-semantics/semantics/builtins.k:38-40,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,0b124f922064d5e67d957b6302e52d0a42b0583c5b3aa4251109178ab5e121fb
reference-semantics/semantics/builtins.k:41-43,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,fa9dd2a0ca32b899adf24c35c153dbe9193ef9fc22bce64c2d206cea0a4bdd19
reference-semantics/semantics/builtins.k:44-46,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,ce6be82fff23f6cb290c1b14d557f29783f9367d619fbb6f7e4707939b358473
reference-semantics/semantics/builtins.k:47-47,reference-semantics/semantics/builtins.k,MPY-BUILTINS,syntax,syntax,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,cc05186fc333804cdf1b3c79d5e9dd79478e1a3dfb999fa9f99882c3be983a52
reference-semantics/semantics/builtins.k:48-48,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,c532bf1824ac3f703699dc7b6b22652cce69d7f9d8fab651a2730f2cd295dc3c
reference-semantics/semantics/builtins.k:49-49,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,a34da6d6f5479cb2d96d424234c517a578d26626ce75518e51d191dfa8ed0b3e
reference-semantics/semantics/builtins.k:50-53,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,5b0273dd28c246b7e69966c8bfa8857483afa05b399c914ab4127e7c7d3509cd
reference-semantics/semantics/builtins.k:54-54,reference-semantics/semantics/builtins.k,MPY-BUILTINS,syntax,syntax|function,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,3330d50b7dee4bc9d3e3550216ad9c94050d26c6e6a96796e7460b78ab7b11a8
reference-semantics/semantics/builtins.k:55-55,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,a813c0687189fc8f83d56a683cf96e5b440246e14f12be11878486a801f06b5a
reference-semantics/semantics/builtins.k:56-58,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,aab801e1e8ac067538cb3f7301c934b470fdd2918744e96df27a2894c1345164
reference-semantics/semantics/builtins.k:59-59,reference-semantics/semantics/builtins.k,MPY-BUILTINS,syntax,syntax,DECLARATION_OR_COMPOSITION_UNUSED,Well-formed declaration; unused alternatives do not rewrite task states.,e5197df0d2d2e1c53be819507dc0b81a4e88779f25f3d0396f8a4539d60b098e
reference-semantics/semantics/builtins.k:60-60,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,969f76a6cdd97b2f1042729dd57438a4b5f5699455bdd1da13b55d4c73e24c18
reference-semantics/semantics/builtins.k:61-61,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,b87198ea120558bdd7e643d782de2ef5ccb496fd82875602225f5d6122a0d674
reference-semantics/semantics/builtins.k:62-63,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,255220dc3925ca6e2cc1adab7b9e0bab26919dbf0e19c1b41ea519918e61835d
reference-semantics/semantics/builtins.k:64-66,reference-semantics/semantics/builtins.k,MPY-BUILTINS,rule,rule|ordinary,UNUSED_DISJOINT_RULE,Its head/operator/value shape is absent from solution.mpy execution; no false conclusion witness exists on the task domain.,4ed3b01aeaa1a6a50b7e57525797fe6880a4eee511c4b6bc4d2e3e32cb2efce6
