id,file,start_line,end_line,kind,attributes,decision,rationale
24,reference-semantics/semantics/builtins.k,25,25,rule,,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
25,reference-semantics/semantics/builtins.k,26,26,rule,,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
26,reference-semantics/semantics/builtins.k,32,32,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
27,reference-semantics/semantics/builtins.k,33,33,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
28,reference-semantics/semantics/builtins.k,34,34,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
29,reference-semantics/semantics/builtins.k,35,35,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
30,reference-semantics/semantics/builtins.k,36,36,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
31,reference-semantics/semantics/builtins.k,37,37,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
32,reference-semantics/semantics/builtins.k,38,38,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
33,reference-semantics/semantics/builtins.k,41,41,rule,,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for set(str) builtin; inspected for this path
34,reference-semantics/semantics/builtins.k,44,44,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
35,reference-semantics/semantics/builtins.k,47,47,syntax,,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
36,reference-semantics/semantics/builtins.k,48,48,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
37,reference-semantics/semantics/builtins.k,49,49,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
38,reference-semantics/semantics/builtins.k,50,52,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
39,reference-semantics/semantics/builtins.k,54,54,syntax,function,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
40,reference-semantics/semantics/builtins.k,55,55,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
41,reference-semantics/semantics/builtins.k,56,56,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
42,reference-semantics/semantics/builtins.k,59,59,syntax,,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
43,reference-semantics/semantics/builtins.k,60,60,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
44,reference-semantics/semantics/builtins.k,61,61,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
45,reference-semantics/semantics/builtins.k,62,63,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
46,reference-semantics/semantics/builtins.k,64,65,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
47,reference-semantics/semantics/builtins.k,67,67,syntax,,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
48,reference-semantics/semantics/builtins.k,68,68,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
49,reference-semantics/semantics/builtins.k,69,69,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
50,reference-semantics/semantics/builtins.k,70,71,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
51,reference-semantics/semantics/builtins.k,72,73,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
52,reference-semantics/semantics/builtins.k,76,76,syntax,,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
53,reference-semantics/semantics/builtins.k,77,77,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
54,reference-semantics/semantics/builtins.k,78,79,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
55,reference-semantics/semantics/builtins.k,80,80,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
56,reference-semantics/semantics/builtins.k,81,81,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
57,reference-semantics/semantics/builtins.k,82,84,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
58,reference-semantics/semantics/builtins.k,86,86,syntax,,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
59,reference-semantics/semantics/builtins.k,87,87,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
60,reference-semantics/semantics/builtins.k,88,89,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
61,reference-semantics/semantics/builtins.k,90,90,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
62,reference-semantics/semantics/builtins.k,91,91,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
63,reference-semantics/semantics/builtins.k,92,94,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
64,reference-semantics/semantics/builtins.k,97,97,syntax,function,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
65,reference-semantics/semantics/builtins.k,98,98,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
66,reference-semantics/semantics/builtins.k,99,99,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
67,reference-semantics/semantics/builtins.k,100,100,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
68,reference-semantics/semantics/builtins.k,102,102,syntax,function,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
69,reference-semantics/semantics/builtins.k,103,103,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
70,reference-semantics/semantics/builtins.k,104,104,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
71,reference-semantics/semantics/builtins.k,105,105,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
72,reference-semantics/semantics/builtins.k,108,109,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
73,reference-semantics/semantics/builtins.k,111,113,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
74,reference-semantics/semantics/builtins.k,114,114,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
75,reference-semantics/semantics/builtins.k,115,115,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
76,reference-semantics/semantics/builtins.k,116,116,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
77,reference-semantics/semantics/builtins.k,117,117,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
78,reference-semantics/semantics/builtins.k,118,118,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
79,reference-semantics/semantics/builtins.k,119,121,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
80,reference-semantics/semantics/builtins.k,124,125,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
81,reference-semantics/semantics/builtins.k,126,126,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
82,reference-semantics/semantics/builtins.k,127,127,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
83,reference-semantics/semantics/builtins.k,128,129,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
84,reference-semantics/semantics/builtins.k,132,133,rule,,EVIDENCE_GAP_UNUSED,compiler reports incomplete total coverage around mapStrVS; the submitted program cannot reach this operation
85,reference-semantics/semantics/builtins.k,134,134,syntax,"function,total",EVIDENCE_GAP_UNUSED,compiler reports incomplete total coverage around mapStrVS; the submitted program cannot reach this operation
86,reference-semantics/semantics/builtins.k,135,135,rule,,EVIDENCE_GAP_UNUSED,compiler reports incomplete total coverage around mapStrVS; the submitted program cannot reach this operation
87,reference-semantics/semantics/builtins.k,136,136,rule,,EVIDENCE_GAP_UNUSED,compiler reports incomplete total coverage around mapStrVS; the submitted program cannot reach this operation
88,reference-semantics/semantics/builtins.k,137,137,rule,,EVIDENCE_GAP_UNUSED,compiler reports incomplete total coverage around mapStrVS; the submitted program cannot reach this operation
89,reference-semantics/semantics/builtins.k,140,140,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
90,reference-semantics/semantics/builtins.k,143,143,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
91,reference-semantics/semantics/builtins.k,144,145,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
92,reference-semantics/semantics/builtins.k,148,148,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
93,reference-semantics/semantics/builtins.k,149,149,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
94,reference-semantics/semantics/builtins.k,152,153,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
95,reference-semantics/semantics/builtins.k,156,157,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
96,reference-semantics/semantics/builtins.k,158,158,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
97,reference-semantics/semantics/builtins.k,159,159,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
98,reference-semantics/semantics/builtins.k,160,160,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
99,reference-semantics/semantics/builtins.k,163,163,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
100,reference-semantics/semantics/builtins.k,164,164,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
101,reference-semantics/semantics/builtins.k,167,168,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
102,reference-semantics/semantics/builtins.k,169,169,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
103,reference-semantics/semantics/builtins.k,170,170,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
104,reference-semantics/semantics/builtins.k,171,172,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
105,reference-semantics/semantics/builtins.k,173,173,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
106,reference-semantics/semantics/builtins.k,174,174,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
107,reference-semantics/semantics/builtins.k,177,177,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
108,reference-semantics/semantics/builtins.k,178,178,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
109,reference-semantics/semantics/builtins.k,179,180,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
110,reference-semantics/semantics/builtins.k,187,187,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
111,reference-semantics/semantics/builtins.k,188,188,syntax,function,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
112,reference-semantics/semantics/builtins.k,189,190,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
113,reference-semantics/semantics/builtins.k,192,192,syntax,,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
114,reference-semantics/semantics/builtins.k,194,194,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
115,reference-semantics/semantics/builtins.k,195,195,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
116,reference-semantics/semantics/builtins.k,196,196,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
117,reference-semantics/semantics/builtins.k,197,197,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
118,reference-semantics/semantics/builtins.k,198,198,rule,owise,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
119,reference-semantics/semantics/builtins.k,199,199,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
120,reference-semantics/semantics/builtins.k,200,200,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
121,reference-semantics/semantics/builtins.k,201,201,rule,owise,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
122,reference-semantics/semantics/builtins.k,203,203,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
123,reference-semantics/semantics/builtins.k,204,204,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
124,reference-semantics/semantics/builtins.k,205,205,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
125,reference-semantics/semantics/builtins.k,206,206,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
126,reference-semantics/semantics/builtins.k,207,207,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
127,reference-semantics/semantics/builtins.k,208,208,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
128,reference-semantics/semantics/builtins.k,209,209,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
129,reference-semantics/semantics/builtins.k,210,210,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
130,reference-semantics/semantics/builtins.k,211,211,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
131,reference-semantics/semantics/builtins.k,212,212,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
132,reference-semantics/semantics/builtins.k,214,215,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
133,reference-semantics/semantics/builtins.k,216,216,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
134,reference-semantics/semantics/builtins.k,217,217,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
135,reference-semantics/semantics/builtins.k,218,218,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
136,reference-semantics/semantics/builtins.k,219,220,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
137,reference-semantics/semantics/builtins.k,221,222,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
138,reference-semantics/semantics/builtins.k,223,223,rule,owise,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
139,reference-semantics/semantics/builtins.k,225,225,syntax,,ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
140,reference-semantics/semantics/builtins.k,226,226,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
141,reference-semantics/semantics/builtins.k,227,227,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
142,reference-semantics/semantics/builtins.k,228,228,rule,owise,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
143,reference-semantics/semantics/builtins.k,230,230,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
144,reference-semantics/semantics/builtins.k,231,231,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
145,reference-semantics/semantics/builtins.k,232,232,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
146,reference-semantics/semantics/builtins.k,233,233,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
147,reference-semantics/semantics/builtins.k,234,234,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
148,reference-semantics/semantics/builtins.k,235,235,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
149,reference-semantics/semantics/builtins.k,236,236,rule,owise,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
150,reference-semantics/semantics/builtins.k,238,238,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
151,reference-semantics/semantics/builtins.k,239,239,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
152,reference-semantics/semantics/builtins.k,240,240,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
153,reference-semantics/semantics/builtins.k,241,242,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
154,reference-semantics/semantics/builtins.k,243,243,rule,owise,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
155,reference-semantics/semantics/builtins.k,244,244,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
156,reference-semantics/semantics/builtins.k,245,245,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
157,reference-semantics/semantics/builtins.k,246,246,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
158,reference-semantics/semantics/builtins.k,247,247,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
159,reference-semantics/semantics/builtins.k,248,248,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
160,reference-semantics/semantics/builtins.k,250,250,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
161,reference-semantics/semantics/builtins.k,251,251,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
162,reference-semantics/semantics/builtins.k,252,252,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
163,reference-semantics/semantics/builtins.k,253,253,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
164,reference-semantics/semantics/builtins.k,254,254,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
165,reference-semantics/semantics/builtins.k,255,255,syntax,"function,total",ACCEPT_FIXED_DECLARATION,unchanged supplied-semantics syntax; not a proof-local correctness assumption
166,reference-semantics/semantics/builtins.k,256,256,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
167,reference-semantics/semantics/builtins.k,257,259,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
168,reference-semantics/semantics/builtins.k,260,262,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
169,reference-semantics/semantics/builtins.k,263,264,rule,owise,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
