Script started on 2026-07-26 16:04:12-05:00 [<not executed on terminal>]
+ python3 /audit-output/evidence/rule_inventory.py
# Exhaustive K declaration and rule inventory

Sources: trusted supplied semantics tree, candidate verification.k, candidate spec.k.
files=26 records=931
kind_counts=claim:1,configuration:1,context:5,rule:696,syntax:228

| ID | source | kind | attributes | proof-slice assessment | declaration/rule |
| 15 | `semantics/bool.k:35` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H &#124;-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]` |
| 16 | `semantics/bool.k:39` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H &#124;-> V:Val ... </heap> requires truthy(V) [priority(40)]` |
| 17 | `semantics/bool.k:43` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H &#124;-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]` |
| 18 | `semantics/builtins.k:17` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Val ::= applyBuiltin(String, Vals) [function]` |
| 19 | `semantics/builtins.k:20` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Int ::= seqLen(Val) [function]` |
| 20 | `semantics/builtins.k:21` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)` |
| 21 | `semantics/builtins.k:22` | rule | - | UNUSED/INERT for submitted proof term | `rule seqLen(list(VS:ValSeq)) => vsLen(VS)` |
| 22 | `semantics/builtins.k:23` | rule | - | UNUSED/INERT for submitted proof term | `rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)` |
| 23 | `semantics/builtins.k:24` | rule | - | UNUSED/INERT for submitted proof term | `rule seqLen(str(IS:IntSeq)) => isLen(IS)` |
| 24 | `semantics/builtins.k:25` | rule | - | UNUSED/INERT for submitted proof term | `rule seqLen(setV(DS:IntSeq)) => isLen(DS)` |
| 25 | `semantics/builtins.k:26` | rule | - | UNUSED/INERT for submitted proof term | `rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)` |
| 26 | `semantics/builtins.k:32` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>` |
| 27 | `semantics/builtins.k:33` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>` |
| 28 | `semantics/builtins.k:34` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>` |
| 29 | `semantics/builtins.k:35` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>` |
| 30 | `semantics/builtins.k:36` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= charsOf(IntSeq) [function, total]` |
| 31 | `semantics/builtins.k:37` | rule | - | UNUSED/INERT for submitted proof term | `rule charsOf(.IntSeq) => .ValSeq` |
| 32 | `semantics/builtins.k:38` | rule | - | UNUSED/INERT for submitted proof term | `rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))` |
| 33 | `semantics/builtins.k:41` | rule | - | USED-SOUND fixed semantics | `rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))` |
| 34 | `semantics/builtins.k:44` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)` |
| 35 | `semantics/builtins.k:47` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #sumAcc(Iterable, Int) &#124; #sumCont(Int)` |
| 36 | `semantics/builtins.k:48` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>` |
| 37 | `semantics/builtins.k:49` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>` |
| 38 | `semantics/builtins.k:50` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)` |
| 39 | `semantics/builtins.k:54` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Int ::= intOf(Val) [function]` |
| 40 | `semantics/builtins.k:55` | rule | - | UNUSED/INERT for submitted proof term | `rule intOf(I:Int) => I` |
| 41 | `semantics/builtins.k:56` | rule | - | UNUSED/INERT for submitted proof term | `rule intOf(B:Bool) => #if B #then 1 #else 0 #fi` |
| 42 | `semantics/builtins.k:59` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #allAcc(Iterable) &#124; "#allCont"` |
| 43 | `semantics/builtins.k:60` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>` |
| 44 | `semantics/builtins.k:61` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterDone ~> #allCont => true ... </k>` |
| 45 | `semantics/builtins.k:62` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)` |
| 46 | `semantics/builtins.k:64` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)` |
| 47 | `semantics/builtins.k:67` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #anyAcc(Iterable) &#124; "#anyCont"` |
| 48 | `semantics/builtins.k:68` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>` |
| 49 | `semantics/builtins.k:69` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterDone ~> #anyCont => false ... </k>` |
| 50 | `semantics/builtins.k:70` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)` |
| 51 | `semantics/builtins.k:72` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)` |
| 52 | `semantics/builtins.k:76` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #maxAcc0(Iterable) &#124; "#maxCont0" &#124; #maxAcc(Iterable, Int) &#124; #maxCont(Int)` |
| 53 | `semantics/builtins.k:77` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>` |
| 54 | `semantics/builtins.k:78` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)` |
| 55 | `semantics/builtins.k:80` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>` |
| 56 | `semantics/builtins.k:81` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>` |
| 57 | `semantics/builtins.k:82` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)` |
| 58 | `semantics/builtins.k:86` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #minAcc0(Iterable) &#124; "#minCont0" &#124; #minAcc(Iterable, Int) &#124; #minCont(Int)` |
| 59 | `semantics/builtins.k:87` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>` |
| 60 | `semantics/builtins.k:88` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)` |
| 61 | `semantics/builtins.k:90` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>` |
| 62 | `semantics/builtins.k:91` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>` |
| 63 | `semantics/builtins.k:92` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)` |
| 64 | `semantics/builtins.k:97` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Int ::= maxVals(Int, Vals) [function]` |
| 65 | `semantics/builtins.k:98` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)` |
| 66 | `semantics/builtins.k:99` | rule | - | UNUSED/INERT for submitted proof term | `rule maxVals(M:Int, .Vals) => M` |
| 67 | `semantics/builtins.k:100` | rule | - | UNUSED/INERT for submitted proof term | `rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)` |
| 68 | `semantics/builtins.k:102` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Int ::= minVals(Int, Vals) [function]` |
| 69 | `semantics/builtins.k:103` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)` |
| 70 | `semantics/builtins.k:104` | rule | - | UNUSED/INERT for submitted proof term | `rule minVals(M:Int, .Vals) => M` |
| 71 | `semantics/builtins.k:105` | rule | - | UNUSED/INERT for submitted proof term | `rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)` |
| 72 | `semantics/builtins.k:108` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0` |
| 73 | `semantics/builtins.k:111` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0` |
| 74 | `semantics/builtins.k:114` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax IntSeq ::= binCodes(Int) [function, total]` |
| 75 | `semantics/builtins.k:115` | rule | - | UNUSED/INERT for submitted proof term | `rule binCodes(0) => iCons(48, .IntSeq)` |
| 76 | `semantics/builtins.k:116` | rule | - | UNUSED/INERT for submitted proof term | `rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0` |
| 77 | `semantics/builtins.k:117` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]` |
| 78 | `semantics/builtins.k:118` | rule | - | UNUSED/INERT for submitted proof term | `rule binAcc(0, ACC:IntSeq) => ACC` |
| 79 | `semantics/builtins.k:119` | rule | - | UNUSED/INERT for submitted proof term | `rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0` |
| 80 | `semantics/builtins.k:124` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>` |
| 81 | `semantics/builtins.k:126` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]` |
| 82 | `semantics/builtins.k:127` | rule | - | UNUSED/INERT for submitted proof term | `rule enumVS(.ValSeq, _:Int) => .ValSeq` |
| 83 | `semantics/builtins.k:128` | rule | - | UNUSED/INERT for submitted proof term | `rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))` |
| 84 | `semantics/builtins.k:132` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>` |
| 85 | `semantics/builtins.k:134` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= mapStrVS(ValSeq) [function, total]` |
| 86 | `semantics/builtins.k:135` | rule | - | UNUSED/INERT for submitted proof term | `rule mapStrVS(.ValSeq) => .ValSeq` |
| 87 | `semantics/builtins.k:136` | rule | - | UNUSED/INERT for submitted proof term | `rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))` |
| 88 | `semantics/builtins.k:137` | rule | - | UNUSED/INERT for submitted proof term | `rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))` |
| 89 | `semantics/builtins.k:140` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("int", I:Int, .Vals) => I` |
| 90 | `semantics/builtins.k:143` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C` |
| 91 | `semantics/builtins.k:144` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128` |
| 92 | `semantics/builtins.k:148` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))` |
| 93 | `semantics/builtins.k:149` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)` |
| 94 | `semantics/builtins.k:152` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57` |
| 95 | `semantics/builtins.k:156` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2` |
| 96 | `semantics/builtins.k:158` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Int ::= intDigAcc(IntSeq, Int) [function, total]` |
| 97 | `semantics/builtins.k:159` | rule | - | UNUSED/INERT for submitted proof term | `rule intDigAcc(.IntSeq, ACC:Int) => ACC` |
| 98 | `semantics/builtins.k:160` | rule | - | UNUSED/INERT for submitted proof term | `rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))` |
| 99 | `semantics/builtins.k:163` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)` |
| 100 | `semantics/builtins.k:164` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)` |
| 101 | `semantics/builtins.k:167` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>` |
| 102 | `semantics/builtins.k:169` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>` |
| 103 | `semantics/builtins.k:170` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>` |
| 104 | `semantics/builtins.k:171` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>` |
| 105 | `semantics/builtins.k:173` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>` |
| 106 | `semantics/builtins.k:174` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>` |
| 107 | `semantics/builtins.k:177` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)` |
| 108 | `semantics/builtins.k:178` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)` |
| 109 | `semantics/builtins.k:179` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0` |
| 110 | `semantics/builtins.k:187` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)` |
| 111 | `semantics/builtins.k:188` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Int ::= evalArith(IntSeq) [function]` |
| 112 | `semantics/builtins.k:189` | rule | - | UNUSED/INERT for submitted proof term | `rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))` |
| 113 | `semantics/builtins.k:192` | syntax | - | UNUSED/INERT for submitted proof term | `syntax OpSeq ::= ".OpSeq" &#124; oCons(String, OpSeq)` |
| 114 | `semantics/builtins.k:194` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= evDigit(Int) [function, total]` |
| 115 | `semantics/builtins.k:195` | rule | - | UNUSED/INERT for submitted proof term | `rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57` |
| 116 | `semantics/builtins.k:196` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= evHead42(IntSeq) [function, total]` |
| 117 | `semantics/builtins.k:197` | rule | - | UNUSED/INERT for submitted proof term | `rule evHead42(iCons(42, _:IntSeq)) => true` |
| 118 | `semantics/builtins.k:198` | rule | owise | UNUSED/INERT for submitted proof term | `rule evHead42(_:IntSeq) => false [owise]` |
| 119 | `semantics/builtins.k:199` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= evHead47(IntSeq) [function, total]` |
| 120 | `semantics/builtins.k:200` | rule | - | UNUSED/INERT for submitted proof term | `rule evHead47(iCons(47, _:IntSeq)) => true` |
| 121 | `semantics/builtins.k:201` | rule | owise | UNUSED/INERT for submitted proof term | `rule evHead47(_:IntSeq) => false [owise]` |
| 122 | `semantics/builtins.k:203` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax OpSeq ::= tokOps(IntSeq) [function, total]` |
| 123 | `semantics/builtins.k:204` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(.IntSeq) => .OpSeq` |
| 124 | `semantics/builtins.k:205` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)` |
| 125 | `semantics/builtins.k:206` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)` |
| 126 | `semantics/builtins.k:207` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))` |
| 127 | `semantics/builtins.k:208` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)` |
| 128 | `semantics/builtins.k:209` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))` |
| 129 | `semantics/builtins.k:210` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)` |
| 130 | `semantics/builtins.k:211` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))` |
| 131 | `semantics/builtins.k:212` | rule | - | UNUSED/INERT for submitted proof term | `rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))` |
| 132 | `semantics/builtins.k:214` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax IntSeq ::= tokNds(IntSeq) [function, total] &#124; tokNdAcc(Int, IntSeq) [function, total]` |
| 133 | `semantics/builtins.k:216` | rule | - | UNUSED/INERT for submitted proof term | `rule tokNds(.IntSeq) => .IntSeq` |
| 134 | `semantics/builtins.k:217` | rule | - | UNUSED/INERT for submitted proof term | `rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)` |
| 135 | `semantics/builtins.k:218` | rule | - | UNUSED/INERT for submitted proof term | `rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)` |
| 136 | `semantics/builtins.k:219` | rule | - | UNUSED/INERT for submitted proof term | `rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32` |
| 137 | `semantics/builtins.k:221` | rule | - | UNUSED/INERT for submitted proof term | `rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)` |
| 138 | `semantics/builtins.k:223` | rule | owise | UNUSED/INERT for submitted proof term | `rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]` |
| 139 | `semantics/builtins.k:225` | syntax | - | UNUSED/INERT for submitted proof term | `syntax EvPair ::= evp(OpSeq, IntSeq)` |
| 140 | `semantics/builtins.k:226` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Int ::= firstNdE(EvPair) [function, total]` |
| 141 | `semantics/builtins.k:227` | rule | - | UNUSED/INERT for submitted proof term | `rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N` |
| 142 | `semantics/builtins.k:228` | rule | owise | UNUSED/INERT for submitted proof term | `rule firstNdE(_:EvPair) => 0 [owise]` |
| 143 | `semantics/builtins.k:230` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Int ::= applyOpE(String, Int, Int) [function, total]` |
| 144 | `semantics/builtins.k:231` | rule | - | UNUSED/INERT for submitted proof term | `rule applyOpE("+", A:Int, B:Int) => A +Int B` |
| 145 | `semantics/builtins.k:232` | rule | - | UNUSED/INERT for submitted proof term | `rule applyOpE("-", A:Int, B:Int) => A -Int B` |
| 146 | `semantics/builtins.k:233` | rule | - | UNUSED/INERT for submitted proof term | `rule applyOpE("*", A:Int, B:Int) => A *Int B` |
| 147 | `semantics/builtins.k:234` | rule | - | UNUSED/INERT for submitted proof term | `rule applyOpE("//", A:Int, B:Int) => A divInt B` |
| 148 | `semantics/builtins.k:235` | rule | - | UNUSED/INERT for submitted proof term | `rule applyOpE("**", A:Int, B:Int) => A ^Int B` |
| 149 | `semantics/builtins.k:236` | rule | owise | UNUSED/INERT for submitted proof term | `rule applyOpE(_:String, A:Int, _:Int) => A [owise]` |
| 150 | `semantics/builtins.k:238` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]` |
| 151 | `semantics/builtins.k:239` | rule | - | UNUSED/INERT for submitted proof term | `rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)` |
| 152 | `semantics/builtins.k:240` | rule | - | UNUSED/INERT for submitted proof term | `rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))` |
| 153 | `semantics/builtins.k:241` | rule | - | UNUSED/INERT for submitted proof term | `rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS)) requires O =/=String "**"` |
| 154 | `semantics/builtins.k:243` | rule | owise | UNUSED/INERT for submitted proof term | `rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]` |
