file	lines	module	kind	attributes	origin	relevance	normalized_sentence
reference-semantics/semantics/builtins.k	32-32	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33-33	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34-34	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35-35	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	36-36	MPY-BUILTINS	syntax	function,total	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	37-37	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	38-40	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	41-43	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
reference-semantics/semantics/builtins.k	44-46	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
reference-semantics/semantics/builtins.k	47-47	MPY-BUILTINS	syntax	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	48-48	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49-49	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50-53	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	54-54	MPY-BUILTINS	syntax	function	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55-55	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	56-58	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	59-59	MPY-BUILTINS	syntax	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	60-60	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61-61	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62-63	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	64-66	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	67-67	MPY-BUILTINS	syntax	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	68-68	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69-69	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70-71	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	72-75	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	76-76	MPY-BUILTINS	syntax	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	77-77	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78-79	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	80-80	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81-81	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82-85	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	86-86	MPY-BUILTINS	syntax	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	87-87	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88-89	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	90-90	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91-91	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92-96	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	97-97	MPY-BUILTINS	syntax	function	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	98-98	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99-99	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule maxVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	100-101	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	102-102	MPY-BUILTINS	syntax	function	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	103-103	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104-104	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule minVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	105-107	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	108-110	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
reference-semantics/semantics/builtins.k	111-113	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
reference-semantics/semantics/builtins.k	114-114	MPY-BUILTINS	syntax	function,total	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	115-115	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116-116	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	117-117	MPY-BUILTINS	syntax	function,total	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	118-118	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119-123	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
reference-semantics/semantics/builtins.k	124-125	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	126-126	MPY-BUILTINS	syntax	function,total	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	127-127	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128-131	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
reference-semantics/semantics/builtins.k	132-133	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	134-134	MPY-BUILTINS	syntax	function,total	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	135-135	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136-136	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137-139	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
reference-semantics/semantics/builtins.k	140-142	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("int", I:Int, .Vals) => I
reference-semantics/semantics/builtins.k	143-143	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	144-147	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
reference-semantics/semantics/builtins.k	148-148	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	149-151	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
reference-semantics/semantics/builtins.k	152-155	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
reference-semantics/semantics/builtins.k	156-157	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
reference-semantics/semantics/builtins.k	158-158	MPY-BUILTINS	syntax	function,total	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	159-159	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
reference-semantics/semantics/builtins.k	160-162	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
reference-semantics/semantics/builtins.k	163-163	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	164-166	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
reference-semantics/semantics/builtins.k	167-168	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	169-169	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
reference-semantics/semantics/builtins.k	170-170	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
