id	file	line	kind	flags	classification	disposition	statement
59	reference-semantics/semantics/bool.k	8	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyUn("not", V:Val) => notBool truthy(V)
60	reference-semantics/semantics/bool.k	10	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
61	reference-semantics/semantics/bool.k	11	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
62	reference-semantics/semantics/bool.k	16	context		supplied evaluation context	SELECTED_SEMANTICS_BOUNDARY	context BoolOp(_, (HOLE:Expr, _:Exprs))
63	reference-semantics/semantics/bool.k	17	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
64	reference-semantics/semantics/bool.k	18	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
65	reference-semantics/semantics/bool.k	20	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
66	reference-semantics/semantics/bool.k	22	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
67	reference-semantics/semantics/bool.k	24	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
68	reference-semantics/semantics/bool.k	29	rule	priority	supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
69	reference-semantics/semantics/bool.k	31	rule	priority	supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
70	reference-semantics/semantics/bool.k	35	rule	priority	supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
71	reference-semantics/semantics/bool.k	39	rule	priority	supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
72	reference-semantics/semantics/bool.k	43	rule	priority	supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
73	reference-semantics/semantics/bool.k	47	endmodule		module/import plumbing	STRUCTURAL	endmodule
74	reference-semantics/semantics/builtins.k	3	module		module/import plumbing	STRUCTURAL	module MPY-BUILTINS
75	reference-semantics/semantics/builtins.k	4	imports		module/import plumbing	STRUCTURAL	imports MPY-CORE
76	reference-semantics/semantics/builtins.k	5	imports		module/import plumbing	STRUCTURAL	imports MPY-STR
77	reference-semantics/semantics/builtins.k	6	imports		module/import plumbing	STRUCTURAL	imports MPY-SET
78	reference-semantics/semantics/builtins.k	7	imports		module/import plumbing	STRUCTURAL	imports MPY-ITER
79	reference-semantics/semantics/builtins.k	8	imports		module/import plumbing	STRUCTURAL	imports MPY-RANGE
80	reference-semantics/semantics/builtins.k	9	imports		module/import plumbing	STRUCTURAL	imports MPY-INT
81	reference-semantics/semantics/builtins.k	10	imports		module/import plumbing	STRUCTURAL	imports MPY-METHODS
82	reference-semantics/semantics/builtins.k	17	syntax	function	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax Val ::= applyBuiltin(String, Vals) [function]
83	reference-semantics/semantics/builtins.k	20	syntax	function	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax Int ::= seqLen(Val) [function]
84	reference-semantics/semantics/builtins.k	21	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
85	reference-semantics/semantics/builtins.k	22	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
86	reference-semantics/semantics/builtins.k	23	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
87	reference-semantics/semantics/builtins.k	24	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
88	reference-semantics/semantics/builtins.k	25	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
89	reference-semantics/semantics/builtins.k	26	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
90	reference-semantics/semantics/builtins.k	32	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
91	reference-semantics/semantics/builtins.k	33	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
92	reference-semantics/semantics/builtins.k	34	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
93	reference-semantics/semantics/builtins.k	35	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
94	reference-semantics/semantics/builtins.k	36	syntax	function,total	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax ValSeq ::= charsOf(IntSeq) [function, total]
95	reference-semantics/semantics/builtins.k	37	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule charsOf(.IntSeq)                => .ValSeq
96	reference-semantics/semantics/builtins.k	38	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
97	reference-semantics/semantics/builtins.k	41	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
98	reference-semantics/semantics/builtins.k	44	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
99	reference-semantics/semantics/builtins.k	47	syntax		supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
100	reference-semantics/semantics/builtins.k	48	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
101	reference-semantics/semantics/builtins.k	49	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
102	reference-semantics/semantics/builtins.k	50	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
103	reference-semantics/semantics/builtins.k	54	syntax	function	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax Int ::= intOf(Val) [function]
104	reference-semantics/semantics/builtins.k	55	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule intOf(I:Int)  => I
105	reference-semantics/semantics/builtins.k	56	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
106	reference-semantics/semantics/builtins.k	59	syntax		supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax KItem ::= #allAcc(Iterable) | "#allCont"
107	reference-semantics/semantics/builtins.k	60	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
108	reference-semantics/semantics/builtins.k	61	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #allCont => true ... </k>
109	reference-semantics/semantics/builtins.k	62	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
110	reference-semantics/semantics/builtins.k	64	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
111	reference-semantics/semantics/builtins.k	67	syntax		supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
112	reference-semantics/semantics/builtins.k	68	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
113	reference-semantics/semantics/builtins.k	69	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #anyCont => false ... </k>
114	reference-semantics/semantics/builtins.k	70	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
115	reference-semantics/semantics/builtins.k	72	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
116	reference-semantics/semantics/builtins.k	76	syntax		supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
117	reference-semantics/semantics/builtins.k	77	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
118	reference-semantics/semantics/builtins.k	78	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
119	reference-semantics/semantics/builtins.k	80	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
120	reference-semantics/semantics/builtins.k	81	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
121	reference-semantics/semantics/builtins.k	82	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
122	reference-semantics/semantics/builtins.k	86	syntax		supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
123	reference-semantics/semantics/builtins.k	87	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
124	reference-semantics/semantics/builtins.k	88	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
125	reference-semantics/semantics/builtins.k	90	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
126	reference-semantics/semantics/builtins.k	91	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
127	reference-semantics/semantics/builtins.k	92	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
128	reference-semantics/semantics/builtins.k	97	syntax	function	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax Int ::= maxVals(Int, Vals) [function]
129	reference-semantics/semantics/builtins.k	98	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
130	reference-semantics/semantics/builtins.k	99	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule maxVals(M:Int, .Vals)           => M
131	reference-semantics/semantics/builtins.k	100	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
132	reference-semantics/semantics/builtins.k	102	syntax	function	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax Int ::= minVals(Int, Vals) [function]
133	reference-semantics/semantics/builtins.k	103	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
134	reference-semantics/semantics/builtins.k	104	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule minVals(M:Int, .Vals)           => M
135	reference-semantics/semantics/builtins.k	105	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
136	reference-semantics/semantics/builtins.k	108	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
137	reference-semantics/semantics/builtins.k	111	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
138	reference-semantics/semantics/builtins.k	114	syntax	function,total	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax IntSeq ::= binCodes(Int) [function, total]
139	reference-semantics/semantics/builtins.k	115	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule binCodes(0) => iCons(48, .IntSeq)
140	reference-semantics/semantics/builtins.k	116	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
141	reference-semantics/semantics/builtins.k	117	syntax	function,total	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
142	reference-semantics/semantics/builtins.k	118	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule binAcc(0, ACC:IntSeq) => ACC
143	reference-semantics/semantics/builtins.k	119	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
144	reference-semantics/semantics/builtins.k	124	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
145	reference-semantics/semantics/builtins.k	126	syntax	function,total	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
146	reference-semantics/semantics/builtins.k	127	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule enumVS(.ValSeq, _:Int) => .ValSeq
147	reference-semantics/semantics/builtins.k	128	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
148	reference-semantics/semantics/builtins.k	132	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
149	reference-semantics/semantics/builtins.k	134	syntax	function,total	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
150	reference-semantics/semantics/builtins.k	135	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule mapStrVS(.ValSeq) => .ValSeq
151	reference-semantics/semantics/builtins.k	136	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
152	reference-semantics/semantics/builtins.k	137	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
153	reference-semantics/semantics/builtins.k	140	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("int", I:Int, .Vals) => I
154	reference-semantics/semantics/builtins.k	143	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
155	reference-semantics/semantics/builtins.k	144	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
156	reference-semantics/semantics/builtins.k	148	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
157	reference-semantics/semantics/builtins.k	149	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
158	reference-semantics/semantics/builtins.k	152	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
159	reference-semantics/semantics/builtins.k	156	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
160	reference-semantics/semantics/builtins.k	158	syntax	function,total	supplied syntax/declaration	SELECTED_SEMANTICS_BOUNDARY	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
161	reference-semantics/semantics/builtins.k	159	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
162	reference-semantics/semantics/builtins.k	160	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
163	reference-semantics/semantics/builtins.k	163	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
164	reference-semantics/semantics/builtins.k	164	rule		supplied equational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
165	reference-semantics/semantics/builtins.k	167	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
166	reference-semantics/semantics/builtins.k	169	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
167	reference-semantics/semantics/builtins.k	170	rule		supplied operational semantic rule	SELECTED_SEMANTICS_BOUNDARY	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
