source	start_line	end_line	kind	attributes	audit_class	declaration
reference-semantics/semantics/builtins.k	48	48	rule	-	SUPPLIED_FIXED_RULE	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	49	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	52	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	54	54	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55	55	rule	-	SUPPLIED_FIXED_RULE	rule intOf(I:Int) => I
reference-semantics/semantics/builtins.k	56	56	rule	-	SUPPLIED_FIXED_RULE	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	59	59	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	60	60	rule	-	SUPPLIED_FIXED_RULE	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	61	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	63	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	64	65	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	67	67	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	68	68	rule	-	SUPPLIED_FIXED_RULE	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	69	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	71	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	72	73	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	76	76	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	77	77	rule	-	SUPPLIED_FIXED_RULE	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	79	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	80	80	rule	-	SUPPLIED_FIXED_RULE	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	81	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	84	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	86	86	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	87	87	rule	-	SUPPLIED_FIXED_RULE	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	89	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	90	90	rule	-	SUPPLIED_FIXED_RULE	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	91	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	94	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	97	97	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	98	98	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99	99	rule	-	SUPPLIED_FIXED_RULE	rule maxVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	100	100	rule	-	SUPPLIED_FIXED_RULE	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	102	102	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	103	103	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104	104	rule	-	SUPPLIED_FIXED_RULE	rule minVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	105	105	rule	-	SUPPLIED_FIXED_RULE	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	108	109	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
reference-semantics/semantics/builtins.k	111	113	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
reference-semantics/semantics/builtins.k	114	114	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	115	115	rule	-	SUPPLIED_FIXED_RULE	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	116	rule	-	SUPPLIED_FIXED_RULE	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	117	117	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	118	118	rule	-	SUPPLIED_FIXED_RULE	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	121	rule	-	SUPPLIED_FIXED_RULE	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
reference-semantics/semantics/builtins.k	124	125	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	126	126	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	127	127	rule	-	SUPPLIED_FIXED_RULE	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128	129	rule	-	SUPPLIED_FIXED_RULE	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
reference-semantics/semantics/builtins.k	132	133	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	134	134	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	135	135	rule	-	SUPPLIED_FIXED_RULE	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136	136	rule	-	SUPPLIED_FIXED_RULE	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137	137	rule	-	SUPPLIED_FIXED_RULE	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
reference-semantics/semantics/builtins.k	140	140	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("int", I:Int, .Vals) => I
reference-semantics/semantics/builtins.k	143	143	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	144	145	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
reference-semantics/semantics/builtins.k	148	148	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	149	149	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
reference-semantics/semantics/builtins.k	152	153	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
reference-semantics/semantics/builtins.k	156	157	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
reference-semantics/semantics/builtins.k	158	158	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	159	159	rule	-	SUPPLIED_FIXED_RULE	rule intDigAcc(.IntSeq, ACC:Int) => ACC
reference-semantics/semantics/builtins.k	160	160	rule	-	SUPPLIED_FIXED_RULE	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
reference-semantics/semantics/builtins.k	163	163	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	164	164	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
reference-semantics/semantics/builtins.k	167	168	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	169	169	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	170	170	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	171	172	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	173	173	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	174	174	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	177	177	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
reference-semantics/semantics/builtins.k	178	178	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
reference-semantics/semantics/builtins.k	179	180	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
reference-semantics/semantics/builtins.k	187	187	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
reference-semantics/semantics/builtins.k	188	188	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Int ::= evalArith(IntSeq) [function]
reference-semantics/semantics/builtins.k	189	190	rule	-	SUPPLIED_FIXED_RULE	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
reference-semantics/semantics/builtins.k	192	192	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
reference-semantics/semantics/builtins.k	194	194	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Bool ::= evDigit(Int) [function, total]
reference-semantics/semantics/builtins.k	195	195	rule	-	SUPPLIED_FIXED_RULE	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
reference-semantics/semantics/builtins.k	196	196	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Bool ::= evHead42(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	197	197	rule	-	SUPPLIED_FIXED_RULE	rule evHead42(iCons(42, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	198	198	rule	owise	SUPPLIED_FIXED_RULE	rule evHead42(_:IntSeq) => false [owise]
reference-semantics/semantics/builtins.k	199	199	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Bool ::= evHead47(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	200	200	rule	-	SUPPLIED_FIXED_RULE	rule evHead47(iCons(47, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	201	201	rule	owise	SUPPLIED_FIXED_RULE	rule evHead47(_:IntSeq) => false [owise]
reference-semantics/semantics/builtins.k	203	203	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax OpSeq ::= tokOps(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	204	204	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(.IntSeq) => .OpSeq
reference-semantics/semantics/builtins.k	205	205	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
reference-semantics/semantics/builtins.k	206	206	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
reference-semantics/semantics/builtins.k	207	207	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
reference-semantics/semantics/builtins.k	208	208	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
reference-semantics/semantics/builtins.k	209	209	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
reference-semantics/semantics/builtins.k	210	210	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)
reference-semantics/semantics/builtins.k	211	211	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))
reference-semantics/semantics/builtins.k	212	212	rule	-	SUPPLIED_FIXED_RULE	rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))
reference-semantics/semantics/builtins.k	214	215	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	216	216	rule	-	SUPPLIED_FIXED_RULE	rule tokNds(.IntSeq) => .IntSeq
reference-semantics/semantics/builtins.k	217	217	rule	-	SUPPLIED_FIXED_RULE	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
reference-semantics/semantics/builtins.k	218	218	rule	-	SUPPLIED_FIXED_RULE	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
reference-semantics/semantics/builtins.k	219	220	rule	-	SUPPLIED_FIXED_RULE	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
reference-semantics/semantics/builtins.k	221	222	rule	-	SUPPLIED_FIXED_RULE	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
reference-semantics/semantics/builtins.k	223	223	rule	owise	SUPPLIED_FIXED_RULE	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
reference-semantics/semantics/builtins.k	225	225	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax EvPair ::= evp(OpSeq, IntSeq)
reference-semantics/semantics/builtins.k	226	226	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Int ::= firstNdE(EvPair) [function, total]
reference-semantics/semantics/builtins.k	227	227	rule	-	SUPPLIED_FIXED_RULE	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
reference-semantics/semantics/builtins.k	228	228	rule	owise	SUPPLIED_FIXED_RULE	rule firstNdE(_:EvPair) => 0 [owise]
reference-semantics/semantics/builtins.k	230	230	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Int ::= applyOpE(String, Int, Int) [function, total]
reference-semantics/semantics/builtins.k	231	231	rule	-	SUPPLIED_FIXED_RULE	rule applyOpE("+", A:Int, B:Int) => A +Int B
reference-semantics/semantics/builtins.k	232	232	rule	-	SUPPLIED_FIXED_RULE	rule applyOpE("-", A:Int, B:Int) => A -Int B
reference-semantics/semantics/builtins.k	233	233	rule	-	SUPPLIED_FIXED_RULE	rule applyOpE("*", A:Int, B:Int) => A *Int B
reference-semantics/semantics/builtins.k	234	234	rule	-	SUPPLIED_FIXED_RULE	rule applyOpE("//", A:Int, B:Int) => A divInt B
reference-semantics/semantics/builtins.k	235	235	rule	-	SUPPLIED_FIXED_RULE	rule applyOpE("**", A:Int, B:Int) => A ^Int B
reference-semantics/semantics/builtins.k	236	236	rule	owise	SUPPLIED_FIXED_RULE	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
reference-semantics/semantics/builtins.k	238	238	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	239	239	rule	-	SUPPLIED_FIXED_RULE	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
reference-semantics/semantics/builtins.k	240	240	rule	-	SUPPLIED_FIXED_RULE	rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
reference-semantics/semantics/builtins.k	241	242	rule	-	SUPPLIED_FIXED_RULE	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS)) requires O =/=String "**"
reference-semantics/semantics/builtins.k	243	243	rule	owise	SUPPLIED_FIXED_RULE	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
reference-semantics/semantics/builtins.k	244	244	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
reference-semantics/semantics/builtins.k	245	245	rule	-	SUPPLIED_FIXED_RULE	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
reference-semantics/semantics/builtins.k	246	246	rule	-	SUPPLIED_FIXED_RULE	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
reference-semantics/semantics/builtins.k	247	247	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
reference-semantics/semantics/builtins.k	248	248	rule	-	SUPPLIED_FIXED_RULE	rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
