COMMAND: python3 /audit-output/evidence/classify_k_inventory.py /tmp/audit-work/candidate/reference-semantics/semantics.k /tmp/audit-work/candidate/reference-semantics/semantics /tmp/audit-work/candidate/verification.k /tmp/audit-work/candidate/spec.k
DECISION_COUNTS
ACCEPT_EXACT_PROGRAM_MACRO	8
ACCEPT_ITERATOR_ABSTRACTION	2
ACCEPT_PROOF_LOCAL_DECLARATION	7
ACCEPT_RESULT_SUMMARY	1
ACCEPT_RESULT_SUMMARY_EQUATION	8
ACCEPT_SUPPLIED_DISJOINT	601
ACCEPT_SUPPLIED_OPAQUE_INERT	25
ACCEPT_SUPPLIED_RELEVANT	281
ACCEPT_SUPPLIED_RUNTIME_ONLY	21
ACCEPT_VALIDATED_OPERATIONAL_LEMMA	1
ACCEPT_WITH_INERT_UNDERDEFINITION	2
TARGET_CLAIM	2
TOTAL_DECIDED	959

ID	SOURCE	KIND	ATTRS	DECISION	RATIONALE	DECLARATION
0011	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:22	rule	operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
0012	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:24	rule	operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
0013	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:29	rule	priority,operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>
0014	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:31	rule	priority,operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
0015	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:35	rule	priority,operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
0016	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:39	rule	priority,operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
0017	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:43	rule	priority,operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
0018	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:17	syntax	function	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax Val ::= applyBuiltin(String, Vals) [function]
0019	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:20	syntax	function	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax Int ::= seqLen(Val) [function]
0020	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:21	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
0021	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:22	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
0022	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:23	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
0023	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:24	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
0024	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:25	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
0025	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:26	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
0026	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:32	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
0027	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:33	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
0028	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:34	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
0029	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:35	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
0030	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:36	syntax	function,total	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax ValSeq ::= charsOf(IntSeq) [function, total]
0031	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:37	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule charsOf(.IntSeq)                => .ValSeq
0032	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:38	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
0033	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:41	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
0034	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:44	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
0035	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:47	syntax	-	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
0036	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:48	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
0037	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:49	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
0038	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:50	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)
0039	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:54	syntax	function	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax Int ::= intOf(Val) [function]
0040	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:55	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule intOf(I:Int)  => I
0041	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:56	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
0042	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:59	syntax	-	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax KItem ::= #allAcc(Iterable) | "#allCont"
0043	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:60	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
0044	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:61	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterDone ~> #allCont => true ... </k>
0045	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:62	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
0046	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:64	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
0047	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:67	syntax	-	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
0048	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:68	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
0049	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:69	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterDone ~> #anyCont => false ... </k>
0050	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:70	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
0051	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:72	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
0052	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:76	syntax	-	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
0053	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:77	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
0054	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:78	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
0055	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:80	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
0056	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:81	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
0057	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:82	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)
0058	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:86	syntax	-	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
0059	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:87	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
0060	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:88	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
0061	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:90	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
0062	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:91	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
0063	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:92	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)
0064	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:97	syntax	function	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax Int ::= maxVals(Int, Vals) [function]
0065	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:98	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
0066	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:99	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule maxVals(M:Int, .Vals)           => M
0067	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:100	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
0068	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:102	syntax	function	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax Int ::= minVals(Int, Vals) [function]
0069	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:103	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
0070	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:104	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule minVals(M:Int, .Vals)           => M
0071	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:105	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
0072	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:108	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
0073	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:111	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("bin", N:Int, .Vals)
0074	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:114	syntax	function,total	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax IntSeq ::= binCodes(Int) [function, total]
0075	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:115	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule binCodes(0) => iCons(48, .IntSeq)
0076	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:116	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
0077	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:117	syntax	function,total	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
0078	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:118	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule binAcc(0, ACC:IntSeq) => ACC
0079	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:119	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule binAcc(N:Int, ACC:IntSeq)
0080	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:124	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals))
0081	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:126	syntax	function,total	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
0082	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:127	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule enumVS(.ValSeq, _:Int) => .ValSeq
0083	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:128	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule enumVS(vCons(V:Val, R:ValSeq), I:Int)
0084	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:132	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals))
0085	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:134	syntax	function,total	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
0086	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:135	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule mapStrVS(.ValSeq) => .ValSeq
0087	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:136	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
0088	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:137	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
0089	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:140	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("int", I:Int, .Vals) => I
0090	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:143	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
0091	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:144	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
0092	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:148	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
0093	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:149	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
0094	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:152	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
0095	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:156	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
0096	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:158	syntax	function,total	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
0097	/tmp/audit-work/candidate/reference-semantics/semantics/builtins.k:159	rule	equational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
