id	file	line	module	kind	category	attributes	opaque	disposition	text	audit_assessment	audit_rationale
K0011	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	22	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0012	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	24	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0013	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	29	MPY-BOOL	rule	operational-rule	priority	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0014	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	31	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0015	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	35	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0016	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	39	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0017	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	43	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0018	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	17	MPY-BUILTINS	syntax	syntax-declaration	function	no	DECLARATION_REVIEW_REQUIRED	syntax Val ::= applyBuiltin(String, Vals) [function]	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0019	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	20	MPY-BUILTINS	syntax	syntax-declaration	function	no	DECLARATION_REVIEW_REQUIRED	syntax Int ::= seqLen(Val) [function]	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0020	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	21	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0021	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	22	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0022	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	23	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0023	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	24	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule seqLen(str(IS:IntSeq))                   => isLen(IS)	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0024	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	25	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0025	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	26	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0026	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	32	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0027	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	33	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0028	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	34	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0029	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	35	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0030	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	36	MPY-BUILTINS	syntax	syntax-declaration	function,total	no	DECLARATION_REVIEW_REQUIRED	syntax ValSeq ::= charsOf(IntSeq) [function, total]	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0031	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	37	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule charsOf(.IntSeq)                => .ValSeq	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0032	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	38	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0033	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	41	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0034	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	44	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0035	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	47	MPY-BUILTINS	syntax	syntax-declaration	-	no	DECLARATION_REVIEW_REQUIRED	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0036	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	48	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0037	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	49	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0038	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	50	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0039	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	54	MPY-BUILTINS	syntax	syntax-declaration	function	no	DECLARATION_REVIEW_REQUIRED	syntax Int ::= intOf(Val) [function]	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0040	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	55	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule intOf(I:Int)  => I	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0041	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	56	MPY-BUILTINS	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0042	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	59	MPY-BUILTINS	syntax	syntax-declaration	-	no	DECLARATION_REVIEW_REQUIRED	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0043	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	60	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0044	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	61	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterDone ~> #allCont => true ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0045	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	62	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0046	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	64	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0047	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	67	MPY-BUILTINS	syntax	syntax-declaration	-	no	DECLARATION_REVIEW_REQUIRED	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0048	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	68	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0049	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	69	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterDone ~> #anyCont => false ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0050	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	70	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0051	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	72	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0052	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	76	MPY-BUILTINS	syntax	syntax-declaration	-	no	DECLARATION_REVIEW_REQUIRED	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0053	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	77	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0054	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	78	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0055	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	80	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0056	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	81	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0057	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	82	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0058	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	86	MPY-BUILTINS	syntax	syntax-declaration	-	no	DECLARATION_REVIEW_REQUIRED	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	SYNTAX_DECLARATION_OK	Declaration only; used constructors have matching fixed operational rules, and unused constructors cannot be reached from the exact program term.
K0059	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	87	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0060	/tmp/audit-work/reconstruction/reference-semantics/semantics/builtins.k	88	MPY-BUILTINS	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
