id	source_class	file	start_line	end_line	kind	role	attributes	text	target_relevance	decision	audit_rationale
11	supplied_semantics	reference-semantics/semantics/bool.k	28	28	rule	ordinary_rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
12	supplied_semantics	reference-semantics/semantics/bool.k	29	29	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
13	supplied_semantics	reference-semantics/semantics/bool.k	31	31	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
14	supplied_semantics	reference-semantics/semantics/bool.k	33	33	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
15	supplied_semantics	reference-semantics/semantics/bool.k	35	35	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
16	supplied_semantics	reference-semantics/semantics/bool.k	40	41	rule	priority_rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
17	supplied_semantics	reference-semantics/semantics/bool.k	42	43	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
18	supplied_semantics	reference-semantics/semantics/bool.k	46	47	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
19	supplied_semantics	reference-semantics/semantics/bool.k	50	51	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
20	supplied_semantics	reference-semantics/semantics/bool.k	54	55	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
21	supplied_semantics	reference-semantics/semantics/builtins.k	17	19	syntax	function_declaration	function	syntax Val ::= applyBuiltin(String, Vals) [function]	formal_domain	ACCEPT_DOMAIN_DECLARATION	Part of the supplied Val universe admitted by INPUT:ValSeq; checked against the isIntV/isInt/isBool constructor classification.
22	supplied_semantics	reference-semantics/semantics/builtins.k	20	20	syntax	function_declaration	function	syntax Int ::= seqLen(Val) [function]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
23	supplied_semantics	reference-semantics/semantics/builtins.k	21	21	rule	ordinary_rule	-	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
24	supplied_semantics	reference-semantics/semantics/builtins.k	22	22	rule	ordinary_rule	-	rule seqLen(list(VS:ValSeq)) => vsLen(VS)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
25	supplied_semantics	reference-semantics/semantics/builtins.k	23	23	rule	ordinary_rule	-	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
26	supplied_semantics	reference-semantics/semantics/builtins.k	24	24	rule	ordinary_rule	-	rule seqLen(str(IS:IntSeq)) => isLen(IS)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
27	supplied_semantics	reference-semantics/semantics/builtins.k	25	25	rule	ordinary_rule	-	rule seqLen(setV(DS:IntSeq)) => isLen(DS)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
28	supplied_semantics	reference-semantics/semantics/builtins.k	26	31	rule	ordinary_rule	-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
29	supplied_semantics	reference-semantics/semantics/builtins.k	32	32	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
30	supplied_semantics	reference-semantics/semantics/builtins.k	33	33	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
31	supplied_semantics	reference-semantics/semantics/builtins.k	34	34	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
32	supplied_semantics	reference-semantics/semantics/builtins.k	35	35	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
33	supplied_semantics	reference-semantics/semantics/builtins.k	36	36	syntax	function_declaration	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
34	supplied_semantics	reference-semantics/semantics/builtins.k	37	37	rule	ordinary_rule	-	rule charsOf(.IntSeq) => .ValSeq	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
35	supplied_semantics	reference-semantics/semantics/builtins.k	38	40	rule	ordinary_rule	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
36	supplied_semantics	reference-semantics/semantics/builtins.k	41	43	rule	ordinary_rule	-	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
37	supplied_semantics	reference-semantics/semantics/builtins.k	44	46	rule	ordinary_rule	-	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
38	supplied_semantics	reference-semantics/semantics/builtins.k	47	47	syntax	syntax_declaration	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
39	supplied_semantics	reference-semantics/semantics/builtins.k	48	48	rule	ordinary_rule	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
40	supplied_semantics	reference-semantics/semantics/builtins.k	49	49	rule	ordinary_rule	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
41	supplied_semantics	reference-semantics/semantics/builtins.k	50	51	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
42	supplied_semantics	reference-semantics/semantics/builtins.k	54	54	syntax	function_declaration	function	syntax Int ::= intOf(Val) [function]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
43	supplied_semantics	reference-semantics/semantics/builtins.k	55	55	rule	ordinary_rule	-	rule intOf(I:Int) => I	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
44	supplied_semantics	reference-semantics/semantics/builtins.k	56	58	rule	ordinary_rule	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
45	supplied_semantics	reference-semantics/semantics/builtins.k	59	59	syntax	syntax_declaration	-	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
46	supplied_semantics	reference-semantics/semantics/builtins.k	60	60	rule	ordinary_rule	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
47	supplied_semantics	reference-semantics/semantics/builtins.k	61	61	rule	ordinary_rule	-	rule <k> #iterDone ~> #allCont => true ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
48	supplied_semantics	reference-semantics/semantics/builtins.k	62	62	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
49	supplied_semantics	reference-semantics/semantics/builtins.k	64	64	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
50	supplied_semantics	reference-semantics/semantics/builtins.k	67	67	syntax	syntax_declaration	-	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
51	supplied_semantics	reference-semantics/semantics/builtins.k	68	68	rule	ordinary_rule	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
52	supplied_semantics	reference-semantics/semantics/builtins.k	69	69	rule	ordinary_rule	-	rule <k> #iterDone ~> #anyCont => false ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
53	supplied_semantics	reference-semantics/semantics/builtins.k	70	70	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
54	supplied_semantics	reference-semantics/semantics/builtins.k	72	72	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
55	supplied_semantics	reference-semantics/semantics/builtins.k	76	76	syntax	syntax_declaration	-	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
56	supplied_semantics	reference-semantics/semantics/builtins.k	77	77	rule	ordinary_rule	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
57	supplied_semantics	reference-semantics/semantics/builtins.k	78	78	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
58	supplied_semantics	reference-semantics/semantics/builtins.k	80	80	rule	ordinary_rule	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
59	supplied_semantics	reference-semantics/semantics/builtins.k	81	81	rule	ordinary_rule	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
60	supplied_semantics	reference-semantics/semantics/builtins.k	82	83	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
61	supplied_semantics	reference-semantics/semantics/builtins.k	86	86	syntax	syntax_declaration	-	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
62	supplied_semantics	reference-semantics/semantics/builtins.k	87	87	rule	ordinary_rule	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
63	supplied_semantics	reference-semantics/semantics/builtins.k	88	88	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
64	supplied_semantics	reference-semantics/semantics/builtins.k	90	90	rule	ordinary_rule	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
65	supplied_semantics	reference-semantics/semantics/builtins.k	91	91	rule	ordinary_rule	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
66	supplied_semantics	reference-semantics/semantics/builtins.k	92	93	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
67	supplied_semantics	reference-semantics/semantics/builtins.k	97	97	syntax	function_declaration	function	syntax Int ::= maxVals(Int, Vals) [function]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
68	supplied_semantics	reference-semantics/semantics/builtins.k	98	98	rule	ordinary_rule	-	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
69	supplied_semantics	reference-semantics/semantics/builtins.k	99	99	rule	ordinary_rule	-	rule maxVals(M:Int, .Vals) => M	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
70	supplied_semantics	reference-semantics/semantics/builtins.k	100	101	rule	ordinary_rule	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
71	supplied_semantics	reference-semantics/semantics/builtins.k	102	102	syntax	function_declaration	function	syntax Int ::= minVals(Int, Vals) [function]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
72	supplied_semantics	reference-semantics/semantics/builtins.k	103	103	rule	ordinary_rule	-	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
73	supplied_semantics	reference-semantics/semantics/builtins.k	104	104	rule	ordinary_rule	-	rule minVals(M:Int, .Vals) => M	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
74	supplied_semantics	reference-semantics/semantics/builtins.k	105	107	rule	ordinary_rule	-	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
75	supplied_semantics	reference-semantics/semantics/builtins.k	108	108	rule	ordinary_rule	-	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
76	supplied_semantics	reference-semantics/semantics/builtins.k	111	112	rule	ordinary_rule	-	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
77	supplied_semantics	reference-semantics/semantics/builtins.k	114	114	syntax	function_declaration	function,total	syntax IntSeq ::= binCodes(Int) [function, total]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
78	supplied_semantics	reference-semantics/semantics/builtins.k	115	115	rule	ordinary_rule	-	rule binCodes(0) => iCons(48, .IntSeq)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
79	supplied_semantics	reference-semantics/semantics/builtins.k	116	116	rule	ordinary_rule	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
80	supplied_semantics	reference-semantics/semantics/builtins.k	117	117	syntax	function_declaration	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
81	supplied_semantics	reference-semantics/semantics/builtins.k	118	118	rule	ordinary_rule	-	rule binAcc(0, ACC:IntSeq) => ACC	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
82	supplied_semantics	reference-semantics/semantics/builtins.k	119	120	rule	ordinary_rule	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
83	supplied_semantics	reference-semantics/semantics/builtins.k	124	125	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
84	supplied_semantics	reference-semantics/semantics/builtins.k	126	126	syntax	function_declaration	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
85	supplied_semantics	reference-semantics/semantics/builtins.k	127	127	rule	ordinary_rule	-	rule enumVS(.ValSeq, _:Int) => .ValSeq	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
86	supplied_semantics	reference-semantics/semantics/builtins.k	128	131	rule	ordinary_rule	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
87	supplied_semantics	reference-semantics/semantics/builtins.k	132	133	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
88	supplied_semantics	reference-semantics/semantics/builtins.k	134	134	syntax	function_declaration	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
89	supplied_semantics	reference-semantics/semantics/builtins.k	135	135	rule	ordinary_rule	-	rule mapStrVS(.ValSeq) => .ValSeq	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
90	supplied_semantics	reference-semantics/semantics/builtins.k	136	136	rule	ordinary_rule	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
91	supplied_semantics	reference-semantics/semantics/builtins.k	137	139	rule	ordinary_rule	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
92	supplied_semantics	reference-semantics/semantics/builtins.k	140	142	rule	ordinary_rule	-	"rule applyBuiltin(""int"", I:Int, .Vals) => I"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
