id	source_class	file	start_line	end_line	kind	role	attributes	text
21	supplied_semantics	reference-semantics/semantics/builtins.k	17	19	syntax	function_declaration	function	syntax Val ::= applyBuiltin(String, Vals) [function]
22	supplied_semantics	reference-semantics/semantics/builtins.k	20	20	syntax	function_declaration	function	syntax Int ::= seqLen(Val) [function]
23	supplied_semantics	reference-semantics/semantics/builtins.k	21	21	rule	ordinary_rule	-	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
24	supplied_semantics	reference-semantics/semantics/builtins.k	22	22	rule	ordinary_rule	-	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
25	supplied_semantics	reference-semantics/semantics/builtins.k	23	23	rule	ordinary_rule	-	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
26	supplied_semantics	reference-semantics/semantics/builtins.k	24	24	rule	ordinary_rule	-	rule seqLen(str(IS:IntSeq)) => isLen(IS)
27	supplied_semantics	reference-semantics/semantics/builtins.k	25	25	rule	ordinary_rule	-	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
28	supplied_semantics	reference-semantics/semantics/builtins.k	26	31	rule	ordinary_rule	-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
29	supplied_semantics	reference-semantics/semantics/builtins.k	32	32	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
30	supplied_semantics	reference-semantics/semantics/builtins.k	33	33	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
31	supplied_semantics	reference-semantics/semantics/builtins.k	34	34	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
32	supplied_semantics	reference-semantics/semantics/builtins.k	35	35	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
33	supplied_semantics	reference-semantics/semantics/builtins.k	36	36	syntax	function_declaration	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
34	supplied_semantics	reference-semantics/semantics/builtins.k	37	37	rule	ordinary_rule	-	rule charsOf(.IntSeq) => .ValSeq
35	supplied_semantics	reference-semantics/semantics/builtins.k	38	40	rule	ordinary_rule	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
36	supplied_semantics	reference-semantics/semantics/builtins.k	41	43	rule	ordinary_rule	-	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
37	supplied_semantics	reference-semantics/semantics/builtins.k	44	46	rule	ordinary_rule	-	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
38	supplied_semantics	reference-semantics/semantics/builtins.k	47	47	syntax	syntax_declaration	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
39	supplied_semantics	reference-semantics/semantics/builtins.k	48	48	rule	ordinary_rule	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
40	supplied_semantics	reference-semantics/semantics/builtins.k	49	49	rule	ordinary_rule	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
41	supplied_semantics	reference-semantics/semantics/builtins.k	50	51	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
42	supplied_semantics	reference-semantics/semantics/builtins.k	54	54	syntax	function_declaration	function	syntax Int ::= intOf(Val) [function]
43	supplied_semantics	reference-semantics/semantics/builtins.k	55	55	rule	ordinary_rule	-	rule intOf(I:Int) => I
44	supplied_semantics	reference-semantics/semantics/builtins.k	56	58	rule	ordinary_rule	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
45	supplied_semantics	reference-semantics/semantics/builtins.k	59	59	syntax	syntax_declaration	-	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
46	supplied_semantics	reference-semantics/semantics/builtins.k	60	60	rule	ordinary_rule	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
47	supplied_semantics	reference-semantics/semantics/builtins.k	61	61	rule	ordinary_rule	-	rule <k> #iterDone ~> #allCont => true ... </k>
48	supplied_semantics	reference-semantics/semantics/builtins.k	62	62	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
49	supplied_semantics	reference-semantics/semantics/builtins.k	64	64	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
50	supplied_semantics	reference-semantics/semantics/builtins.k	67	67	syntax	syntax_declaration	-	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
51	supplied_semantics	reference-semantics/semantics/builtins.k	68	68	rule	ordinary_rule	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
52	supplied_semantics	reference-semantics/semantics/builtins.k	69	69	rule	ordinary_rule	-	rule <k> #iterDone ~> #anyCont => false ... </k>
53	supplied_semantics	reference-semantics/semantics/builtins.k	70	70	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
54	supplied_semantics	reference-semantics/semantics/builtins.k	72	72	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
55	supplied_semantics	reference-semantics/semantics/builtins.k	76	76	syntax	syntax_declaration	-	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
56	supplied_semantics	reference-semantics/semantics/builtins.k	77	77	rule	ordinary_rule	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
57	supplied_semantics	reference-semantics/semantics/builtins.k	78	78	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
58	supplied_semantics	reference-semantics/semantics/builtins.k	80	80	rule	ordinary_rule	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
59	supplied_semantics	reference-semantics/semantics/builtins.k	81	81	rule	ordinary_rule	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
60	supplied_semantics	reference-semantics/semantics/builtins.k	82	83	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
61	supplied_semantics	reference-semantics/semantics/builtins.k	86	86	syntax	syntax_declaration	-	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
62	supplied_semantics	reference-semantics/semantics/builtins.k	87	87	rule	ordinary_rule	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
63	supplied_semantics	reference-semantics/semantics/builtins.k	88	88	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
64	supplied_semantics	reference-semantics/semantics/builtins.k	90	90	rule	ordinary_rule	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
65	supplied_semantics	reference-semantics/semantics/builtins.k	91	91	rule	ordinary_rule	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
66	supplied_semantics	reference-semantics/semantics/builtins.k	92	93	rule	ordinary_rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
67	supplied_semantics	reference-semantics/semantics/builtins.k	97	97	syntax	function_declaration	function	syntax Int ::= maxVals(Int, Vals) [function]
68	supplied_semantics	reference-semantics/semantics/builtins.k	98	98	rule	ordinary_rule	-	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
69	supplied_semantics	reference-semantics/semantics/builtins.k	99	99	rule	ordinary_rule	-	rule maxVals(M:Int, .Vals) => M
70	supplied_semantics	reference-semantics/semantics/builtins.k	100	101	rule	ordinary_rule	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
71	supplied_semantics	reference-semantics/semantics/builtins.k	102	102	syntax	function_declaration	function	syntax Int ::= minVals(Int, Vals) [function]
72	supplied_semantics	reference-semantics/semantics/builtins.k	103	103	rule	ordinary_rule	-	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
73	supplied_semantics	reference-semantics/semantics/builtins.k	104	104	rule	ordinary_rule	-	rule minVals(M:Int, .Vals) => M
74	supplied_semantics	reference-semantics/semantics/builtins.k	105	107	rule	ordinary_rule	-	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
75	supplied_semantics	reference-semantics/semantics/builtins.k	108	108	rule	ordinary_rule	-	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"
76	supplied_semantics	reference-semantics/semantics/builtins.k	111	112	rule	ordinary_rule	-	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))"
77	supplied_semantics	reference-semantics/semantics/builtins.k	114	114	syntax	function_declaration	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
78	supplied_semantics	reference-semantics/semantics/builtins.k	115	115	rule	ordinary_rule	-	rule binCodes(0) => iCons(48, .IntSeq)
79	supplied_semantics	reference-semantics/semantics/builtins.k	116	116	rule	ordinary_rule	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
80	supplied_semantics	reference-semantics/semantics/builtins.k	117	117	syntax	function_declaration	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
81	supplied_semantics	reference-semantics/semantics/builtins.k	118	118	rule	ordinary_rule	-	rule binAcc(0, ACC:IntSeq) => ACC
82	supplied_semantics	reference-semantics/semantics/builtins.k	119	120	rule	ordinary_rule	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
83	supplied_semantics	reference-semantics/semantics/builtins.k	124	125	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
84	supplied_semantics	reference-semantics/semantics/builtins.k	126	126	syntax	function_declaration	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
85	supplied_semantics	reference-semantics/semantics/builtins.k	127	127	rule	ordinary_rule	-	rule enumVS(.ValSeq, _:Int) => .ValSeq
86	supplied_semantics	reference-semantics/semantics/builtins.k	128	131	rule	ordinary_rule	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
87	supplied_semantics	reference-semantics/semantics/builtins.k	132	133	rule	ordinary_rule	-	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
88	supplied_semantics	reference-semantics/semantics/builtins.k	134	134	syntax	function_declaration	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
89	supplied_semantics	reference-semantics/semantics/builtins.k	135	135	rule	ordinary_rule	-	rule mapStrVS(.ValSeq) => .ValSeq
90	supplied_semantics	reference-semantics/semantics/builtins.k	136	136	rule	ordinary_rule	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
91	supplied_semantics	reference-semantics/semantics/builtins.k	137	139	rule	ordinary_rule	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
92	supplied_semantics	reference-semantics/semantics/builtins.k	140	142	rule	ordinary_rule	-	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
93	supplied_semantics	reference-semantics/semantics/builtins.k	143	143	rule	ordinary_rule	-	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
94	supplied_semantics	reference-semantics/semantics/builtins.k	144	144	rule	ordinary_rule	-	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq))"
95	supplied_semantics	reference-semantics/semantics/builtins.k	148	148	rule	ordinary_rule	-	"rule applyBuiltin(""str"", I:Int, .Vals) => str(strToCodes(Int2String(I)))"
96	supplied_semantics	reference-semantics/semantics/builtins.k	149	151	rule	ordinary_rule	-	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
97	supplied_semantics	reference-semantics/semantics/builtins.k	152	152	rule	ordinary_rule	-	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48"
98	supplied_semantics	reference-semantics/semantics/builtins.k	156	156	rule	ordinary_rule	-	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)"
99	supplied_semantics	reference-semantics/semantics/builtins.k	158	158	syntax	function_declaration	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
100	supplied_semantics	reference-semantics/semantics/builtins.k	159	159	rule	ordinary_rule	-	rule intDigAcc(.IntSeq, ACC:Int) => ACC
101	supplied_semantics	reference-semantics/semantics/builtins.k	160	162	rule	ordinary_rule	-	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
102	supplied_semantics	reference-semantics/semantics/builtins.k	163	163	rule	ordinary_rule	-	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
103	supplied_semantics	reference-semantics/semantics/builtins.k	164	166	rule	ordinary_rule	-	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)"
104	supplied_semantics	reference-semantics/semantics/builtins.k	167	168	rule	ordinary_rule	-	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
105	supplied_semantics	reference-semantics/semantics/builtins.k	169	169	rule	ordinary_rule	-	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
106	supplied_semantics	reference-semantics/semantics/builtins.k	170	170	rule	ordinary_rule	-	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
107	supplied_semantics	reference-semantics/semantics/builtins.k	171	172	rule	ordinary_rule	-	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
108	supplied_semantics	reference-semantics/semantics/builtins.k	173	173	rule	ordinary_rule	-	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
109	supplied_semantics	reference-semantics/semantics/builtins.k	174	176	rule	ordinary_rule	-	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
110	supplied_semantics	reference-semantics/semantics/builtins.k	177	177	rule	ordinary_rule	-	"rule applyBuiltin(""range"", I:Int, .Vals) => rangeObj(0, I, 1)"
111	supplied_semantics	reference-semantics/semantics/builtins.k	178	178	rule	ordinary_rule	-	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)"
112	supplied_semantics	reference-semantics/semantics/builtins.k	179	179	rule	ordinary_rule	-	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)"
113	supplied_semantics	reference-semantics/semantics/builtins.k	187	187	rule	ordinary_rule	-	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
114	supplied_semantics	reference-semantics/semantics/builtins.k	188	188	syntax	function_declaration	function	syntax Int ::= evalArith(IntSeq) [function]
115	supplied_semantics	reference-semantics/semantics/builtins.k	189	191	rule	ordinary_rule	-	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
116	supplied_semantics	reference-semantics/semantics/builtins.k	192	193	syntax	syntax_declaration	-	"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
117	supplied_semantics	reference-semantics/semantics/builtins.k	194	194	syntax	function_declaration	function,total	syntax Bool ::= evDigit(Int) [function, total]
118	supplied_semantics	reference-semantics/semantics/builtins.k	195	195	rule	ordinary_rule	-	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
119	supplied_semantics	reference-semantics/semantics/builtins.k	196	196	syntax	function_declaration	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
120	supplied_semantics	reference-semantics/semantics/builtins.k	197	197	rule	ordinary_rule	-	rule evHead42(iCons(42, _:IntSeq)) => true
121	supplied_semantics	reference-semantics/semantics/builtins.k	198	198	rule	owise_rule	owise	rule evHead42(_:IntSeq) => false [owise]
122	supplied_semantics	reference-semantics/semantics/builtins.k	199	199	syntax	function_declaration	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
123	supplied_semantics	reference-semantics/semantics/builtins.k	200	200	rule	ordinary_rule	-	rule evHead47(iCons(47, _:IntSeq)) => true
124	supplied_semantics	reference-semantics/semantics/builtins.k	201	202	rule	owise_rule	owise	rule evHead47(_:IntSeq) => false [owise]
125	supplied_semantics	reference-semantics/semantics/builtins.k	203	203	syntax	function_declaration	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
126	supplied_semantics	reference-semantics/semantics/builtins.k	204	204	rule	ordinary_rule	-	rule tokOps(.IntSeq) => .OpSeq
127	supplied_semantics	reference-semantics/semantics/builtins.k	205	205	rule	ordinary_rule	-	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
128	supplied_semantics	reference-semantics/semantics/builtins.k	206	206	rule	ordinary_rule	-	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
129	supplied_semantics	reference-semantics/semantics/builtins.k	207	207	rule	ordinary_rule	-	"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
130	supplied_semantics	reference-semantics/semantics/builtins.k	208	208	rule	ordinary_rule	-	"rule tokOps(iCons(42, R:IntSeq)) => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
131	supplied_semantics	reference-semantics/semantics/builtins.k	209	209	rule	ordinary_rule	-	"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("""
132	supplied_semantics	reference-semantics/semantics/builtins.k	210	210	rule	ordinary_rule	-	"rule tokOps(iCons(47, R:IntSeq)) => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
133	supplied_semantics	reference-semantics/semantics/builtins.k	211	211	rule	ordinary_rule	-	"rule tokOps(iCons(43, R:IntSeq)) => oCons(""+"", tokOps(R))"
134	supplied_semantics	reference-semantics/semantics/builtins.k	212	213	rule	ordinary_rule	-	"rule tokOps(iCons(45, R:IntSeq)) => oCons(""-"", tokOps(R))"
135	supplied_semantics	reference-semantics/semantics/builtins.k	214	215	syntax	function_declaration	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
136	supplied_semantics	reference-semantics/semantics/builtins.k	216	216	rule	ordinary_rule	-	rule tokNds(.IntSeq) => .IntSeq
137	supplied_semantics	reference-semantics/semantics/builtins.k	217	217	rule	ordinary_rule	-	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
138	supplied_semantics	reference-semantics/semantics/builtins.k	218	218	rule	ordinary_rule	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
139	supplied_semantics	reference-semantics/semantics/builtins.k	219	219	rule	ordinary_rule	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)
140	supplied_semantics	reference-semantics/semantics/builtins.k	221	221	rule	ordinary_rule	-	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)
141	supplied_semantics	reference-semantics/semantics/builtins.k	223	224	rule	owise_rule	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
142	supplied_semantics	reference-semantics/semantics/builtins.k	225	225	syntax	syntax_declaration	-	syntax EvPair ::= evp(OpSeq, IntSeq)
143	supplied_semantics	reference-semantics/semantics/builtins.k	226	226	syntax	function_declaration	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
144	supplied_semantics	reference-semantics/semantics/builtins.k	227	227	rule	ordinary_rule	-	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
145	supplied_semantics	reference-semantics/semantics/builtins.k	228	229	rule	owise_rule	owise	rule firstNdE(_:EvPair) => 0 [owise]
146	supplied_semantics	reference-semantics/semantics/builtins.k	230	230	syntax	function_declaration	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
147	supplied_semantics	reference-semantics/semantics/builtins.k	231	231	rule	ordinary_rule	-	"rule applyOpE(""+"", A:Int, B:Int) => A +Int B"
148	supplied_semantics	reference-semantics/semantics/builtins.k	232	232	rule	ordinary_rule	-	"rule applyOpE(""-"", A:Int, B:Int) => A -Int B"
149	supplied_semantics	reference-semantics/semantics/builtins.k	233	233	rule	ordinary_rule	-	"rule applyOpE(""*"", A:Int, B:Int) => A *Int B"
150	supplied_semantics	reference-semantics/semantics/builtins.k	234	234	rule	ordinary_rule	-	"rule applyOpE("""
151	supplied_semantics	reference-semantics/semantics/builtins.k	235	235	rule	ordinary_rule	-	"rule applyOpE(""**"", A:Int, B:Int) => A ^Int B"
152	supplied_semantics	reference-semantics/semantics/builtins.k	236	237	rule	owise_rule	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
153	supplied_semantics	reference-semantics/semantics/builtins.k	238	238	syntax	function_declaration	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
154	supplied_semantics	reference-semantics/semantics/builtins.k	239	239	rule	ordinary_rule	-	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
155	supplied_semantics	reference-semantics/semantics/builtins.k	240	240	rule	ordinary_rule	-	"rule passPowE(oCons(""**"", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))"
156	supplied_semantics	reference-semantics/semantics/builtins.k	241	241	rule	ordinary_rule	-	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))
157	supplied_semantics	reference-semantics/semantics/builtins.k	243	243	rule	owise_rule	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
158	supplied_semantics	reference-semantics/semantics/builtins.k	244	244	syntax	function_declaration	function,total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
159	supplied_semantics	reference-semantics/semantics/builtins.k	245	245	rule	ordinary_rule	-	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
160	supplied_semantics	reference-semantics/semantics/builtins.k	246	246	rule	ordinary_rule	-	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
