# Exhaustive K source inventory
# Inputs:
#   /reference/reference-semantics/semantics.k
#   /reference/reference-semantics/semantics/assert.k
#   /reference/reference-semantics/semantics/bool.k
#   /reference/reference-semantics/semantics/builtins.k
#   /reference/reference-semantics/semantics/call.k
#   /reference/reference-semantics/semantics/comprehension.k
#   /reference/reference-semantics/semantics/concrete.k
#   /reference/reference-semantics/semantics/controls.k
#   /reference/reference-semantics/semantics/core.k
#   /reference/reference-semantics/semantics/dict.k
#   /reference/reference-semantics/semantics/float.k
#   /reference/reference-semantics/semantics/functions.k
#   /reference/reference-semantics/semantics/int.k
#   /reference/reference-semantics/semantics/iter.k
#   /reference/reference-semantics/semantics/list.k
#   /reference/reference-semantics/semantics/methods.k
#   /reference/reference-semantics/semantics/operators.k
#   /reference/reference-semantics/semantics/range.k
#   /reference/reference-semantics/semantics/set.k
#   /reference/reference-semantics/semantics/sort.k
#   /reference/reference-semantics/semantics/str.k
#   /reference/reference-semantics/semantics/subscript.k
#   /reference/reference-semantics/semantics/syntax.k
#   /reference/reference-semantics/semantics/tuple.k
#   /candidate/verification.k
#   /candidate/spec.k
# TOTAL_RECORDS=934
# KIND_COUNTS=CLAIM:4,CONFIGURATION:1,CONTEXT:5,RULE:696,SYNTAX:228
# ATTRIBUTE_COUNTS=concrete:35,function:146,macro:4,macro-rec:1,no-evaluators:22,owise:26,priority:45,seqstrict:1,strict:2,symbol:25,total:107
id	file	line	kind	attributes	declaration_or_rule
21	/reference/reference-semantics/semantics/builtins.k	22	RULE	-	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
22	/reference/reference-semantics/semantics/builtins.k	23	RULE	-	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
23	/reference/reference-semantics/semantics/builtins.k	24	RULE	-	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
24	/reference/reference-semantics/semantics/builtins.k	25	RULE	-	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
25	/reference/reference-semantics/semantics/builtins.k	26	RULE	-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
26	/reference/reference-semantics/semantics/builtins.k	32	RULE	-	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
27	/reference/reference-semantics/semantics/builtins.k	33	RULE	-	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
28	/reference/reference-semantics/semantics/builtins.k	34	RULE	-	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
29	/reference/reference-semantics/semantics/builtins.k	35	RULE	-	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
30	/reference/reference-semantics/semantics/builtins.k	36	SYNTAX	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	/reference/reference-semantics/semantics/builtins.k	37	RULE	-	rule charsOf(.IntSeq)                => .ValSeq
32	/reference/reference-semantics/semantics/builtins.k	38	RULE	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
33	/reference/reference-semantics/semantics/builtins.k	41	RULE	-	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
34	/reference/reference-semantics/semantics/builtins.k	44	RULE	-	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
35	/reference/reference-semantics/semantics/builtins.k	47	SYNTAX	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	/reference/reference-semantics/semantics/builtins.k	48	RULE	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	/reference/reference-semantics/semantics/builtins.k	49	RULE	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	/reference/reference-semantics/semantics/builtins.k	50	RULE	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
39	/reference/reference-semantics/semantics/builtins.k	54	SYNTAX	function	syntax Int ::= intOf(Val) [function]
40	/reference/reference-semantics/semantics/builtins.k	55	RULE	-	rule intOf(I:Int)  => I
41	/reference/reference-semantics/semantics/builtins.k	56	RULE	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
42	/reference/reference-semantics/semantics/builtins.k	59	SYNTAX	-	syntax KItem ::= #allAcc(Iterable) | "#allCont"
43	/reference/reference-semantics/semantics/builtins.k	60	RULE	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
44	/reference/reference-semantics/semantics/builtins.k	61	RULE	-	rule <k> #iterDone ~> #allCont => true ... </k>
45	/reference/reference-semantics/semantics/builtins.k	62	RULE	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
46	/reference/reference-semantics/semantics/builtins.k	64	RULE	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
47	/reference/reference-semantics/semantics/builtins.k	67	SYNTAX	-	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
48	/reference/reference-semantics/semantics/builtins.k	68	RULE	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	/reference/reference-semantics/semantics/builtins.k	69	RULE	-	rule <k> #iterDone ~> #anyCont => false ... </k>
50	/reference/reference-semantics/semantics/builtins.k	70	RULE	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
51	/reference/reference-semantics/semantics/builtins.k	72	RULE	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
52	/reference/reference-semantics/semantics/builtins.k	76	SYNTAX	-	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
53	/reference/reference-semantics/semantics/builtins.k	77	RULE	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	/reference/reference-semantics/semantics/builtins.k	78	RULE	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
55	/reference/reference-semantics/semantics/builtins.k	80	RULE	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	/reference/reference-semantics/semantics/builtins.k	81	RULE	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	/reference/reference-semantics/semantics/builtins.k	82	RULE	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
58	/reference/reference-semantics/semantics/builtins.k	86	SYNTAX	-	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
59	/reference/reference-semantics/semantics/builtins.k	87	RULE	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	/reference/reference-semantics/semantics/builtins.k	88	RULE	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
61	/reference/reference-semantics/semantics/builtins.k	90	RULE	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	/reference/reference-semantics/semantics/builtins.k	91	RULE	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	/reference/reference-semantics/semantics/builtins.k	92	RULE	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
64	/reference/reference-semantics/semantics/builtins.k	97	SYNTAX	function	syntax Int ::= maxVals(Int, Vals) [function]
65	/reference/reference-semantics/semantics/builtins.k	98	RULE	-	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
66	/reference/reference-semantics/semantics/builtins.k	99	RULE	-	rule maxVals(M:Int, .Vals)           => M
67	/reference/reference-semantics/semantics/builtins.k	100	RULE	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	/reference/reference-semantics/semantics/builtins.k	102	SYNTAX	function	syntax Int ::= minVals(Int, Vals) [function]
69	/reference/reference-semantics/semantics/builtins.k	103	RULE	-	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
70	/reference/reference-semantics/semantics/builtins.k	104	RULE	-	rule minVals(M:Int, .Vals)           => M
71	/reference/reference-semantics/semantics/builtins.k	105	RULE	-	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
72	/reference/reference-semantics/semantics/builtins.k	108	RULE	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
73	/reference/reference-semantics/semantics/builtins.k	111	RULE	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
74	/reference/reference-semantics/semantics/builtins.k	114	SYNTAX	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
75	/reference/reference-semantics/semantics/builtins.k	115	RULE	-	rule binCodes(0) => iCons(48, .IntSeq)
76	/reference/reference-semantics/semantics/builtins.k	116	RULE	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	/reference/reference-semantics/semantics/builtins.k	117	SYNTAX	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	/reference/reference-semantics/semantics/builtins.k	118	RULE	-	rule binAcc(0, ACC:IntSeq) => ACC
79	/reference/reference-semantics/semantics/builtins.k	119	RULE	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
80	/reference/reference-semantics/semantics/builtins.k	124	RULE	-	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
81	/reference/reference-semantics/semantics/builtins.k	126	SYNTAX	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	/reference/reference-semantics/semantics/builtins.k	127	RULE	-	rule enumVS(.ValSeq, _:Int) => .ValSeq
83	/reference/reference-semantics/semantics/builtins.k	128	RULE	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
84	/reference/reference-semantics/semantics/builtins.k	132	RULE	-	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
85	/reference/reference-semantics/semantics/builtins.k	134	SYNTAX	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
86	/reference/reference-semantics/semantics/builtins.k	135	RULE	-	rule mapStrVS(.ValSeq) => .ValSeq
87	/reference/reference-semantics/semantics/builtins.k	136	RULE	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
88	/reference/reference-semantics/semantics/builtins.k	137	RULE	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
89	/reference/reference-semantics/semantics/builtins.k	140	RULE	-	rule applyBuiltin("int", I:Int, .Vals) => I
90	/reference/reference-semantics/semantics/builtins.k	143	RULE	-	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
91	/reference/reference-semantics/semantics/builtins.k	144	RULE	-	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
92	/reference/reference-semantics/semantics/builtins.k	148	RULE	-	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
93	/reference/reference-semantics/semantics/builtins.k	149	RULE	-	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
94	/reference/reference-semantics/semantics/builtins.k	152	RULE	-	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
95	/reference/reference-semantics/semantics/builtins.k	156	RULE	-	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
96	/reference/reference-semantics/semantics/builtins.k	158	SYNTAX	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
97	/reference/reference-semantics/semantics/builtins.k	159	RULE	-	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
98	/reference/reference-semantics/semantics/builtins.k	160	RULE	-	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
99	/reference/reference-semantics/semantics/builtins.k	163	RULE	-	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
100	/reference/reference-semantics/semantics/builtins.k	164	RULE	-	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
101	/reference/reference-semantics/semantics/builtins.k	167	RULE	-	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
102	/reference/reference-semantics/semantics/builtins.k	169	RULE	-	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
103	/reference/reference-semantics/semantics/builtins.k	170	RULE	-	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
104	/reference/reference-semantics/semantics/builtins.k	171	RULE	-	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
105	/reference/reference-semantics/semantics/builtins.k	173	RULE	-	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
106	/reference/reference-semantics/semantics/builtins.k	174	RULE	-	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
107	/reference/reference-semantics/semantics/builtins.k	177	RULE	-	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
108	/reference/reference-semantics/semantics/builtins.k	178	RULE	-	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
109	/reference/reference-semantics/semantics/builtins.k	179	RULE	-	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
110	/reference/reference-semantics/semantics/builtins.k	187	RULE	-	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
111	/reference/reference-semantics/semantics/builtins.k	188	SYNTAX	function	syntax Int ::= evalArith(IntSeq) [function]
112	/reference/reference-semantics/semantics/builtins.k	189	RULE	-	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
113	/reference/reference-semantics/semantics/builtins.k	192	SYNTAX	-	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
114	/reference/reference-semantics/semantics/builtins.k	194	SYNTAX	function,total	syntax Bool ::= evDigit(Int) [function, total]
115	/reference/reference-semantics/semantics/builtins.k	195	RULE	-	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
116	/reference/reference-semantics/semantics/builtins.k	196	SYNTAX	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
117	/reference/reference-semantics/semantics/builtins.k	197	RULE	-	rule evHead42(iCons(42, _:IntSeq)) => true
118	/reference/reference-semantics/semantics/builtins.k	198	RULE	owise	rule evHead42(_:IntSeq)            => false [owise]
119	/reference/reference-semantics/semantics/builtins.k	199	SYNTAX	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
120	/reference/reference-semantics/semantics/builtins.k	200	RULE	-	rule evHead47(iCons(47, _:IntSeq)) => true
121	/reference/reference-semantics/semantics/builtins.k	201	RULE	owise	rule evHead47(_:IntSeq)            => false [owise]
122	/reference/reference-semantics/semantics/builtins.k	203	SYNTAX	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
123	/reference/reference-semantics/semantics/builtins.k	204	RULE	-	rule tokOps(.IntSeq)                 => .OpSeq
124	/reference/reference-semantics/semantics/builtins.k	205	RULE	-	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
125	/reference/reference-semantics/semantics/builtins.k	206	RULE	-	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
126	/reference/reference-semantics/semantics/builtins.k	207	RULE	-	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
127	/reference/reference-semantics/semantics/builtins.k	208	RULE	-	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
128	/reference/reference-semantics/semantics/builtins.k	209	RULE	-	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
129	/reference/reference-semantics/semantics/builtins.k	210	RULE	-	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
130	/reference/reference-semantics/semantics/builtins.k	211	RULE	-	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
131	/reference/reference-semantics/semantics/builtins.k	212	RULE	-	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
132	/reference/reference-semantics/semantics/builtins.k	214	SYNTAX	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
133	/reference/reference-semantics/semantics/builtins.k	216	RULE	-	rule tokNds(.IntSeq)                => .IntSeq
134	/reference/reference-semantics/semantics/builtins.k	217	RULE	-	rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
135	/reference/reference-semantics/semantics/builtins.k	218	RULE	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
136	/reference/reference-semantics/semantics/builtins.k	219	RULE	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
137	/reference/reference-semantics/semantics/builtins.k	221	RULE	-	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
138	/reference/reference-semantics/semantics/builtins.k	223	RULE	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
139	/reference/reference-semantics/semantics/builtins.k	225	SYNTAX	-	syntax EvPair ::= evp(OpSeq, IntSeq)
140	/reference/reference-semantics/semantics/builtins.k	226	SYNTAX	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
141	/reference/reference-semantics/semantics/builtins.k	227	RULE	-	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
142	/reference/reference-semantics/semantics/builtins.k	228	RULE	owise	rule firstNdE(_:EvPair) => 0 [owise]
143	/reference/reference-semantics/semantics/builtins.k	230	SYNTAX	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
144	/reference/reference-semantics/semantics/builtins.k	231	RULE	-	rule applyOpE("+",  A:Int, B:Int) => A +Int B
145	/reference/reference-semantics/semantics/builtins.k	232	RULE	-	rule applyOpE("-",  A:Int, B:Int) => A -Int B
146	/reference/reference-semantics/semantics/builtins.k	233	RULE	-	rule applyOpE("*",  A:Int, B:Int) => A *Int B
147	/reference/reference-semantics/semantics/builtins.k	234	RULE	-	rule applyOpE("//", A:Int, B:Int) => A divInt B
148	/reference/reference-semantics/semantics/builtins.k	235	RULE	-	rule applyOpE("**", A:Int, B:Int) => A ^Int B
149	/reference/reference-semantics/semantics/builtins.k	236	RULE	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
150	/reference/reference-semantics/semantics/builtins.k	238	SYNTAX	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
151	/reference/reference-semantics/semantics/builtins.k	239	RULE	-	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
152	/reference/reference-semantics/semantics/builtins.k	240	RULE	-	rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
153	/reference/reference-semantics/semantics/builtins.k	241	RULE	-	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS)) requires O =/=String "**"
154	/reference/reference-semantics/semantics/builtins.k	243	RULE	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
155	/reference/reference-semantics/semantics/builtins.k	244	SYNTAX	function,total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
156	/reference/reference-semantics/semantics/builtins.k	245	RULE	-	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
157	/reference/reference-semantics/semantics/builtins.k	246	RULE	-	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
158	/reference/reference-semantics/semantics/builtins.k	247	SYNTAX	function,total	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
159	/reference/reference-semantics/semantics/builtins.k	248	RULE	-	rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
160	/reference/reference-semantics/semantics/builtins.k	250	SYNTAX	function,total	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
161	/reference/reference-semantics/semantics/builtins.k	251	RULE	-	rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
162	/reference/reference-semantics/semantics/builtins.k	252	RULE	-	rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
163	/reference/reference-semantics/semantics/builtins.k	253	RULE	-	rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
164	/reference/reference-semantics/semantics/builtins.k	254	RULE	-	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
