file	line	kind	attributes	guard	assessment	text
unicode-case.k	9	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""C"") => ""c"""
unicode-case.k	10	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""D"") => ""d"""
unicode-case.k	11	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""E"") => ""e"""
unicode-case.k	12	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""F"") => ""f"""
unicode-case.k	13	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""G"") => ""g"""
unicode-case.k	14	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""H"") => ""h"""
unicode-case.k	15	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""I"") => ""i"""
unicode-case.k	16	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""J"") => ""j"""
unicode-case.k	17	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""K"") => ""k"""
unicode-case.k	18	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""L"") => ""l"""
unicode-case.k	19	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""M"") => ""m"""
unicode-case.k	20	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""N"") => ""n"""
unicode-case.k	21	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""O"") => ""o"""
unicode-case.k	22	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""P"") => ""p"""
unicode-case.k	23	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""Q"") => ""q"""
unicode-case.k	24	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""R"") => ""r"""
unicode-case.k	25	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""S"") => ""s"""
unicode-case.k	26	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""T"") => ""t"""
unicode-case.k	27	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""U"") => ""u"""
unicode-case.k	28	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""V"") => ""v"""
unicode-case.k	29	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""W"") => ""w"""
unicode-case.k	30	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""X"") => ""x"""
unicode-case.k	31	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""Y"") => ""y"""
unicode-case.k	32	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""Z"") => ""z"""
unicode-case.k	33	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""a"") => ""A"""
unicode-case.k	34	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""b"") => ""B"""
unicode-case.k	35	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""c"") => ""C"""
unicode-case.k	36	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""d"") => ""D"""
unicode-case.k	37	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""e"") => ""E"""
unicode-case.k	38	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""f"") => ""F"""
unicode-case.k	39	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""g"") => ""G"""
unicode-case.k	40	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""h"") => ""H"""
unicode-case.k	41	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""i"") => ""I"""
unicode-case.k	42	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""j"") => ""J"""
unicode-case.k	43	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""k"") => ""K"""
unicode-case.k	44	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""l"") => ""L"""
unicode-case.k	45	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""m"") => ""M"""
unicode-case.k	46	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""n"") => ""N"""
unicode-case.k	47	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""o"") => ""O"""
unicode-case.k	48	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""p"") => ""P"""
unicode-case.k	49	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""q"") => ""Q"""
unicode-case.k	50	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""r"") => ""R"""
unicode-case.k	51	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""s"") => ""S"""
unicode-case.k	52	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""t"") => ""T"""
unicode-case.k	53	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""u"") => ""U"""
unicode-case.k	54	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""v"") => ""V"""
unicode-case.k	55	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""w"") => ""W"""
unicode-case.k	56	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""x"") => ""X"""
unicode-case.k	57	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""y"") => ""Y"""
unicode-case.k	58	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""z"") => ""Z"""
unicode-case.k	59	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc2\xb5"") => ""\xce\x9c"""
unicode-case.k	60	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x80"") => ""\xc3\xa0"""
unicode-case.k	61	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x81"") => ""\xc3\xa1"""
unicode-case.k	62	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x82"") => ""\xc3\xa2"""
unicode-case.k	63	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x83"") => ""\xc3\xa3"""
unicode-case.k	64	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x84"") => ""\xc3\xa4"""
unicode-case.k	65	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x85"") => ""\xc3\xa5"""
unicode-case.k	66	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x86"") => ""\xc3\xa6"""
unicode-case.k	67	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x87"") => ""\xc3\xa7"""
unicode-case.k	68	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x88"") => ""\xc3\xa8"""
unicode-case.k	69	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x89"") => ""\xc3\xa9"""
unicode-case.k	70	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x8a"") => ""\xc3\xaa"""
unicode-case.k	71	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x8b"") => ""\xc3\xab"""
unicode-case.k	72	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x8c"") => ""\xc3\xac"""
unicode-case.k	73	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x8d"") => ""\xc3\xad"""
unicode-case.k	74	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x8e"") => ""\xc3\xae"""
unicode-case.k	75	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x8f"") => ""\xc3\xaf"""
unicode-case.k	76	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x90"") => ""\xc3\xb0"""
unicode-case.k	77	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x91"") => ""\xc3\xb1"""
unicode-case.k	78	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x92"") => ""\xc3\xb2"""
unicode-case.k	79	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x93"") => ""\xc3\xb3"""
unicode-case.k	80	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x94"") => ""\xc3\xb4"""
unicode-case.k	81	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x95"") => ""\xc3\xb5"""
unicode-case.k	82	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x96"") => ""\xc3\xb6"""
unicode-case.k	83	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x98"") => ""\xc3\xb8"""
unicode-case.k	84	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x99"") => ""\xc3\xb9"""
unicode-case.k	85	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x9a"") => ""\xc3\xba"""
unicode-case.k	86	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x9b"") => ""\xc3\xbb"""
unicode-case.k	87	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x9c"") => ""\xc3\xbc"""
unicode-case.k	88	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x9d"") => ""\xc3\xbd"""
unicode-case.k	89	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x9e"") => ""\xc3\xbe"""
unicode-case.k	90	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\x9f"") => ""SS"""
unicode-case.k	91	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa0"") => ""\xc3\x80"""
unicode-case.k	92	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa1"") => ""\xc3\x81"""
unicode-case.k	93	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa2"") => ""\xc3\x82"""
unicode-case.k	94	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa3"") => ""\xc3\x83"""
unicode-case.k	95	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa4"") => ""\xc3\x84"""
unicode-case.k	96	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa5"") => ""\xc3\x85"""
unicode-case.k	97	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa6"") => ""\xc3\x86"""
unicode-case.k	98	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa7"") => ""\xc3\x87"""
unicode-case.k	99	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa8"") => ""\xc3\x88"""
unicode-case.k	100	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xa9"") => ""\xc3\x89"""
unicode-case.k	101	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xaa"") => ""\xc3\x8a"""
unicode-case.k	102	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xab"") => ""\xc3\x8b"""
unicode-case.k	103	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xac"") => ""\xc3\x8c"""
unicode-case.k	104	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xad"") => ""\xc3\x8d"""
unicode-case.k	105	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xae"") => ""\xc3\x8e"""
unicode-case.k	106	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xaf"") => ""\xc3\x8f"""
unicode-case.k	107	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb0"") => ""\xc3\x90"""
unicode-case.k	108	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb1"") => ""\xc3\x91"""
unicode-case.k	109	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb2"") => ""\xc3\x92"""
unicode-case.k	110	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb3"") => ""\xc3\x93"""
unicode-case.k	111	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb4"") => ""\xc3\x94"""
unicode-case.k	112	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb5"") => ""\xc3\x95"""
unicode-case.k	113	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb6"") => ""\xc3\x96"""
unicode-case.k	114	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb8"") => ""\xc3\x98"""
unicode-case.k	115	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xb9"") => ""\xc3\x99"""
unicode-case.k	116	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xba"") => ""\xc3\x9a"""
unicode-case.k	117	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xbb"") => ""\xc3\x9b"""
unicode-case.k	118	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xbc"") => ""\xc3\x9c"""
unicode-case.k	119	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xbd"") => ""\xc3\x9d"""
unicode-case.k	120	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xbe"") => ""\xc3\x9e"""
unicode-case.k	121	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc3\xbf"") => ""\xc5\xb8"""
unicode-case.k	122	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x80"") => ""\xc4\x81"""
unicode-case.k	123	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x81"") => ""\xc4\x80"""
unicode-case.k	124	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x82"") => ""\xc4\x83"""
unicode-case.k	125	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x83"") => ""\xc4\x82"""
unicode-case.k	126	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x84"") => ""\xc4\x85"""
unicode-case.k	127	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x85"") => ""\xc4\x84"""
unicode-case.k	128	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x86"") => ""\xc4\x87"""
unicode-case.k	129	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x87"") => ""\xc4\x86"""
unicode-case.k	130	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x88"") => ""\xc4\x89"""
unicode-case.k	131	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x89"") => ""\xc4\x88"""
unicode-case.k	132	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x8a"") => ""\xc4\x8b"""
unicode-case.k	133	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x8b"") => ""\xc4\x8a"""
unicode-case.k	134	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x8c"") => ""\xc4\x8d"""
unicode-case.k	135	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x8d"") => ""\xc4\x8c"""
unicode-case.k	136	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x8e"") => ""\xc4\x8f"""
unicode-case.k	137	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x8f"") => ""\xc4\x8e"""
unicode-case.k	138	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x90"") => ""\xc4\x91"""
unicode-case.k	139	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x91"") => ""\xc4\x90"""
unicode-case.k	140	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x92"") => ""\xc4\x93"""
unicode-case.k	141	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x93"") => ""\xc4\x92"""
unicode-case.k	142	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x94"") => ""\xc4\x95"""
unicode-case.k	143	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x95"") => ""\xc4\x94"""
unicode-case.k	144	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x96"") => ""\xc4\x97"""
unicode-case.k	145	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""\xc4\x97"") => ""\xc4\x96"""
