COMMAND: python3 /audit-output/evidence/k_inventory.py
# item_count=1100
# kind_counts={'claim': 1, 'configuration': 1, 'context': 5, 'endmodule': 27, 'imports': 88, 'module': 27, 'requires': 25, 'rule': 697, 'syntax': 229}
# attribute_counts={'concrete': 35, 'function': 145, 'macro': 5, 'macro-rec': 1, 'no-evaluators': 22, 'owise': 26, 'priority': 45, 'seqstrict': 1, 'strict': 2, 'total': 107}
# decision_counts={'ASSEMBLY_OR_MODULE_DECLARATION': 167, 'EXECUTED_FIXED_FRAGMENT_ACCEPTED': 55, 'OPAQUE_FIXED_PRIMITIVE_UNREACHED': 22, 'PROOF_LOCAL_ACCEPTED_EXACT_HARNESS': 4, 'TARGET_CLAIM_RESULT_CONSTRAINING': 1, 'UNREACHED_NO_INTENDED_DOMAIN_WITNESS': 851}
id	path	lines	kind	attributes	relevance	decision	declaration
K0054	reference-semantics/semantics/assert.k	8-12	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0055	reference-semantics/semantics/assert.k	13-15	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0056	reference-semantics/semantics/assert.k	16-16	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0057	reference-semantics/semantics/bool.k	5-5	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-BOOL
K0058	reference-semantics/semantics/bool.k	6-7	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CORE
K0059	reference-semantics/semantics/bool.k	8-9	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyUn("not", V:Val) => notBool truthy(V)
K0060	reference-semantics/semantics/bool.k	10-10	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0061	reference-semantics/semantics/bool.k	11-15	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0062	reference-semantics/semantics/bool.k	16-16	context	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0063	reference-semantics/semantics/bool.k	17-17	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0064	reference-semantics/semantics/bool.k	18-19	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0065	reference-semantics/semantics/bool.k	20-21	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K0066	reference-semantics/semantics/bool.k	22-23	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K0067	reference-semantics/semantics/bool.k	24-28	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
K0068	reference-semantics/semantics/bool.k	29-30	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0069	reference-semantics/semantics/bool.k	31-34	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0070	reference-semantics/semantics/bool.k	35-38	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0071	reference-semantics/semantics/bool.k	39-42	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0072	reference-semantics/semantics/bool.k	43-46	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0073	reference-semantics/semantics/bool.k	47-47	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0074	reference-semantics/semantics/builtins.k	3-3	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-BUILTINS
K0075	reference-semantics/semantics/builtins.k	4-4	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CORE
K0076	reference-semantics/semantics/builtins.k	5-5	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-STR
K0077	reference-semantics/semantics/builtins.k	6-6	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-SET
K0078	reference-semantics/semantics/builtins.k	7-7	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-ITER
K0079	reference-semantics/semantics/builtins.k	8-8	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-RANGE
K0080	reference-semantics/semantics/builtins.k	9-9	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-INT
K0081	reference-semantics/semantics/builtins.k	10-16	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-METHODS
K0082	reference-semantics/semantics/builtins.k	17-19	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Val ::= applyBuiltin(String, Vals) [function]
K0083	reference-semantics/semantics/builtins.k	20-20	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Int ::= seqLen(Val) [function]
K0084	reference-semantics/semantics/builtins.k	21-21	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0085	reference-semantics/semantics/builtins.k	22-22	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
K0086	reference-semantics/semantics/builtins.k	23-23	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
K0087	reference-semantics/semantics/builtins.k	24-24	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
K0088	reference-semantics/semantics/builtins.k	25-25	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
K0089	reference-semantics/semantics/builtins.k	26-31	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0090	reference-semantics/semantics/builtins.k	32-32	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
K0091	reference-semantics/semantics/builtins.k	33-33	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0092	reference-semantics/semantics/builtins.k	34-34	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
K0093	reference-semantics/semantics/builtins.k	35-35	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
K0094	reference-semantics/semantics/builtins.k	36-36	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0095	reference-semantics/semantics/builtins.k	37-37	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule charsOf(.IntSeq)                => .ValSeq
K0096	reference-semantics/semantics/builtins.k	38-40	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0097	reference-semantics/semantics/builtins.k	41-43	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K0098	reference-semantics/semantics/builtins.k	44-46	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K0099	reference-semantics/semantics/builtins.k	47-47	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0100	reference-semantics/semantics/builtins.k	48-48	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0101	reference-semantics/semantics/builtins.k	49-49	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0102	reference-semantics/semantics/builtins.k	50-53	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0103	reference-semantics/semantics/builtins.k	54-54	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Int ::= intOf(Val) [function]
K0104	reference-semantics/semantics/builtins.k	55-55	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule intOf(I:Int)  => I
K0105	reference-semantics/semantics/builtins.k	56-58	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0106	reference-semantics/semantics/builtins.k	59-59	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0107	reference-semantics/semantics/builtins.k	60-60	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0108	reference-semantics/semantics/builtins.k	61-61	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterDone ~> #allCont => true ... </k>
K0109	reference-semantics/semantics/builtins.k	62-63	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0110	reference-semantics/semantics/builtins.k	64-66	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0111	reference-semantics/semantics/builtins.k	67-67	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0112	reference-semantics/semantics/builtins.k	68-68	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0113	reference-semantics/semantics/builtins.k	69-69	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterDone ~> #anyCont => false ... </k>
K0114	reference-semantics/semantics/builtins.k	70-71	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0115	reference-semantics/semantics/builtins.k	72-75	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0116	reference-semantics/semantics/builtins.k	76-76	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K0117	reference-semantics/semantics/builtins.k	77-77	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0118	reference-semantics/semantics/builtins.k	78-79	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0119	reference-semantics/semantics/builtins.k	80-80	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0120	reference-semantics/semantics/builtins.k	81-81	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0121	reference-semantics/semantics/builtins.k	82-85	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0122	reference-semantics/semantics/builtins.k	86-86	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K0123	reference-semantics/semantics/builtins.k	87-87	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0124	reference-semantics/semantics/builtins.k	88-89	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0125	reference-semantics/semantics/builtins.k	90-90	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0126	reference-semantics/semantics/builtins.k	91-91	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0127	reference-semantics/semantics/builtins.k	92-96	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0128	reference-semantics/semantics/builtins.k	97-97	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Int ::= maxVals(Int, Vals) [function]
K0129	reference-semantics/semantics/builtins.k	98-98	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K0130	reference-semantics/semantics/builtins.k	99-99	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule maxVals(M:Int, .Vals)           => M
K0131	reference-semantics/semantics/builtins.k	100-101	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0132	reference-semantics/semantics/builtins.k	102-102	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Int ::= minVals(Int, Vals) [function]
K0133	reference-semantics/semantics/builtins.k	103-103	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K0134	reference-semantics/semantics/builtins.k	104-104	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule minVals(M:Int, .Vals)           => M
K0135	reference-semantics/semantics/builtins.k	105-107	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0136	reference-semantics/semantics/builtins.k	108-110	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
K0137	reference-semantics/semantics/builtins.k	111-113	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
K0138	reference-semantics/semantics/builtins.k	114-114	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax IntSeq ::= binCodes(Int) [function, total]
K0139	reference-semantics/semantics/builtins.k	115-115	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule binCodes(0) => iCons(48, .IntSeq)
K0140	reference-semantics/semantics/builtins.k	116-116	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0141	reference-semantics/semantics/builtins.k	117-117	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0142	reference-semantics/semantics/builtins.k	118-118	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule binAcc(0, ACC:IntSeq) => ACC
K0143	reference-semantics/semantics/builtins.k	119-123	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K0144	reference-semantics/semantics/builtins.k	124-125	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K0145	reference-semantics/semantics/builtins.k	126-126	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0146	reference-semantics/semantics/builtins.k	127-127	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule enumVS(.ValSeq, _:Int) => .ValSeq
