id,file,line,kind,flags,decision,declaration
42,reference-semantics/semantics/builtins.k,41,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
43,reference-semantics/semantics/builtins.k,44,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
44,reference-semantics/semantics/builtins.k,47,syntax,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)"
45,reference-semantics/semantics/builtins.k,48,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>"
46,reference-semantics/semantics/builtins.k,49,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
47,reference-semantics/semantics/builtins.k,50,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)"
48,reference-semantics/semantics/builtins.k,54,syntax,function,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,syntax Int ::= intOf(Val) [function]
49,reference-semantics/semantics/builtins.k,55,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule intOf(I:Int)  => I
50,reference-semantics/semantics/builtins.k,56,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
51,reference-semantics/semantics/builtins.k,59,syntax,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
52,reference-semantics/semantics/builtins.k,60,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
53,reference-semantics/semantics/builtins.k,61,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #iterDone ~> #allCont => true ... </k>
54,reference-semantics/semantics/builtins.k,62,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)"
55,reference-semantics/semantics/builtins.k,64,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)"
56,reference-semantics/semantics/builtins.k,67,syntax,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
57,reference-semantics/semantics/builtins.k,68,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
58,reference-semantics/semantics/builtins.k,69,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #iterDone ~> #anyCont => false ... </k>
59,reference-semantics/semantics/builtins.k,70,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)"
60,reference-semantics/semantics/builtins.k,72,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)"
61,reference-semantics/semantics/builtins.k,76,syntax,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
62,reference-semantics/semantics/builtins.k,77,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
63,reference-semantics/semantics/builtins.k,78,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)"
64,reference-semantics/semantics/builtins.k,80,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>"
65,reference-semantics/semantics/builtins.k,81,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
66,reference-semantics/semantics/builtins.k,82,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)"
67,reference-semantics/semantics/builtins.k,86,syntax,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
68,reference-semantics/semantics/builtins.k,87,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
69,reference-semantics/semantics/builtins.k,88,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)"
70,reference-semantics/semantics/builtins.k,90,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>"
71,reference-semantics/semantics/builtins.k,91,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
72,reference-semantics/semantics/builtins.k,92,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)"
73,reference-semantics/semantics/builtins.k,97,syntax,function,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax Int ::= maxVals(Int, Vals) [function]"
74,reference-semantics/semantics/builtins.k,98,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
75,reference-semantics/semantics/builtins.k,99,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule maxVals(M:Int, .Vals)           => M"
76,reference-semantics/semantics/builtins.k,100,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)"
77,reference-semantics/semantics/builtins.k,102,syntax,function,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax Int ::= minVals(Int, Vals) [function]"
78,reference-semantics/semantics/builtins.k,103,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
79,reference-semantics/semantics/builtins.k,104,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule minVals(M:Int, .Vals)           => M"
80,reference-semantics/semantics/builtins.k,105,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)"
81,reference-semantics/semantics/builtins.k,108,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
82,reference-semantics/semantics/builtins.k,111,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
83,reference-semantics/semantics/builtins.k,114,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax IntSeq ::= binCodes(Int) [function, total]"
84,reference-semantics/semantics/builtins.k,115,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule binCodes(0) => iCons(48, .IntSeq)"
85,reference-semantics/semantics/builtins.k,116,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0"
86,reference-semantics/semantics/builtins.k,117,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]"
87,reference-semantics/semantics/builtins.k,118,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule binAcc(0, ACC:IntSeq) => ACC"
88,reference-semantics/semantics/builtins.k,119,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0"
89,reference-semantics/semantics/builtins.k,124,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
90,reference-semantics/semantics/builtins.k,126,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]"
91,reference-semantics/semantics/builtins.k,127,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule enumVS(.ValSeq, _:Int) => .ValSeq"
92,reference-semantics/semantics/builtins.k,128,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))"
93,reference-semantics/semantics/builtins.k,132,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
94,reference-semantics/semantics/builtins.k,134,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax ValSeq ::= mapStrVS(ValSeq) [function, total]"
95,reference-semantics/semantics/builtins.k,135,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule mapStrVS(.ValSeq) => .ValSeq
96,reference-semantics/semantics/builtins.k,136,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))"
97,reference-semantics/semantics/builtins.k,137,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))"
98,reference-semantics/semantics/builtins.k,140,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""int"", I:Int, .Vals) => I"
99,reference-semantics/semantics/builtins.k,143,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
100,reference-semantics/semantics/builtins.k,144,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
101,reference-semantics/semantics/builtins.k,148,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
102,reference-semantics/semantics/builtins.k,149,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
103,reference-semantics/semantics/builtins.k,152,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
104,reference-semantics/semantics/builtins.k,156,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
105,reference-semantics/semantics/builtins.k,158,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax Int ::= intDigAcc(IntSeq, Int) [function, total]"
106,reference-semantics/semantics/builtins.k,159,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule intDigAcc(.IntSeq, ACC:Int)             => ACC"
107,reference-semantics/semantics/builtins.k,160,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))"
108,reference-semantics/semantics/builtins.k,163,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
109,reference-semantics/semantics/builtins.k,164,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
110,reference-semantics/semantics/builtins.k,167,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>"
111,reference-semantics/semantics/builtins.k,169,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>"
112,reference-semantics/semantics/builtins.k,170,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>"
113,reference-semantics/semantics/builtins.k,171,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>"
114,reference-semantics/semantics/builtins.k,173,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>"
115,reference-semantics/semantics/builtins.k,174,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>"
116,reference-semantics/semantics/builtins.k,177,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
117,reference-semantics/semantics/builtins.k,178,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
118,reference-semantics/semantics/builtins.k,179,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
119,reference-semantics/semantics/builtins.k,187,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
120,reference-semantics/semantics/builtins.k,188,syntax,function,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,syntax Int ::= evalArith(IntSeq) [function]
121,reference-semantics/semantics/builtins.k,189,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))"
122,reference-semantics/semantics/builtins.k,192,syntax,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
123,reference-semantics/semantics/builtins.k,194,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax Bool ::= evDigit(Int) [function, total]"
124,reference-semantics/semantics/builtins.k,195,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
125,reference-semantics/semantics/builtins.k,196,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax Bool ::= evHead42(IntSeq) [function, total]"
126,reference-semantics/semantics/builtins.k,197,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule evHead42(iCons(42, _:IntSeq)) => true"
127,reference-semantics/semantics/builtins.k,198,rule,owise,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule evHead42(_:IntSeq)            => false [owise]
128,reference-semantics/semantics/builtins.k,199,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax Bool ::= evHead47(IntSeq) [function, total]"
129,reference-semantics/semantics/builtins.k,200,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule evHead47(iCons(47, _:IntSeq)) => true"
130,reference-semantics/semantics/builtins.k,201,rule,owise,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule evHead47(_:IntSeq)            => false [owise]
131,reference-semantics/semantics/builtins.k,203,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax OpSeq ::= tokOps(IntSeq) [function, total]"
132,reference-semantics/semantics/builtins.k,204,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule tokOps(.IntSeq)                 => .OpSeq
133,reference-semantics/semantics/builtins.k,205,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)"
134,reference-semantics/semantics/builtins.k,206,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)"
135,reference-semantics/semantics/builtins.k,207,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
136,reference-semantics/semantics/builtins.k,208,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(42, R:IntSeq))     => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
137,reference-semantics/semantics/builtins.k,209,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons(""//"", tokOps(R))"
138,reference-semantics/semantics/builtins.k,210,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(47, R:IntSeq))     => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
139,reference-semantics/semantics/builtins.k,211,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(43, R:IntSeq))     => oCons(""+"", tokOps(R))"
140,reference-semantics/semantics/builtins.k,212,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule tokOps(iCons(45, R:IntSeq))     => oCons(""-"", tokOps(R))"
