id	file	line	kind	attributes	role	review_decision	normalized_declaration
44	semantics/builtins.k	61	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterDone ~> #allCont => true ... </k>
45	semantics/builtins.k	62	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
46	semantics/builtins.k	64	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
47	semantics/builtins.k	67	syntax		supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
48	semantics/builtins.k	68	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	semantics/builtins.k	69	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterDone ~> #anyCont => false ... </k>
50	semantics/builtins.k	70	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
51	semantics/builtins.k	72	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
52	semantics/builtins.k	76	syntax		supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
53	semantics/builtins.k	77	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	semantics/builtins.k	78	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
55	semantics/builtins.k	80	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	semantics/builtins.k	81	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	semantics/builtins.k	82	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
58	semantics/builtins.k	86	syntax		supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
59	semantics/builtins.k	87	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	semantics/builtins.k	88	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
61	semantics/builtins.k	90	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	semantics/builtins.k	91	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	semantics/builtins.k	92	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================
64	semantics/builtins.k	97	syntax	function	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Int ::= maxVals(Int, Vals) [function]
65	semantics/builtins.k	98	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
66	semantics/builtins.k	99	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule maxVals(M:Int, .Vals)           => M
67	semantics/builtins.k	100	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	semantics/builtins.k	102	syntax	function	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Int ::= minVals(Int, Vals) [function]
69	semantics/builtins.k	103	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
70	semantics/builtins.k	104	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule minVals(M:Int, .Vals)           => M
71	semantics/builtins.k	105	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
72	semantics/builtins.k	108	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits
73	semantics/builtins.k	111	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
74	semantics/builtins.k	114	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax IntSeq ::= binCodes(Int) [function, total]
75	semantics/builtins.k	115	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule binCodes(0) => iCons(48, .IntSeq)
76	semantics/builtins.k	116	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	semantics/builtins.k	117	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	semantics/builtins.k	118	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule binAcc(0, ACC:IntSeq) => ACC
79	semantics/builtins.k	119	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0 // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========
80	semantics/builtins.k	124	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
81	semantics/builtins.k	126	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	semantics/builtins.k	127	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule enumVS(.ValSeq, _:Int) => .ValSeq
83	semantics/builtins.k	128	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
84	semantics/builtins.k	132	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
85	semantics/builtins.k	134	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
86	semantics/builtins.k	135	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule mapStrVS(.ValSeq) => .ValSeq
87	semantics/builtins.k	136	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
88	semantics/builtins.k	137	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
89	semantics/builtins.k	140	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================
90	semantics/builtins.k	143	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
91	semantics/builtins.k	144	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128 // ==== str(int) / str(str) =================================================
92	semantics/builtins.k	148	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
93	semantics/builtins.k	149	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
94	semantics/builtins.k	152	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57 // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)
95	semantics/builtins.k	156	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
96	semantics/builtins.k	158	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
97	semantics/builtins.k	159	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
98	semantics/builtins.k	160	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
99	semantics/builtins.k	163	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
100	semantics/builtins.k	164	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
101	semantics/builtins.k	167	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
102	semantics/builtins.k	169	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
103	semantics/builtins.k	170	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
104	semantics/builtins.k	171	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
105	semantics/builtins.k	173	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
106	semantics/builtins.k	174	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
107	semantics/builtins.k	177	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
108	semantics/builtins.k	178	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
109	semantics/builtins.k	179	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0 // ==== eval(str) — arithmetic expressions (ints, + - * // **, spaces) ======== // Python precedence: ** right-assoc, then * //, then + -. Promoted from 160's // trusted pass evaluator, now DEFINED in the reference and driven by a // code-level tokenizer. Reduces on concrete strings (krun); a symbolic // argument leaves the call unevaluated for problem-level folds.
110	semantics/builtins.k	187	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
111	semantics/builtins.k	188	syntax	function	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Int ::= evalArith(IntSeq) [function]
112	semantics/builtins.k	189	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
113	semantics/builtins.k	192	syntax		supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
114	semantics/builtins.k	194	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Bool ::= evDigit(Int) [function, total]
115	semantics/builtins.k	195	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
116	semantics/builtins.k	196	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Bool ::= evHead42(IntSeq) [function, total]
117	semantics/builtins.k	197	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule evHead42(iCons(42, _:IntSeq)) => true
118	semantics/builtins.k	198	rule	owise	supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule evHead42(_:IntSeq)            => false [owise]
119	semantics/builtins.k	199	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Bool ::= evHead47(IntSeq) [function, total]
120	semantics/builtins.k	200	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule evHead47(iCons(47, _:IntSeq)) => true
121	semantics/builtins.k	201	rule	owise	supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule evHead47(_:IntSeq)            => false [owise]
122	semantics/builtins.k	203	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax OpSeq ::= tokOps(IntSeq) [function, total]
123	semantics/builtins.k	204	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(.IntSeq)                 => .OpSeq
124	semantics/builtins.k	205	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
125	semantics/builtins.k	206	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
126	semantics/builtins.k	207	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
127	semantics/builtins.k	208	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
128	semantics/builtins.k	209	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
129	semantics/builtins.k	210	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
130	semantics/builtins.k	211	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
131	semantics/builtins.k	212	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
132	semantics/builtins.k	214	syntax	function, total,function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
133	semantics/builtins.k	216	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule tokNds(.IntSeq)                => .IntSeq
