COMMAND: python3 /audit-output/evidence/differential_test.py
CASE 037 x=13993761062383298253090360709093835240767001394646886849844818526923163296441715 y=-9758360645278205740132138939737942704015511479797087216946756335395768014822783
CASE 038 x=-12207346971937888806876194399653853247992587834638866068751400669419073856377662 y=18876542668553699546524430917893656438864009121339564849931716265356523067035276
CASE 039 x=173826464990062037353911795664588916541489925203220287962870326426709913715744 y=68450863153058241770829541228319262883676829652394413130113409389364226071068526
CASE 040 x=85002904195880180020302649230611751266778914104206708193119610550841731307179003 y=-3111844001943223725274795011385359400969148201388497086922583159296763114046967
CASE 041 x=-79765782906543354227472223790282013255993335202540280041459196894718328627151970 y=59629421733348862308321286599641089408536595537017862285205745407471901128738133
CASE 042 x=18640181987039793563270685639777189306480215271499853063786410701930794028787613 y=-68073161775134720295112205459300378255139217422942828455022525325475985952368054
CASE 043 x=-51915067404572282685712535218171118595627321046148757985385349721003186949174783 y=-15677118198009877358456976135400755201920712979074255314042855589624438005982207
CASE 044 x=37064545623058188577888518588806178081029042369922522623601612954628678410086647 y=26216550460949222855072399014954615047857125845714053159210413708636990342185404
CASE 045 x=26905363361320480846608748064753907876948648576671351224185855827563973307890294 y=-23263593389844636257734837359861539192651418227745313958405267156128277960438145
CASE 046 x=34812578121267854133812098733481918079357055465111488160764668139518802390769172 y=58800098767932418624844048264586134836499714316446307294409652183893813372543722
CASE 047 x=-84497431239695407189193738931605114898054457812052967315365578861968230538777921 y=-91563400068945268551329916563291581864729803601258791162359605647925228793885245
CASE 048 x=-9816889813015718951744780931129764188676511953193804179985390376078429852040125 y=-14438887162893799523009738730058188313725751509727543127479947973318773849075771
CASE 049 x=-34987409004852772301598589139121880308437949325524544312455791891465281071046866 y=-4340362848832048349883551785469549359812210872557861274400191402312392272474163
CASE 050 x=9767477131930424585464551416082748990237385947417035658057460832746899085791428 y=24339315468397816490578732179695006857716875480264107176689034796778572544427943
CASE 051 x=-31347275122912853153966870517496939892777903774127497796678736067214844003764261 y=55824095445860101049294001073317135173952358029875341670279309400347260347109891
CASE 052 x=-64398841813776690692278468371504653486853401715956777231428560417883790069581127 y=6785523316979762401806460639303528413445110758001767248512179852796892102199856
CASE 053 x=-43736537054972981371292699514409428794146059662172415147675599120757965039132850 y=34996203114342599938357183653648082495617071800426516281718048313508470260026442
CASE 054 x=-31996652061433983718498031177352869867251917446100259325320171125551659709612041 y=-80947710367951484511257099422178630990393837898144303127732386922639217547468034
CASE 055 x=-82053081145826446090156787349757031365474000698810276124135383590091450923154305 y=-92515260707721326880919717584738253682996706019232165283920416095851784385388024
CASE 056 x=-89216915243897909720171651014718128129552225428380485802986118293260380672166535 y=-49254996237786282855753801180045027924312498406928530041494937489607693681729457
CASE 057 x=-26764864660393613411311343109946398453953557629083869862476377476487243869034277 y=27366020322785056555721517637622112173811616833980654670543191667847189587514719
CASE 058 x=-27689845604423221890792724031913572793165818574190905359660021630720663311020882 y=47187167606590692846889418178271214116644715953369904916666142808352441852291362
CASE 059 x=79157859396178621002130877868397997614536985470963051757821560934903319806303462 y=-78227092692326762137430098673313815056440088687926092276492804416209719438624392
CASE 060 x=-20800672292819934909744195819722825189482500380244707379748761114850202145380096 y=3598305463739016225093922001459741720409981416792698257477948614602153839158572
CASE 061 x=-36051894140465491720689003758850885815971648703450678616663393373412919783894759 y=30698776847998267519900525345171779912816851731196782499811252896574498291797674
CASE 062 x=-81337824331921332504519826151539044514696372656598978334755696633652377316141610 y=41378082354114989401604195826627911864116659988948801417316082843861753520433283
CASE 063 x=46688944223266444423767585270257770600258738354815132902729326835633965858845084 y=-86664369056491094207192645207602391593897043802762498936341998210374515963212227
CASE 064 x=85812358356115377076994294418345159598244405490864252250363267410123142555123211 y=83182003688791043671631734127298654368148222246138894843928232219283103363356587
CASE 065 x=-13149980078911417844518286203668256912292995490408570608691313064683369540913255 y=27441761616380461179253181537829121367542475946940775643525257308586696307244495
CASE 066 x=-65441206333025651012836708570550498593016737960702155106370353937103070839488707 y=12011283661509931282311470417562964102716194253889394677632875889473753943836284
CASE 067 x=-6980423351771965820757952477615566445528803919112265413652577314705822261108978 y=44027104065444843856383938577551538648773756258543774038395880291671665527656584
CASE 068 x=7533495758577492687298645514242525408082764230904974483575895573747252622798816 y=78147321846174739734604548319627700949430909573506045593868355094397273421475074
CASE 069 x=-48405507772599019247816522646827213434485301838128794768086267154478734234016698 y=-49589441612908750878676565436697832606394175843587793579387936067101300016611444
CASE 070 x=-67710101526935817582694622893564421182693706447227231460924689640284216530584031 y=-43929594963594974417083968278666519074837752488805234934407797425915573215022541
CASE 071 x=35684941548205771897290503114898885877682952747751712273445881084258283282907357 y=16444700509746982267488929875869159162517246489160306491635610024782372057369189
CASE 072 x=74724464592122088408394495454778692744539883763010756281363714139724691805455288 y=-76707995696156360332131663849674766209105089304600288548170487087561925444469719
CASE 073 x=-8844800794618830035211599677896814935259874505021851914177524206421105772858085 y=46551367968305697945688710618756950912508262961141381308128389027624256763286632
CASE 074 x=91355569873904986764485850418499250509267847798237390858922492723508364056108389 y=79217101960726508868369622317881448979138758302350907588426731920191519579771782
CASE 075 x=-67481987061330289738254783472358560835698970946965625759710491169230531900993385 y=-93511061737123741204266479348879986351565078229667388241981955780725051355812428
CASE 076 x=15296223380845121177338296520186245792966033338910049898164755998871680843397178 y=65832384161931649291064260614177390259833256029764785514594109099470413801773459
CASE 077 x=-31148824600140066399454345439720089865037377501692726627856644978215540916090998 y=-19989026814654600946061672387355009140168014591710777768003004967221354079121154
CASE 078 x=91644510202701980688036095262910144543104196377652241936700082343371403576328492 y=51280467934178040266929234253303912126002397812656130108036844926542570884187310
CASE 079 x=-11662529957190094821639544840824907902651657114733011275416505122459292523544404 y=41269794333977290054657418533067360113667382722685259774045475139454942893756998
CASE 080 x=-84588829846805176309958333425386489415999045975321555376667856496328450517802026 y=31621959880950541907279399225823750310416013489866303641943199671655411661207867
CASE 081 x=-54699409198720100030934055514064489123395221470088699609117672996234944982356059 y=18261022523158531554713137737965161042618578129031713689506040958524578309155597
CASE 082 x=29196146999584474964614243669073989604698220221749129651892808397597936324836064 y=13288842060328473883758453215156725573974053849221470108938556244715677252251920
CASE 083 x=58313393018801387569146683105674026741031152842102930998711751718047562758466882 y=67033037966036078583478708613222536680695813378350541015223700511602125963153615
CASE 084 x=-88105131779327548821917335910643525671228992139077353992142609869581930741074623 y=-36384789661640344719430818202662885962192615025876616962056646153092787639168518
CASE 085 x=-54649747651424559286027886012117257292940991782140578457580180324193044206628927 y=89535305453541520445494717198576407585574900198313896085185807298465727059545660
CASE 086 x=42280838900018458837793052013069117749555376608954297831745045982592819437861993 y=18918194344677298363440891532921630579222146529521355646624199629647721648908332
CASE 087 x=-88125855954200468207932986133511139441365529265437794149385652884799570107177622 y=-42254933470285884109137708295106118428191281191314824102988199506770711571747336
CASE 088 x=76280404601345094796213462425066498780378673230839872010412701974714187078695477 y=-7139592336932378197830188407369351178809677761921371284986971674289073552046110
CASE 089 x=-68453671781391020163085441102968339374061107537431233366890936233024567001107371 y=43468808955078160240340005753855862381689244858636460893103125595039799124554507
CASE 090 x=-26830312978694840609056554242638483006464170799236911100223469851980052194746779 y=90099715940002179191751884168556260270034663949128337952222750150029176543670625
CASE 091 x=-31578772176290973998843764112872382741163436273503610337264715023585982813870038 y=-43364092281485653687126063231830196844710113697265576825864353506474155031137965
CASE 092 x=53910747298072543861812940486177012719540586147273692328741936412394940018549342 y=3904008433398376687337869486865479266431224556505060969957151893536523119024372
CASE 093 x=-99535142874972275403836231765508415216589785040847485927334156659460198629746034 y=-11199302371563022696653778001019019925520932837280913321994300484732734025590117
CASE 094 x=-39399352891790997878916512236839391014236338606372248755303237331823266653184856 y=75132464412726331477711426412243737410061254553036832561575840390469945142351402
CASE 095 x=-91519113822498485337895278110078689513605504221215190954826101630774690494162303 y=65499016279892580622022294517654337738328976942612593418209773786295883873827851
CASE 096 x=-77614280880469965976953286164823823560710038271270990458945912022618023405153358 y=-93053457172929590420106158900720995822575316648096375235053479541175938229341322
CASE 097 x=-20074474499405877009423254167142856000480246042805416991447933051394078339865295 y=90608078549344621233334010407206572999196431028693405947094403884064654787667550
CASE 098 x=66832717421579128305081948938561992328197198772255315695555099382602645340346556 y=-81408769470023411603452683412327017996808826593282786133059293457481896269219640
CASE 099 x=33546246375271180650443309935841681756756239940251703318566580904309720594940846 y=79637982965232390165258954297767883270790337085003158234760194936388806153971373
CASE 100 x=-20352199147543125697753154783328695121013674847490843857733431175434259279706710 y=11160420308684173827972968290968306403715214674634307661308319547288767222100649
CASE 101 x=-65959173792589751861248209854517743259979254210212937809897940579364722049744759 y=-43350323807918225284996878266233661457339014523178588897345523116643762304530374
CASE 102 x=-33917808588026877395684975074388416794254510039721257291332970336356251804068258 y=-78139570100980159565179998100408396287563401130118739177910999906541723996011154
CASE 103 x=82197162931864979518689479051197871867088228442530803595000242670427372625704487 y=91684320635871928354361880433662735336849886396808636706555566126267357954231924
CASE 104 x=-44016590844551848754704971494529866891062669534253141442838795771206535168072954 y=-44201064491378418050012795589401204121755949678463615058750863929664438159343828
CASE 105 x=99654097105554458082416590806738726424913686996810381599995480165565138518525905 y=75448480692909971902313858779667278154887300244288079063555511251149305898195821
CASE 106 x=58842586804241018922957550851875300423986994797138467084508351045761293077868560 y=75193651434038006894849148536379321712800856694077855922829903391647366665482905
CASE 107 x=40094048966351761180288780149456859501962256867371031939277156837974904181424192 y=57259508919228151704359756748481136336358688638082937695728569624705656547776192
CASE 108 x=-9169721893941101070151580519395695378338162370914728958024882612157246779678932 y=-20087717204454888903847760542688352261087461291545802664288316434888200449819829
CASE 109 x=98979419308148027104848378388269543360258791027850606387856611289199989809381296 y=-6242724586876572237864787949757575967529270362805392122345548118846302174035686
CASE 110 x=-84173578842690910703844981652197023775731483162310075944548430449692940196636936 y=51816299656190020776010030525309824808217753076008519535111228820999542643584698
CASE 111 x=-71301945819223351531025549333164906954034553651813872893869587995953468869209613 y=-32274041378183358163646357985364219124913451451953212348094014062813920554420166
CASE 112 x=-19322498699883170182486956682798792421476487575418476154778784963851122762681942 y=-88672614156015290926889652457680827232262396329484203195187328725673855347379768
CASE 113 x=-99876373467660330378501305965038039872673013118939799570479352329875834065276155 y=80829537244963506450930519022710157383427388416295527968897105843181456756549848
CASE 114 x=71770053513763325777268030326932155970828375013835940967765178125404550331165364 y=27359870487834524901205451796329136109402297096652019577925799752480670542327334
CASE 115 x=-89802978195052037951878849878816332112859827195628013023231630036348454914724937 y=-56450130837645979002069155222313083525758528210177643585409449276428111127004335
CASE 116 x=-78210007892855495577217786813459112975063020507501043188132044966575578686794220 y=4613008309783003989498998321783484396477191376583386175152178602385110678461660
CASE 117 x=-70655537973462800729764778427824037562645826966019924649927183598384803136384490 y=96836331949995965964591470798853500994813934079106108558352597115493961701233115
CASE 118 x=49524561264958060469693452400650911860660478883001137854551581855683882509158302 y=-30900171297827680651834286902910064205117528456253470137323283418706069778769362
CASE 119 x=17374552503631975276224367943787202860036990003463375941319214340714335736046733 y=-57511247326343508844745168894135222823085799985290221280807202652677553024194556
CASE 120 x=-32747658847824181993397609481763241092644277005587882297761091560390198446635133 y=47685702830807377385157629392190662138244667106342511250126928575965656251993347
CASE 121 x=-63751724372470899986846741988651960164349534012369574418344037182619303730133690 y=55697526997977673647825970253768740471823540378404301234869607768873567836796008
CASE 122 x=-17672939884354926434805851904089037044792962418970286339593541175138297434409403 y=69723743811962816908872920744335283134498924567504911031629029458652209044796491
CASE 123 x=48359827401908988815400464663825142204511361253088113242400952371420872835185579 y=97821505732063485893370994229672557229918540225529752001811367365300251771315271
CASE 124 x=-24394139893569360823826346680463303731481504298701231753888031852649509181902792 y=28641594459675868755092135004225070433968522479502017197793606078317650139345648
CASE 125 x=74812386964644038657052227566650733144303946420852213649573086637870869642199419 y=21915423230074783746210184904084192791831098019994925331692893675191651182831467
CASE 126 x=-1456567321436726467517459938313301193449728181190605019548471634213992844332281 y=14154604883884021240577602431804832565745216661725597229592741274521631942080577
CASE 127 x=-77326260769819146034275725177668529259840443940355840200741953094448416072438991 y=23871533731678057332571276281222121370955952716613933087184597965236461687279286
CASE 128 x=49418891543951934542734175051483339875101572610918369575251185489091279012930060 y=-68741848867777774019799692092767808380457866775402110682133794133674763148079772
CASE 129 x=-53984697577820558691716322130799047986516317554229548465385531487651202517304627 y=67478228480578191666920914004713587599858610800482550321578364985971650720736953
CASE 130 x=-79466336930496937229407001369234203653992825016144958391380850454218381040165511 y=-25430855936766011997086593471483751810048407951781783402760749277385611028906439
CASE 131 x=-17269747846983148461911189274982711811702748500854615016957001897261396153464984 y=-71938674878805238638586634848876428946242620747535615051834039948647611658003454
CASE 132 x=-91129468687998571819963084758907290486477617142949546215584594702548100872006344 y=55605240039140204114123834472309689632743223721615091182773985008981635903535500
CASE 133 x=14417718307012428899045644792834694944745463664035180239424762970561197744657661 y=-94835591403133141293272053712332308697303959017888695628284228826675920424166684
CASE 134 x=23957952847100419948402303732978142736923646949576341241688935846220467388639468 y=52256418113972351493801514951976475303078640403914710617382793288969643476278900
CASE 135 x=-55522432118694926080200599795349549598217725679785827340633249036058559801578405 y=-99106417427319284184440718938824753536143267080922774924113707501379108080747826
CASE 136 x=41247517511110363996381331197276962156330424528063413244246734019132732065707277 y=-47529220364241270914670256143149070643853963783157594798891068680354117116608961
CASE 137 x=-21403596928629005040384019850148016000297620473338395075769197363926769389501300 y=-91678879940425124307265015038941453149548420731489069479585993289505225782717631
CASE 138 x=98644204756823520058713846075129628380696270138834126640423749134670688000858210 y=-64075247284949256847439483847804900978958830713743962008097312115206173363631653
CASE 139 x=-91620474290719452560857080855941402963151690682842555829564753159871301833475344 y=48753515430649459412883961696428191694976539250490608204097865470611253546778903
CASE 140 x=1462079058579278825793802151928214334482847639672052230281211584723294441359807 y=-32866013898420625811575512679314439243706929792902127842578877986560327897586047
CASE 141 x=-35697781776097646106857725970178115414456871667729447169070922897511339722694616 y=-76305330513818419268621716209053579635688066384503788974029757166995014453690901
CASE 142 x=-84891068686099715774346969755557718769355970412978714982250058081761784821805410 y=58944969269281132630649126726334029227920803185316675726918989151237295429454102
CASE 143 x=93593737475225557628398864667375418149463147811285465817024988031853017957415 y=-82951848073213134982991598077888972332445212990409334252608773366339641346754478
CASE 144 x=99316232603991841072756588776610124666608194997726508048775546259424374032743916 y=-54843370444059826213689494537548394135666870684509449542441736268285100212876532
CASE 145 x=16891242677983612319344756207671101112814808256198284314191128613847722431553542 y=-65494080438979799075324282943361287660447639934870540226582835539079027544155706
CASE 146 x=-82291704793796471286055182277733802110022800867536041690898200384200454550268700 y=87038937062546244308599358989767068009087455481310765788627028546639921499232991
CASE 147 x=-27996945133111915599772024694116306106631758529068807023728912511812311364604054 y=-73570561987765045974073020462223658345067477459736166560247261070567208183868384
CASE 148 x=-22048942293982951998813669224462376500662183471499344316608754026206111586597966 y=-43770617814611215979945174900722269235871333324403218416540473099106973657336876
CASE 149 x=-93123460903791912104758398133180867015978803603473373330627568422228727254056361 y=17995786277086866045140890037087473836241465048250930784619092348287857484868640
CASE 150 x=6844004317215159187373977512052095473737053461649463791991240273064575916343203 y=6667424195102908485842356116701635406126235853904376797089872858195875934854304
CASE 151 x=-66131099198742207057355394085480715249333800251301236273890891177000090056302700 y=68226826550549507776502474104585878568277669770273856256052038297619015774617991
CASE 152 x=-2298533168237896386672523595540602365523769338306519328373929452703312458047269 y=23406190668789281875200037445951170274061016216390871233642612390400985078829078
CASE 153 x=-79324920488886273526882853130166855084121388556239528044592817831978791009536009 y=-16806940156800286198306327678283871528521824266494338987572809078176307710176776
CASE 154 x=-6150565200020140987299117603241138169470291136993115316317052148834691584165752 y=-24287545151050888988211757290169384678070473940606067988541750504849333338997809
CASE 155 x=-28263394923262917038250892257578423005014138558043338444790918445495066792319500 y=6238498648107021624201008996724981096570622314387346338413880527399564555302872
CASE 156 x=-98843364271716093465222551864874720318828511234247419695799998397598163050790394 y=43536372526371037529391304279383634037276509144995004605343299566352770949737867
CASE 157 x=87915633223846990908792026127748108717730521477554847773831642803474046560302331 y=-42865631936004905709306897569263817903056809196018849780723052092806861698404448
CASE 158 x=25784638058558316486422712061244341127026565425009441445440172441304604433450153 y=-64804350520969063059153781738173989929848536095666235835260319493564206079489011
CASE 159 x=-32370836057572511725724686411653232835987650017355362862688371058914011042013081 y=-58217217383056495241465447451234798075883710531721407791177461777410674743436230
CASE 160 x=95421973658379623812367605643381174621151599540879024432380102448220809358557636 y=-22151586323292541470693655860917231329204393888664128296698568204489231899319125
CASE 161 x=85317814669095410984781229387447319965379867563446898507841784729288358369653473 y=65691937415982141704485262439019076052157927204042169939964348900285954452989628
CASE 162 x=40354460180026013168603440851141212748148630688498659175562563843847264929046475 y=57255624048139560432018235053253145477759416114731852315898363495684369577901006
CASE 163 x=34368898095514816420898106161310692508061655177017794156743633609793685966662216 y=79317096537108097870547513963010523281510009648919617986731943696224763460643672
CASE 164 x=-89260385619212783926241466695815634978833882581332510830862878532721527089150637 y=-50108218750874986135960222502083421313315042223540728145702596701623313019867591
CASE 165 x=65127350198188111275511252014713136692553895842638172306834871957717295389860283 y=-98114791583583548037287600719103302751043109714951567337927028856938140158396754
CASE 166 x=87128971975818650467311573366139857646562728627672019205281268948138620654504280 y=-72394131583531718026809287267818842986507160445135883376933927308704407064651613
CASE 167 x=85321442342739011014799375502717304300506731918031511939899965783833452640359290 y=-16897891352491012311766795032758429636003674103042640538093325708445627447767032
CASE 168 x=-80746472206854836524170358373755337039993733578396867384303247982144876757053880 y=52252085478224159162057187705374421947584211380071027936035076593352500540460329
CASE 169 x=-86244037970031613513658056799883828671204008575263909326300225720898343517096313 y=52459134128695606922928754834938787035604865824147167304529531265966937008704380
CASE 170 x=52210538336182343197312225152407763900717120148781817352041049656238183192642053 y=-70308846137918074417762722900916114260519208084820964930539141181877784400040975
CASE 171 x=4460722533092214511162603720603674067637459610348268561430677452578464110803535 y=-98876253111444278449242311297982430818262432440915865438842749235605583942318416
CASE 172 x=71190851161353594131750810902565523204775671864856863039807334798239381918515545 y=66649470672946066756730387806111989161640081307603824585292760442973913592345944
CASE 173 x=16821900719476489153417289107804715705103344625864482690100125504154789794077522 y=43911556954308399051457471993816308251578474013041730037139001114117198689774741
CASE 174 x=-76421657642003358106880475781719849224851336872891580505610690940361040864551429 y=-48886337532677970007933257444347286887362289471828346501117610248146738764240679
CASE 175 x=91910405179736813903668176166915139352616581660909955417525225489159245570448256 y=-65670622255660639840432365299543173562605751146079007662121114936828264354194203
CASE 176 x=-99650779780070407545736792069048191778914480951787487665349554724712774856374849 y=91007142163692649320036803423787787932229354306969109634613076939059758616448325
CASE 177 x=-17081343489230448892224906770257947585353800997217626735534753529130310772010954 y=60298691608546951627373639069787664144136753840821151836631852708220475618137690
CASE 178 x=52510809561005497836437305763271731701812097603756132217714404120343280891922833 y=-49828639398694092340137721721659975039074615830970168801800962550377912093152738
CASE 179 x=-84786298834520340059632567314294809341699572618845250408212798177116785536500062 y=-7202234979223287281562994680966749878360885578663446186085618755065688270215182
CASE 180 x=92854129522553221070596469645948314722037034505576753821548895034333118064062275 y=8867014819714892706226504835080688144750584049464928354990047526037907447721072
CASE 181 x=-87257258617729125512042145878904855076409339915280829442585540038845179880381112 y=96890007200163749040960184200368358715849958661542465430298774751847733008170194
CASE 182 x=-88557116916756535970555685056174345817522993998291354791439379698497658442222065 y=-50758192386205741933402220664689363140655137783838478416694010188907658030225580
CASE 183 x=70617249764080156446520415682566324133874739859346870029052980487345193531533039 y=-64472150158595793448709325122615161562571740698284519893673405884532481249285784
CASE 184 x=71497299296522335669098218414417641162672588859844990988800176206175916561825271 y=-31505640968187516347882353147217970842634020896474516659663113759660372390796974
CASE 185 x=-28333110334166107136435461953709022411418139226342125900028132290061153990144904 y=-68342170499018130171253857648700143090859449525691004752248084436204968745361563
CASE 186 x=48837387925029261495173813253158991263698659022118327596145947913464268229073298 y=-11648375235216881605289550109894902365501135356277606024124784439640247345173312
CASE 187 x=40633768333503712609356910122580477411929283478784001057252718671894961730906285 y=8655884732108466352595756704492112767035078539006673508580737925082137384401531
CASE 188 x=-24184305684009485209335437956829643286064373805599848521806053489425814966623405 y=-70665319212163021887632463665666971685753728925996685725378216899389474191466615
CASE 189 x=-34470540495394628641755807238289626401809599718110197008944010849730662332411198 y=-27287013536061744491004003276114778354626405755766252088246705131335150958641569
CASE 190 x=8247015196789390759997914400351505161878503875298662152032697038304257889097147 y=84923622776818871531031117419410382705894092134662333699324075344457797251036989
CASE 191 x=-69494786585268689127972557831091347630020331380474270028492175429225071938740126 y=19119948711783741699281796509962187289620434690551702773156567457412176774472964
CASE 192 x=-98914149948569277605908179958807637715027266833683728444338059534203776710670986 y=58726614704277758695183789409728117810543323214106540244985006531247323008029415
CASE 193 x=-74146757347650706465719633662189832212715251622058924559253100093415946107762304 y=5926701599526863057468974312323730628014853606013753255142466818990550328569880
CASE 194 x=-25353888641584375980002369156800843897547181070348699807139830886984646686156689 y=-91513083677763321347410612376852797586876758874305381979220578232889273866432505
CASE 195 x=60673822171653657022348729646515031264163399538790225487473505897812341583340858 y=19907738794138928189260406806199891608755212842959796695049081587630270921198755
CASE 196 x=5062882617563028576736334144210436329193970962213477079734399901953827302052594 y=56330379407798157153182096429169590798287917020852192268319816912279046019909921
CASE 197 x=59002289801419725504439130230192132234125789450091278209399688447377598201333289 y=11129571011645604617065168833443182924248872346741625444151091091184745026107836
CASE 198 x=65443381855532061647259218015399866423897452536321052393330713909754177502769872 y=48167720121718499052569179325909693976684741367891870793682970744993292354845534
CASE 199 x=-41770595310888081064969266600418807741123213405072480499593672936284260087623691 y=-71422531357065497416508962460603469493143453984790543647337005945831088465688013
CASE 200 x=47485897908579123678763001696112545694379979209881303961154695052874825805646151 y=-2235941510832613913021409573317886275871999552703183583951674448086607807971209
CASE 201 x=48610024289791568144327381255034527534533890214356405355581026986353153197660608 y=16597444399296607177034301751920294630257876494147377703718118932245547174998110
CASE 202 x=5454783593038825364249061473620996280872045639047621783463509680047980864899287 y=77908015857789734519383124374485801274613296438845580769977324669112763759215083
CASE 203 x=29234145475166262682571375539333487698141908306957796154703883545851957727986276 y=30403295139666576052518566349259363489862645092350053642822059383057781090046431
CASE 204 x=-80191448310540423195315305045473807815713207253019401537112553933187640363485257 y=-53680715438624634217426247335726543077552753169057148239727898573228315057716763
CASE 205 x=72055095675008730842013919277329017398845937800393824680190372017603848916788125 y=1043718756997503307522431310120908789136750702330167632549312621169844559504645
CASE 206 x=12415222507025741741546662032757004975375098928259131945952050616751723424292329 y=99231196533900661237278282820479837607628228506378817335024543153588474951845154
CASE 207 x=40117643539005792765627405880503431291732067634754297491851298167404311037989727 y=32727511982271513047255002927394052692764848773342539715991836012401008381367385
CASE 208 x=15744280827498254079950151452033863667746307209865493050448537887371393043976968 y=29251240653949253689422321898635881957512645094343750462610976346804454535141054
CASE 209 x=82381842424847391705702452119746771494972133265754085035583992472183640329897059 y=93262365436816040517670116240895676163654532517086414278070485959117295651405404
CASE 210 x=-84534855082503682510378033512441058258331354920040080907381031896310222985059133 y=35693348398402073690271444121604424883941658073420279053412759626204207965014307
CASE 211 x=-33738594321557674107034680627080789816786740129141578140799178850675433587798420 y=-24645957966592658781176627680477539526344468451630836425917629738013747727140082
CASE 212 x=-47752072952897020038795342397104412578604026924528336516413356485619524618494823 y=49895007897565470784280757013795038912379944758102055025448984367638986555846911
CASE 213 x=-78406393326344290248342188551054247201378837910605630023895903716131858720028270 y=57915442184632656845914853694094784152824288474978961842396518185963870944206232
CASE 214 x=78243639907177516559426890115252046761400701769566873795553724017225928352402852 y=51774419618805285548276809972367075097986474000348841690694631308167712442164152
CASE 215 x=-42791296984346088024946434412235632949505297930604383349348395051010290478146711 y=76489449313621288995823826205561154058642168514263762473279846456231705188174554
CASE 216 x=-18865268614919412548513415049254275739404619651973703193355462978116097973769037 y=-28031918928631207327600117082513767903191214587241127320907145828268861673675354
EMPTY_CASES: not applicable to a two-required-integer-argument contract
CONTROL_FLOW_BRANCH_BOUNDARIES: none in either implementation
FIXED_CASES=17
