+ command: python3 /audit-output/evidence/02_generation_trace_summary.py
line=209 outer=response_item payload=reasoning timestamp=2026-07-25T07:37:16.198Z
line=210 outer=event_msg payload=agent_message timestamp=2026-07-25T07:37:17.469Z
line=211 outer=response_item payload=message timestamp=2026-07-25T07:37:17.469Z
line=212 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:37:18.345Z
line=213 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:37:19.525Z
line=214 outer=event_msg payload=token_count timestamp=2026-07-25T07:37:19.525Z
line=215 outer=response_item payload=function_call timestamp=2026-07-25T07:37:21.052Z
line=216 outer=response_item payload=function_call_output timestamp=2026-07-25T07:37:29.620Z
line=217 outer=event_msg payload=token_count timestamp=2026-07-25T07:37:29.620Z
line=218 outer=response_item payload=reasoning timestamp=2026-07-25T07:37:45.720Z
line=219 outer=response_item payload=reasoning timestamp=2026-07-25T07:38:01.406Z
line=220 outer=response_item payload=reasoning timestamp=2026-07-25T07:38:17.214Z
line=221 outer=response_item payload=reasoning timestamp=2026-07-25T07:38:18.809Z
line=222 outer=event_msg payload=agent_message timestamp=2026-07-25T07:38:21.471Z
line=223 outer=response_item payload=message timestamp=2026-07-25T07:38:21.471Z
line=224 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:38:27.326Z
line=225 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:38:27.510Z
line=226 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:38:27.521Z
line=227 outer=event_msg payload=token_count timestamp=2026-07-25T07:38:27.521Z
line=228 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:38:31.046Z
line=229 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:38:32.224Z
line=230 outer=event_msg payload=token_count timestamp=2026-07-25T07:38:32.224Z
line=231 outer=response_item payload=reasoning timestamp=2026-07-25T07:38:34.026Z
line=232 outer=response_item payload=function_call timestamp=2026-07-25T07:38:34.616Z
line=233 outer=response_item payload=function_call_output timestamp=2026-07-25T07:38:39.617Z
line=234 outer=event_msg payload=token_count timestamp=2026-07-25T07:38:39.628Z
line=235 outer=response_item payload=function_call timestamp=2026-07-25T07:38:42.358Z
line=236 outer=response_item payload=function_call_output timestamp=2026-07-25T07:38:42.373Z
line=237 outer=event_msg payload=token_count timestamp=2026-07-25T07:38:42.373Z
line=238 outer=response_item payload=reasoning timestamp=2026-07-25T07:38:43.951Z
line=239 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:38:45.244Z
line=240 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:38:46.252Z
line=241 outer=event_msg payload=token_count timestamp=2026-07-25T07:38:46.252Z
line=242 outer=response_item payload=reasoning timestamp=2026-07-25T07:39:02.457Z
line=243 outer=response_item payload=reasoning timestamp=2026-07-25T07:39:15.963Z
line=244 outer=response_item payload=reasoning timestamp=2026-07-25T07:39:25.836Z
line=245 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:39:38.338Z
line=246 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:39:38.543Z
line=247 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:39:38.546Z
line=248 outer=event_msg payload=token_count timestamp=2026-07-25T07:39:38.546Z
line=249 outer=response_item payload=reasoning timestamp=2026-07-25T07:39:40.553Z
line=250 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:39:41.895Z
line=251 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:39:43.076Z
line=252 outer=event_msg payload=token_count timestamp=2026-07-25T07:39:43.076Z
line=253 outer=response_item payload=function_call timestamp=2026-07-25T07:39:46.765Z
line=254 outer=response_item payload=function_call_output timestamp=2026-07-25T07:39:47.353Z
line=255 outer=event_msg payload=token_count timestamp=2026-07-25T07:39:47.353Z
line=256 outer=response_item payload=reasoning timestamp=2026-07-25T07:39:49.834Z
line=257 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:39:51.053Z
line=258 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:39:52.231Z
line=259 outer=event_msg payload=token_count timestamp=2026-07-25T07:39:52.231Z
line=260 outer=response_item payload=function_call timestamp=2026-07-25T07:39:53.939Z
line=261 outer=response_item payload=function_call_output timestamp=2026-07-25T07:39:59.608Z
line=262 outer=event_msg payload=token_count timestamp=2026-07-25T07:39:59.608Z
line=263 outer=response_item payload=reasoning timestamp=2026-07-25T07:40:15.328Z
line=264 outer=response_item payload=reasoning timestamp=2026-07-25T07:40:33.520Z
line=265 outer=response_item payload=reasoning timestamp=2026-07-25T07:40:50.367Z
line=266 outer=response_item payload=reasoning timestamp=2026-07-25T07:41:01.104Z
line=267 outer=response_item payload=reasoning timestamp=2026-07-25T07:41:17.207Z
line=268 outer=response_item payload=reasoning timestamp=2026-07-25T07:41:34.994Z
line=269 outer=response_item payload=reasoning timestamp=2026-07-25T07:41:49.067Z
line=270 outer=response_item payload=reasoning timestamp=2026-07-25T07:42:00.658Z
line=271 outer=response_item payload=reasoning timestamp=2026-07-25T07:42:15.012Z
line=272 outer=response_item payload=reasoning timestamp=2026-07-25T07:42:23.019Z
line=273 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:42:23.748Z
line=274 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:42:23.826Z
line=275 outer=event_msg payload=token_count timestamp=2026-07-25T07:42:23.826Z
line=276 outer=response_item payload=reasoning timestamp=2026-07-25T07:42:43.112Z
line=277 outer=response_item payload=reasoning timestamp=2026-07-25T07:42:58.675Z
line=278 outer=response_item payload=reasoning timestamp=2026-07-25T07:43:11.656Z
line=279 outer=response_item payload=reasoning timestamp=2026-07-25T07:43:23.569Z
line=280 outer=response_item payload=reasoning timestamp=2026-07-25T07:43:34.860Z
line=281 outer=response_item payload=reasoning timestamp=2026-07-25T07:43:47.956Z
line=282 outer=response_item payload=reasoning timestamp=2026-07-25T07:44:00.106Z
line=283 outer=response_item payload=reasoning timestamp=2026-07-25T07:44:10.376Z
line=284 outer=event_msg payload=agent_message timestamp=2026-07-25T07:44:10.378Z
line=285 outer=response_item payload=message timestamp=2026-07-25T07:44:10.378Z
line=286 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:44:10.418Z
line=287 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:44:10.680Z
line=288 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:44:10.682Z
line=289 outer=event_msg payload=token_count timestamp=2026-07-25T07:44:10.682Z
line=290 outer=response_item payload=reasoning timestamp=2026-07-25T07:44:15.786Z
line=291 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:44:39.077Z
line=292 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:44:39.198Z
line=293 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:44:39.200Z
line=294 outer=event_msg payload=token_count timestamp=2026-07-25T07:44:39.200Z
line=295 outer=response_item payload=reasoning timestamp=2026-07-25T07:44:42.349Z
line=296 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:44:42.714Z
line=297 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:44:42.886Z
line=298 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:44:42.888Z
line=299 outer=event_msg payload=token_count timestamp=2026-07-25T07:44:42.888Z
line=300 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:45:08.302Z
line=301 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:45:08.411Z
line=302 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:45:08.415Z
line=303 outer=event_msg payload=token_count timestamp=2026-07-25T07:45:08.415Z
line=304 outer=response_item payload=reasoning timestamp=2026-07-25T07:45:09.875Z
line=305 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:45:14.027Z
line=306 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:45:14.150Z
line=307 outer=event_msg payload=token_count timestamp=2026-07-25T07:45:14.150Z
line=308 outer=response_item payload=reasoning timestamp=2026-07-25T07:45:16.627Z
line=309 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:45:17.549Z
line=310 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:45:18.717Z
line=311 outer=event_msg payload=token_count timestamp=2026-07-25T07:45:18.717Z
line=312 outer=response_item payload=function_call timestamp=2026-07-25T07:45:22.793Z
line=313 outer=response_item payload=function_call_output timestamp=2026-07-25T07:45:24.095Z
line=314 outer=event_msg payload=token_count timestamp=2026-07-25T07:45:24.095Z
line=315 outer=response_item payload=reasoning timestamp=2026-07-25T07:45:30.785Z
line=316 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:45:30.795Z
line=317 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:45:31.966Z
line=318 outer=event_msg payload=token_count timestamp=2026-07-25T07:45:31.966Z
line=319 outer=response_item payload=function_call timestamp=2026-07-25T07:45:34.654Z
line=320 outer=response_item payload=function_call_output timestamp=2026-07-25T07:45:44.655Z
line=321 outer=event_msg payload=token_count timestamp=2026-07-25T07:45:44.658Z
line=322 outer=response_item payload=function_call timestamp=2026-07-25T07:45:47.181Z
line=323 outer=response_item payload=function_call_output timestamp=2026-07-25T07:46:02.182Z
line=324 outer=event_msg payload=token_count timestamp=2026-07-25T07:46:02.184Z
line=325 outer=response_item payload=reasoning timestamp=2026-07-25T07:46:04.131Z
line=326 outer=response_item payload=function_call timestamp=2026-07-25T07:46:04.698Z
line=327 outer=response_item payload=function_call_output timestamp=2026-07-25T07:46:04.713Z
line=328 outer=event_msg payload=token_count timestamp=2026-07-25T07:46:04.714Z
line=329 outer=response_item payload=reasoning timestamp=2026-07-25T07:46:19.307Z
line=330 outer=event_msg payload=agent_message timestamp=2026-07-25T07:46:22.415Z
line=331 outer=response_item payload=message timestamp=2026-07-25T07:46:22.415Z
line=332 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:46:22.726Z
line=333 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:46:22.875Z
line=334 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:46:22.877Z
line=335 outer=event_msg payload=token_count timestamp=2026-07-25T07:46:22.877Z
line=336 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:46:25.430Z
line=337 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:46:26.600Z
line=338 outer=event_msg payload=token_count timestamp=2026-07-25T07:46:26.600Z
line=339 outer=response_item payload=function_call timestamp=2026-07-25T07:46:28.973Z
line=340 outer=response_item payload=function_call_output timestamp=2026-07-25T07:46:38.974Z
line=341 outer=event_msg payload=token_count timestamp=2026-07-25T07:46:38.976Z
line=342 outer=response_item payload=function_call timestamp=2026-07-25T07:46:40.734Z
line=343 outer=response_item payload=function_call_output timestamp=2026-07-25T07:46:55.736Z
line=344 outer=event_msg payload=token_count timestamp=2026-07-25T07:46:55.738Z
line=345 outer=response_item payload=function_call timestamp=2026-07-25T07:46:57.634Z
line=346 outer=response_item payload=function_call_output timestamp=2026-07-25T07:47:17.635Z
line=347 outer=event_msg payload=token_count timestamp=2026-07-25T07:47:17.637Z
line=348 outer=response_item payload=reasoning timestamp=2026-07-25T07:47:22.165Z
line=349 outer=response_item payload=function_call timestamp=2026-07-25T07:47:22.943Z
