WORKDIR: /audit-output
COMMAND: /audit-output/evidence/stage5/inventory_k.sh /candidate
FILE	reference-semantics/semantics.k	SHA256	57e8f9f3178639bbb87f95e5cc596bbaa91a6463f965b1965911eff9a0269f97
ITEM	reference-semantics/semantics/builtins.k	114	attribute	syntax IntSeq ::= binCodes(Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	115	rule	rule binCodes(0) => iCons(48, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	116	rule	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
ITEM	reference-semantics/semantics/builtins.k	117	syntax	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	117	attribute	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	118	rule	rule binAcc(0, ACC:IntSeq) => ACC
ITEM	reference-semantics/semantics/builtins.k	119	rule	rule binAcc(N:Int, ACC:IntSeq)
ITEM	reference-semantics/semantics/builtins.k	121	requires	requires N >Int 0
ITEM	reference-semantics/semantics/builtins.k	124	rule	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals))
ITEM	reference-semantics/semantics/builtins.k	126	syntax	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	126	attribute	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	127	rule	rule enumVS(.ValSeq, _:Int) => .ValSeq
ITEM	reference-semantics/semantics/builtins.k	128	rule	rule enumVS(vCons(V:Val, R:ValSeq), I:Int)
ITEM	reference-semantics/semantics/builtins.k	132	rule	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals))
ITEM	reference-semantics/semantics/builtins.k	134	syntax	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	134	attribute	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	135	rule	rule mapStrVS(.ValSeq) => .ValSeq
ITEM	reference-semantics/semantics/builtins.k	136	rule	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
ITEM	reference-semantics/semantics/builtins.k	137	rule	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
ITEM	reference-semantics/semantics/builtins.k	140	rule	rule applyBuiltin("int", I:Int, .Vals) => I
ITEM	reference-semantics/semantics/builtins.k	143	rule	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
ITEM	reference-semantics/semantics/builtins.k	144	rule	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
ITEM	reference-semantics/semantics/builtins.k	145	requires	requires 0 <=Int I andBool I <Int 128
ITEM	reference-semantics/semantics/builtins.k	148	rule	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
ITEM	reference-semantics/semantics/builtins.k	149	rule	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
ITEM	reference-semantics/semantics/builtins.k	152	rule	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
ITEM	reference-semantics/semantics/builtins.k	153	requires	requires 48 <=Int C andBool C <=Int 57
ITEM	reference-semantics/semantics/builtins.k	156	rule	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
ITEM	reference-semantics/semantics/builtins.k	157	requires	requires isLen(CS) >=Int 2
ITEM	reference-semantics/semantics/builtins.k	158	syntax	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	158	attribute	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	159	rule	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
ITEM	reference-semantics/semantics/builtins.k	160	rule	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
ITEM	reference-semantics/semantics/builtins.k	163	rule	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
ITEM	reference-semantics/semantics/builtins.k	164	rule	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
ITEM	reference-semantics/semantics/builtins.k	167	rule	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq)))
ITEM	reference-semantics/semantics/builtins.k	169	rule	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	170	rule	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	171	rule	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)))
ITEM	reference-semantics/semantics/builtins.k	173	rule	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	174	rule	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	177	rule	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
ITEM	reference-semantics/semantics/builtins.k	178	rule	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
ITEM	reference-semantics/semantics/builtins.k	179	rule	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
ITEM	reference-semantics/semantics/builtins.k	180	requires	requires S =/=Int 0
ITEM	reference-semantics/semantics/builtins.k	187	rule	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
ITEM	reference-semantics/semantics/builtins.k	188	syntax	syntax Int ::= evalArith(IntSeq) [function]
ITEM	reference-semantics/semantics/builtins.k	188	attribute	syntax Int ::= evalArith(IntSeq) [function]
ITEM	reference-semantics/semantics/builtins.k	189	rule	rule evalArith(CS:IntSeq)
ITEM	reference-semantics/semantics/builtins.k	192	syntax	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
ITEM	reference-semantics/semantics/builtins.k	194	syntax	syntax Bool ::= evDigit(Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	194	attribute	syntax Bool ::= evDigit(Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	195	rule	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
ITEM	reference-semantics/semantics/builtins.k	196	syntax	syntax Bool ::= evHead42(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	196	attribute	syntax Bool ::= evHead42(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	197	rule	rule evHead42(iCons(42, _:IntSeq)) => true
ITEM	reference-semantics/semantics/builtins.k	198	rule	rule evHead42(_:IntSeq)            => false [owise]
ITEM	reference-semantics/semantics/builtins.k	198	attribute	rule evHead42(_:IntSeq)            => false [owise]
ITEM	reference-semantics/semantics/builtins.k	199	syntax	syntax Bool ::= evHead47(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	199	attribute	syntax Bool ::= evHead47(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	200	rule	rule evHead47(iCons(47, _:IntSeq)) => true
ITEM	reference-semantics/semantics/builtins.k	201	rule	rule evHead47(_:IntSeq)            => false [owise]
ITEM	reference-semantics/semantics/builtins.k	201	attribute	rule evHead47(_:IntSeq)            => false [owise]
ITEM	reference-semantics/semantics/builtins.k	203	syntax	syntax OpSeq ::= tokOps(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	203	attribute	syntax OpSeq ::= tokOps(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	204	rule	rule tokOps(.IntSeq)                 => .OpSeq
ITEM	reference-semantics/semantics/builtins.k	205	rule	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
ITEM	reference-semantics/semantics/builtins.k	206	rule	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
ITEM	reference-semantics/semantics/builtins.k	207	rule	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	208	rule	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
ITEM	reference-semantics/semantics/builtins.k	209	rule	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	210	rule	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
ITEM	reference-semantics/semantics/builtins.k	211	rule	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	212	rule	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	214	syntax	syntax IntSeq ::= tokNds(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	214	attribute	syntax IntSeq ::= tokNds(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	215	attribute	| tokNdAcc(Int, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	216	rule	rule tokNds(.IntSeq)                => .IntSeq
ITEM	reference-semantics/semantics/builtins.k	217	rule	rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
ITEM	reference-semantics/semantics/builtins.k	218	rule	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
ITEM	reference-semantics/semantics/builtins.k	219	rule	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)
ITEM	reference-semantics/semantics/builtins.k	220	requires	requires notBool evDigit(C) andBool C =/=Int 32
ITEM	reference-semantics/semantics/builtins.k	221	rule	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)
ITEM	reference-semantics/semantics/builtins.k	222	requires	requires evDigit(C)
